frame	time	x	y	burst
150795	34	284	325	0
150796	69	286	323	0
150797	103	288	322	0
150798	141	289	320	0
150799	185	290	318	0
150800	224	291	316	0
150801	259	291	315	0
150802	293	292	311	0
150803	327	292	310	0
150804	365	291	308	0
150805	403	290	306	0
150806	437	288	303	0
150807	471	287	301	0
150808	508	286	299	0
150809	546	284	295	0
150810	592	283	293	0
150811	626	282	290	0
150812	661	279	285	0
150813	695	278	282	0
150814	731	277	280	0
150815	777	276	276	0
150816	814	274	273	0
150817	858	273	270	0
150818	895	272	266	0
150819	930	272	263	0
150820	965	271	257	0
150821	999	270	255	0
150822	1035	269	252	0
150823	1072	268	249	0
150824	1117	268	247	0
150825	1154	267	243	0
150826	1201	266	238	0
150827	1234	265	234	0
150828	1269	264	232	0
150829	1304	264	228	0
150830	1341	263	225	0
150831	1389	263	222	0
150832	1425	263	218	0
150833	1461	262	212	0
150834	1494	262	209	0
150835	1531	261	205	0
150836	1573	261	201	0
150837	1607	261	199	0
150838	1644	261	196	0
150839	1681	261	192	0
150840	1725	261	188	0
150841	1765	261	185	0
150842	1799	261	179	0
150843	1836	262	175	0
150844	1879	262	172	0
150845	1920	262	169	0
150846	1956	263	163	0
150847	2000	263	160	0
150848	2034	263	157	0
150849	2069	263	154	0
150850	2105	265	151	0
150851	2142	265	147	0
150852	2185	265	145	0
150853	2221	266	141	0
150854	2257	266	136	0
150855	2293	266	130	0
150856	2327	266	127	0
150857	2365	266	123	0
150858	2404	266	120	0
150859	2437	266	116	0
150860	2471	266	112	0
150861	2508	266	110	0
150862	2550	266	106	0
150863	2585	266	102	0
150864	2623	266	98	0
150865	2660	266	94	0
150866	2695	265	87	0
150867	2731	264	82	0
150868	2768	264	79	0
150869	2803	264	76	0
150870	2837	263	72	0
150871	2870	263	68	0
150872	2907	263	64	0
150873	2944	262	61	0
150874	2985	262	58	0
150875	3022	261	54	0
150876	3061	260	50	0
150877	3095	260	51	0
150878	3130	259	51	0
150879	3176	258	51	0
150880	3213	258	51	0
150881	3256	258	53	0
150882	3293	257	53	0
150883	3329	256	53	0
150884	3365	254	53	0
150885	3399	253	53	0
150886	3436	251	52	0
150887	3473	249	51	0
150888	3518	246	50	0
150889	3557	245	50	0
150890	3601	240	45	0
150891	3636	238	43	0
150892	3669	237	41	0
150893	3707	234	39	0
150894	3744	233	37	0
150895	3789	231	35	0
150896	3826	229	32	0
150897	3861	228	29	0
150898	3899	226	25	0
150899	3937	226	24	0
150900	3980	226	23	0
150901	4017	225	21	0
150902	4058	225	19	0
150903	4096	225	17	0
150904	4132	225	15	0
150905	4167	225	15	0
150906	4203	226	17	0
150907	4240	226	19	0
150908	4281	226	20	0
150909	4318	226	22	0
150910	4353	226	22	0
150911	4401	226	24	0
150912	4440	226	25	0
150913	4477	226	26	0
150914	4521	226	27	0
150915	4557	226	28	0
150916	4594	227	28	0
150917	4629	228	30	0
150918	4663	229	32	0
150919	4700	229	33	0
150920	4743	231	35	0
150921	4779	231	36	0
150922	4825	232	38	0
150923	4863	233	41	0
150924	4898	233	42	0
150925	4933	233	46	0
150926	4967	233	48	0
150927	5004	233	51	0
150928	5041	232	54	0
150929	5085	232	56	0
150930	5124	231	59	0
150931	5159	232	65	0
150932	5202	231	68	0
150933	5237	232	71	0
150934	5271	232	74	0
150935	5308	232	78	0
150936	5355	233	83	0
150937	5392	232	86	0
150938	5426	232	91	0
150939	5462	232	95	0
150940	5499	232	98	0
150941	5536	232	101	0
150942	5577	232	105	0
150943	5615	232	108	0
150944	5661	231	112	0
150945	5697	231	114	0
150946	5733	231	121	0
150947	5768	232	126	0
150948	5804	232	129	0
150949	5841	232	132	0
150950	5885	232	136	0
150951	5921	232	139	0
150952	5957	232	145	0
150953	6002	232	148	0
150954	6037	233	152	0
150955	6072	233	155	0
150956	6109	234	159	0
150957	6155	233	161	0
150958	6193	234	166	0
150959	6227	234	168	0
150960	6262	234	174	0
150961	6296	234	177	0
150962	6333	234	181	0
150963	6372	234	184	0
150964	6405	234	187	0
150965	6440	234	190	0
150966	6476	234	193	0
150967	6522	233	196	0
150968	6563	232	199	0
150969	6599	231	205	0
150970	6635	230	208	0
150971	6672	230	211	0
150972	6714	230	214	0
150973	6751	230	217	0
150974	6790	230	220	0
150975	6834	230	223	0
150976	6869	230	229	0
150977	6903	230	233	0
150978	6940	230	236	0
150979	6985	230	239	0
150980	7026	230	242	0
150981	7061	230	247	0
150982	7095	231	251	0
150983	7132	232	253	0
150984	7169	231	256	0
150985	7203	232	259	0
150986	7238	233	262	0
150987	7272	233	265	0
150988	7309	233	268	0
150989	7352	234	271	0
150990	7394	233	273	0
150991	7429	233	280	0
150992	7464	234	284	0
150993	7500	234	287	0
150994	7537	234	291	0
