frame	time	x	y	burst
49399	32	236	378	0
49400	66	235	377	0
49401	99	235	376	0
49402	145	234	376	0
49403	179	233	376	0
49404	213	233	375	0
49405	246	231	374	0
49406	284	231	374	0
49407	318	230	373	0
49408	353	229	373	0
49409	389	227	371	0
49410	433	227	370	0
49411	466	223	368	0
49412	500	221	367	0
49413	546	219	367	0
49414	582	218	367	0
49415	615	216	367	0
49416	649	214	367	0
49417	683	212	366	0
49418	720	212	366	0
49419	757	208	366	0
49420	797	207	366	0
49421	834	204	364	0
49422	870	202	364	0
49423	903	202	364	0
49424	944	202	363	0
49425	981	202	363	0
49426	1019	202	363	0
49427	1053	202	363	0
49428	1098	202	362	0
49429	1136	201	361	0
49430	1170	201	360	0
49431	1203	202	357	0
49432	1237	202	354	0
49433	1273	203	352	0
49434	1307	203	350	0
49435	1346	203	348	0
49436	1380	203	345	0
49437	1414	203	344	0
49438	1448	203	341	0
49439	1482	203	338	0
49440	1517	203	335	0
49441	1551	203	333	0
49442	1596	203	331	0
49443	1636	203	328	0
49444	1672	204	323	0
49445	1705	204	320	0
49446	1746	204	318	0
49447	1779	205	315	0
49448	1813	204	313	0
49449	1847	205	310	0
49450	1884	204	309	0
49451	1920	204	306	0
49452	1957	203	304	0
49453	1998	203	301	0
49454	2033	203	298	0
49455	2069	204	293	0
49456	2103	204	290	0
49457	2145	204	287	0
49458	2179	204	284	0
49459	2212	204	282	0
49460	2246	204	279	0
49461	2279	203	276	0
49462	2313	204	273	0
49463	2348	204	270	0
49464	2384	204	267	0
49465	2421	204	264	0
49466	2464	204	261	0
49467	2501	204	258	0
49468	2546	205	252	0
49469	2580	205	250	0
49470	2614	205	248	0
49471	2648	205	245	0
49472	2682	205	242	0
49473	2715	204	239	0
49474	2751	205	236	0
49475	2793	205	233	0
49476	2831	205	230	0
49477	2867	206	227	0
49478	2901	205	222	0
49479	2944	206	219	0
49480	2978	206	216	0
49481	3014	206	214	0
49482	3049	207	211	0
49483	3086	206	208	0
49484	3124	206	205	0
49485	3166	207	202	0
49486	3201	206	199	0
49487	3236	207	194	0
49488	3271	207	191	0
49489	3307	208	188	0
49490	3348	209	185	0
49491	3382	209	182	0
49492	3418	209	180	0
49493	3456	209	177	0
49494	3492	208	175	0
49495	3535	208	172	0
49496	3572	208	169	0
49497	3606	208	164	0
49498	3641	207	161	0
49499	3677	207	159	0
49500	3714	207	156	0
49501	3750	206	154	0
49502	3784	206	152	0
49503	3817	206	148	0
49504	3852	206	146	0
49505	3888	206	143	0
49506	3922	206	141	0
49507	3965	207	139	0
49508	4000	207	136	0
49509	4039	207	131	0
49510	4085	208	129	0
49511	4120	208	126	0
49512	4153	208	123	0
49513	4188	209	121	0
49514	4224	209	118	0
49515	4262	209	116	0
49516	4299	209	113	0
49517	4336	210	111	0
49518	4374	212	107	0
49519	4411	212	104	0
49520	4446	212	103	0
49521	4492	213	100	0
49522	4530	213	97	0
49523	4574	213	96	0
49524	4610	213	94	0
49525	4646	213	90	0
49526	4678	215	87	0
49527	4711	215	86	0
49528	4747	215	85	0
49529	4783	215	84	0
49530	4820	216	83	0
49531	4856	217	81	0
49532	4893	217	80	0
49533	4929	217	78	0
49534	4962	217	78	0
49535	4998	217	78	0
49536	5034	217	78	0
49537	5074	217	78	0
49538	5111	218	78	0
49539	5146	218	78	0
49540	5181	219	77	0
49541	5214	219	77	0
49542	5248	221	76	0
49543	5282	222	75	0
49544	5318	223	74	0
49545	5351	223	74	0
49546	5385	224	74	0
49547	5429	225	74	0
49548	5466	226	74	0
49549	5505	226	74	0
49550	5540	228	75	0
49551	5575	229	76	0
49552	5611	230	75	0
49553	5648	231	75	0
49554	5685	231	76	0
49555	5728	232	76	0
49556	5772	233	76	0
49557	5809	233	76	0
49558	5844	232	76	0
49559	5877	232	77	0
49560	5910	232	77	0
49561	5944	233	79	0
49562	5978	234	80	0
49563	6015	234	81	0
49564	6053	233	81	0
49565	6094	234	83	0
49566	6130	234	85	0
49567	6174	234	87	0
49568	6210	234	88	0
49569	6246	235	91	0
49570	6282	235	94	0
49571	6321	236	94	0
49572	6367	236	96	0
49573	6404	238	100	0
49574	6437	238	102	0
49575	6472	240	104	0
49576	6507	241	106	0
49577	6545	241	107	0
49578	6580	243	110	0
49579	6614	244	113	0
49580	6647	244	115	0
49581	6682	245	117	0
49582	6716	245	119	0
49583	6753	247	122	0
49584	6800	248	124	0
49585	6837	248	127	0
49586	6870	250	132	0
49587	6904	250	133	0
49588	6945	251	136	0
49589	6980	251	138	0
49590	7014	252	140	0
49591	7048	252	143	0
49592	7083	252	145	0
49593	7118	253	148	0
49594	7163	254	151	0
49595	7199	255	152	0
49596	7234	255	156	0
49597	7268	255	161	0
49598	7302	257	164	0
49599	7344	258	167	0
49600	7377	258	169	0
49601	7413	259	172	0
49602	7450	259	175	0
49603	7490	260	178	0
49604	7536	261	180	0
49605	7570	261	183	0
49606	7604	263	189	0
49607	7637	263	191	0
49608	7671	264	194	0
49609	7708	264	197	0
49610	7745	265	200	0
49611	7778	266	203	0
49612	7812	267	206	0
49613	7846	267	208	0
49614	7880	268	211	0
49615	7916	268	213	0
49616	7951	268	216	0
49617	7987	269	219	0
49618	8023	269	221	0
49619	8064	271	223	0
49620	8098	270	228	0
49621	8145	271	230	0
49622	8179	271	233	0
49623	8213	271	235	0
49624	8246	272	238	0
49625	8282	272	239	0
49626	8318	272	241	0
49627	8355	273	243	0
49628	8391	273	245	0
49629	8426	273	245	0
49630	8467	274	246	0
49631	8503	275	248	0
49632	8545	275	249	0
49633	8580	275	251	0
49634	8613	275	252	0
49635	8646	275	252	0
49636	8682	275	253	0
49637	8718	275	254	0
49638	8755	275	254	0
49639	8791	275	254	0
49640	8827	275	254	0
49641	8865	275	254	0
49642	8898	275	254	0
49643	8944	274	255	0
49644	8978	274	255	0
49645	9013	274	255	0
49646	9048	274	255	0
49647	9085	274	255	0
49648	9122	274	254	0
49649	9158	274	254	0
49650	9196	275	253	0
49651	9233	275	253	0
49652	9268	275	253	0
49653	9301	275	253	0
49654	9346	275	253	0
49655	9381	276	254	0
49656	9415	277	255	0
49657	9448	278	256	0
49658	9482	278	257	0
49659	9517	278	258	0
49660	9554	281	261	0
49661	9591	281	262	0
49662	9631	282	264	0
49663	9665	284	267	0
49664	9701	285	271	0
49665	9745	287	274	0
49666	9778	287	275	0
49667	9811	288	277	0
49668	9847	290	280	0
49669	9883	291	282	0
49670	9919	291	284	0
49671	9963	293	287	0
49672	10001	293	289	0
49673	10035	294	293	0
49674	10071	295	296	0
49675	10108	296	299	0
49676	10146	297	301	0
49677	10182	297	304	0
49678	10216	297	307	0
49679	10250	298	309	0
49680	10283	298	311	0
49681	10318	299	314	0
49682	10354	300	316	0
49683	10390	300	318	0
49684	10431	301	321	0
49685	10466	302	322	0
49686	10502	302	325	0
49687	10545	303	329	0
49688	10579	303	332	0
49689	10613	304	334	0
49690	10650	304	335	0
49691	10686	304	338	0
49692	10723	304	341	0
49693	10767	304	343	0
49694	10803	304	345	0
49695	10838	305	348	0
49696	10871	305	350	0
49697	10908	305	352	0
49698	10946	306	354	0
49699	10982	306	355	0
49700	11017	306	356	0
49701	11053	307	358	0
49702	11088	308	358	0
49703	11124	309	360	0
49704	11159	310	362	0
49705	11200	311	363	0
49706	11235	313	367	0
49707	11270	314	369	0
49708	11303	315	371	0
49709	11345	316	373	0
49710	11378	317	376	0
49711	11413	317	377	0
49712	11448	318	379	0
49713	11484	319	382	0
49714	11520	319	383	0
49715	11557	320	386	0
49716	11600	321	388	0
49717	11635	321	390	0
49718	11669	323	394	0
49719	11703	323	395	0
49720	11746	323	396	0
49721	11779	324	398	0
49722	11815	324	400	0
49723	11850	324	401	0
49724	11886	324	402	0
49725	11931	325	404	0
49726	11969	325	406	0
49727	12005	324	406	0
49728	12039	325	409	0
49729	12073	325	411	0
49730	12107	325	412	0
49731	12151	326	414	0
49732	12188	326	416	0
49733	12222	326	417	0
49734	12257	326	418	0
49735	12292	326	419	0
49736	12334	326	420	0
49737	12370	326	420	0
49738	12403	326	420	0
49739	12437	326	420	0
49740	12471	326	419	0
49741	12505	325	419	0
49742	12545	325	419	0
49743	12579	325	419	0
49744	12615	325	419	0
49745	12651	325	419	0
49746	12686	325	420	0
49747	12723	325	421	0
49748	12764	325	421	0
49749	12801	324	421	0
49750	12837	324	421	0
49751	12870	324	421	0
49752	12907	323	422	0
49753	12945	321	424	0
49754	12979	321	425	0
49755	13014	320	427	0
49756	13047	319	428	0
49757	13081	319	429	0
49758	13116	320	430	0
49759	13155	318	432	0
49760	13191	317	434	0
49761	13230	318	435	0
49762	13266	316	438	0
49763	13301	316	441	0
49764	13344	315	443	0
49765	13378	314	446	0
49766	13413	314	448	0
49767	13447	313	450	0
49768	13483	313	450	0
49769	13519	313	450	0
49770	13554	313	450	0
49771	13590	313	449	0
49772	13631	313	448	0
49773	13665	314	447	0
49774	13699	314	446	0
49775	13745	314	445	0
49776	13778	314	444	0
49777	13814	314	444	0
49778	13850	314	443	0
49779	13887	314	443	0
49780	13932	314	442	0
49781	13972	314	441	0
49782	14006	315	440	0
49783	14039	316	439	0
49784	14073	316	439	0
49785	14110	316	438	0
49786	14146	318	436	0
49787	14179	318	434	0
49788	14213	318	434	0
49789	14246	319	432	0
49790	14281	319	431	0
49791	14317	319	429	0
49792	14354	320	428	0
49793	14389	320	425	0
49794	14429	320	424	0
49795	14466	321	422	0
49796	14501	321	418	0
49797	14547	321	416	0
49798	14580	321	413	0
49799	14614	321	412	0
49800	14652	322	409	0
49801	14686	322	406	0
49802	14722	323	404	0
49803	14758	324	402	0
49804	14798	324	399	0
49805	14834	324	398	0
49806	14870	324	393	0
49807	14906	325	390	0
49808	14944	325	388	0
49809	14978	324	386	0
49810	15013	325	383	0
49811	15046	325	380	0
49812	15079	325	378	0
49813	15113	326	376	0
49814	15149	326	373	0
49815	15186	326	371	0
49816	15223	326	370	0
49817	15265	327	366	0
49818	15301	328	363	0
49819	15344	328	361	0
49820	15378	328	359	0
49821	15413	329	357	0
49822	15448	328	354	0
49823	15483	328	351	0
49824	15519	328	348	0
49825	15560	327	346	0
49826	15602	327	344	0
49827	15637	327	341	0
49828	15671	326	335	0
49829	15708	326	332	0
49830	15744	326	330	0
49831	15781	326	328	0
49832	15813	325	325	0
49833	15847	325	322	0
49834	15881	325	320	0
49835	15918	324	317	0
49836	15954	323	316	0
49837	15990	324	312	0
49838	16027	323	310	0
49839	16065	324	307	0
49840	16101	324	300	0
49841	16145	324	298	0
49842	16179	324	295	0
49843	16218	324	293	0
49844	16253	325	290	0
49845	16296	324	287	0
49846	16333	324	284	0
49847	16369	324	282	0
49848	16402	323	279	0
49849	16435	322	274	0
49850	16470	321	272	0
49851	16504	321	270	0
49852	16545	320	267	0
49853	16581	320	264	0
49854	16615	320	262	0
49855	16649	320	260	0
49856	16686	320	258	0
49857	16730	320	255	0
49858	16768	320	252	0
49859	16801	319	249	0
49860	16836	317	248	0
49861	16870	317	248	0
49862	16906	316	248	0
49863	16945	315	246	0
49864	16979	314	245	0
49865	17012	313	244	0
49866	17046	313	242	0
49867	17080	311	241	0
49868	17116	310	239	0
49869	17153	307	239	0
49870	17199	307	236	0
49871	17243	306	235	0
49872	17279	303	232	0
49873	17315	302	229	0
49874	17351	301	227	0
49875	17387	300	226	0
49876	17420	298	223	0
49877	17460	297	222	0
49878	17503	297	219	0
49879	17537	294	215	0
49880	17572	294	212	0
49881	17607	294	210	0
49882	17640	293	208	0
49883	17674	293	205	0
49884	17710	292	203	0
49885	17747	291	200	0
49886	17781	290	197	0
49887	17817	290	195	0
49888	17852	290	193	0
49889	17887	290	190	0
49890	17920	289	187	0
49891	17954	288	186	0
49892	17989	288	183	0
49893	18024	288	180	0
49894	18062	288	177	0
49895	18098	287	175	0
49896	18145	287	170	0
49897	18179	287	167	0
49898	18212	286	165	0
49899	18247	286	162	0
49900	18281	286	161	0
49901	18318	286	158	0
49902	18354	286	155	0
49903	18390	286	152	0
49904	18429	285	150	0
49905	18465	285	148	0
49906	18501	285	143	0
49907	18544	285	141	0
49908	18578	285	139	0
49909	18614	285	136	0
49910	18650	285	133	0
49911	18686	285	132	0
49912	18723	285	129	0
49913	18759	285	127	0
49914	18795	284	125	0
49915	18832	284	122	0
49916	18866	284	120	0
49917	18899	283	115	0
49918	18944	282	113	0
49919	18978	282	111	0
49920	19011	281	109	0
49921	19046	281	107	0
49922	19079	281	104	0
49923	19112	280	101	0
49924	19148	280	99	0
49925	19193	280	97	0
49926	19231	280	94	0
49927	19267	279	92	0
49928	19305	279	91	0
49929	19344	279	86	0
49930	19378	279	84	0
49931	19414	279	81	0
49932	19449	279	79	0
49933	19489	279	78	0
49934	19523	279	75	0
49935	19558	279	73	0
49936	19600	278	71	0
49937	19637	278	66	0
49938	19670	277	64	0
49939	19704	276	62	0
