frame	time	x	y	burst
43040	32	250	95	0
43041	68	251	96	0
43042	101	250	98	0
43043	144	250	101	0
43044	178	250	103	0
43045	212	250	105	0
43046	244	250	107	0
43047	282	251	108	0
43048	315	251	110	0
43049	350	251	111	0
43050	384	251	114	0
43051	417	251	115	0
43052	453	251	118	0
43053	486	251	118	0
43054	520	251	120	0
43055	555	252	123	0
43056	591	252	124	0
43057	641	252	126	0
43058	676	252	130	0
43059	708	252	131	0
43060	741	252	133	0
43061	779	252	134	0
43062	818	252	136	0
43063	852	253	138	0
43064	887	253	139	0
43065	922	254	141	0
43066	957	254	143	0
43067	991	254	143	0
43068	1023	254	145	0
43069	1056	254	147	0
43070	1092	254	148	0
43071	1125	255	151	0
43072	1158	255	152	0
43073	1192	256	154	0
43074	1225	256	155	0
43075	1266	256	156	0
43076	1312	257	160	0
43077	1345	257	161	0
43078	1380	257	163	0
43079	1413	258	164	0
43080	1446	258	165	0
43081	1481	258	167	0
43082	1518	258	167	0
43083	1553	258	167	0
43084	1598	258	168	0
43085	1636	258	169	0
43086	1670	258	171	0
43087	1713	258	172	0
43088	1745	259	174	0
43089	1778	260	175	0
43090	1814	260	176	0
43091	1848	260	178	0
43092	1880	258	178	0
43093	1913	258	179	0
43094	1948	259	180	0
43095	1983	259	181	0
43096	2017	259	183	0
43097	2049	259	185	0
43098	2082	259	186	0
43099	2117	259	188	0
43100	2150	259	190	0
43101	2183	260	191	0
43102	2216	260	193	0
43103	2251	260	195	0
43104	2286	260	197	0
43105	2320	260	199	0
43106	2352	260	201	0
43107	2385	260	202	0
43108	2421	260	204	0
43109	2460	260	206	0
43110	2496	260	208	0
43111	2532	260	210	0
43112	2565	260	212	0
43113	2598	260	214	0
43114	2641	260	216	0
43115	2674	261	220	0
43116	2708	261	222	0
43117	2740	261	224	0
43118	2773	262	226	0
43119	2808	262	228	0
43120	2844	263	230	0
43121	2877	263	231	0
43122	2914	263	233	0
43123	2947	263	234	0
43124	2982	263	236	0
43125	3017	263	238	0
43126	3050	263	240	0
43127	3083	263	242	0
43128	3116	263	244	0
43129	3151	264	246	0
43130	3186	264	247	0
43131	3220	264	249	0
43132	3253	264	251	0
43133	3285	264	253	0
43134	3320	264	255	0
43135	3355	264	257	0
43136	3390	264	259	0
43137	3424	264	260	0
43138	3458	264	262	0
43139	3493	265	264	0
43140	3526	266	267	0
43141	3563	266	268	0
43142	3600	266	270	0
43143	3638	267	272	0
43144	3675	267	275	0
43145	3712	267	277	0
43146	3747	268	278	0
43147	3780	269	280	0
43148	3813	269	281	0
43149	3846	271	283	0
43150	3881	271	284	0
43151	3916	272	285	0
43152	3950	274	287	0
43153	3982	275	289	0
43154	4015	275	289	0
43155	4050	277	293	0
43156	4083	277	293	0
43157	4117	278	294	0
43158	4150	279	295	0
43159	4183	280	296	0
43160	4218	280	296	0
43161	4254	282	298	0
43162	4289	282	299	0
43163	4324	283	300	0
43164	4357	284	301	0
43165	4390	284	301	0
43166	4429	284	301	0
43167	4467	284	301	0
43168	4512	284	302	0
43169	4546	285	304	0
43170	4579	285	305	0
43171	4612	286	308	0
43172	4648	286	309	0
43173	4681	287	312	0
43174	4714	288	314	0
43175	4747	288	315	0
43176	4782	289	317	0
43177	4816	289	319	0
43178	4849	290	321	0
43179	4884	290	322	0
43180	4919	290	323	0
43181	4953	290	324	0
43182	4985	291	326	0
43183	5018	291	327	0
43184	5055	291	328	0
43185	5092	291	330	0
43186	5127	292	331	0
43187	5160	292	332	0
43188	5197	292	333	0
43189	5233	292	336	0
43190	5266	293	339	0
43191	5312	293	341	0
43192	5346	293	343	0
43193	5381	293	344	0
43194	5415	293	346	0
43195	5462	293	347	0
43196	5500	294	349	0
43197	5540	294	350	0
43198	5574	295	351	0
43199	5613	295	351	0
43200	5647	295	350	0
43201	5683	295	349	0
43202	5718	296	348	0
43203	5753	296	347	0
43204	5786	296	347	0
43205	5819	296	346	0
43206	5852	296	345	0
43207	5887	296	344	0
43208	5922	296	342	0
43209	5956	296	342	0
43210	5990	296	341	0
43211	6027	296	339	0
43212	6064	295	338	0
43213	6101	296	336	0
43214	6138	295	335	0
43215	6172	295	332	0
43216	6208	296	330	0
43217	6241	297	327	0
43218	6281	297	324	0
43219	6317	297	322	0
43220	6350	297	320	0
43221	6384	297	318	0
43222	6416	298	316	0
43223	6449	297	314	0
43224	6484	297	311	0
43225	6518	297	309	0
43226	6550	297	308	0
43227	6583	297	305	0
43228	6617	297	302	0
43229	6654	296	301	0
43230	6689	296	298	0
43231	6725	296	296	0
43232	6758	296	294	0
43233	6791	295	292	0
43234	6824	295	290	0
43235	6863	295	288	0
43236	6898	295	286	0
43237	6934	295	285	0
43238	6975	295	282	0
43239	7010	295	277	0
43240	7044	294	276	0
43241	7077	294	274	0
43242	7109	293	271	0
43243	7144	293	270	0
43244	7179	293	267	0
43245	7215	293	266	0
43246	7260	293	263	0
43247	7296	293	262	0
43248	7340	292	260	0
43249	7397	292	258	0
43250	7430	292	254	0
43251	7470	291	252	0
43252	7505	291	250	0
43253	7557	290	248	0
43254	7590	290	243	0
43255	7623	289	242	0
43256	7658	289	240	0
43257	7693	288	237	0
43258	7726	288	236	0
43259	7759	287	233	0
43260	7792	286	231	0
43261	7825	286	229	0
43262	7858	286	226	0
43263	7892	286	224	0
43264	7925	286	222	0
43265	7958	285	220	0
43266	7990	285	218	0
43267	8023	285	216	0
43268	8061	284	214	0
43269	8095	283	212	0
43270	8128	283	209	0
43271	8161	283	208	0
43272	8194	282	205	0
43273	8236	282	204	0
43274	8272	281	202	0
43275	8305	280	198	0
43276	8337	280	196	0
43277	8370	280	195	0
43278	8403	280	193	0
43279	8436	280	192	0
43280	8469	278	189	0
43281	8513	278	188	0
43282	8546	278	186	0
43283	8582	277	185	0
43284	8615	277	183	0
43285	8648	276	180	0
43286	8681	276	179	0
43287	8714	276	176	0
43288	8750	276	175	0
43289	8789	275	173	0
43290	8823	275	171	0
43291	8858	274	168	0
43292	8892	274	166	0
43293	8925	274	164	0
43294	8958	272	161	0
43295	8991	272	159	0
43296	9024	271	158	0
43297	9057	271	155	0
43298	9090	270	153	0
43299	9124	270	151	0
43300	9157	270	149	0
43301	9189	270	147	0
43302	9223	269	145	0
43303	9257	269	142	0
43304	9290	269	140	0
43305	9326	269	138	0
43306	9359	269	136	0
43307	9392	269	134	0
