frame	time	x	y	burst
28951	30	366	344	0
28952	62	366	344	0
28953	97	366	344	0
28954	132	366	344	0
28955	173	366	344	0
28956	209	366	344	0
28957	241	366	344	0
28958	282	366	344	0
28959	316	366	344	0
28960	350	366	344	0
28961	385	366	344	0
28962	420	366	344	0
28963	454	366	344	0
28964	486	366	344	0
28965	519	366	344	0
28966	554	366	344	0
28967	588	366	344	0
28968	622	366	344	0
28969	654	366	344	0
28970	687	366	344	0
28971	720	366	344	0
28972	755	366	344	0
28973	790	366	344	0
28974	824	366	344	0
28975	856	366	344	0
28976	889	366	344	0
28977	924	366	344	0
28978	957	366	344	0
28979	990	366	344	0
28980	1025	366	345	0
28981	1058	366	345	0
28982	1091	365	346	0
28983	1124	365	348	0
28984	1168	365	348	0
28985	1203	364	349	0
28986	1240	364	351	0
28987	1273	363	352	0
28988	1308	363	354	0
28989	1342	362	355	0
28990	1375	362	357	0
28991	1411	362	359	0
28992	1444	362	360	0
28993	1481	362	362	0
28994	1514	362	364	0
28995	1549	361	366	0
28996	1584	361	368	0
28997	1618	361	370	0
28998	1650	360	371	0
28999	1683	360	373	0
29000	1719	360	373	0
29001	1754	360	375	0
29002	1788	360	377	0
29003	1822	360	378	0
29004	1854	360	380	0
29005	1887	359	382	0
29006	1920	359	383	0
29007	1955	359	386	0
29008	1994	359	387	0
29009	2030	359	388	0
29010	2066	359	389	0
29011	2103	359	390	0
29012	2139	359	391	0
29013	2182	359	392	0
29014	2216	359	393	0
29015	2252	359	394	0
29016	2286	359	394	0
29017	2320	359	394	0
29018	2352	359	394	0
29019	2385	359	394	0
29020	2420	359	394	0
29021	2455	359	394	0
29022	2489	359	394	0
29023	2522	359	394	0
29024	2557	359	394	0
29025	2591	359	394	0
29026	2628	359	394	0
29027	2664	359	394	0
29028	2700	359	394	0
29029	2742	359	394	0
29030	2777	359	394	0
29031	2812	359	394	0
29032	2847	359	394	0
29033	2880	359	394	0
29034	2913	359	394	0
29035	2959	359	394	0
29036	2992	359	394	0
29037	3029	359	394	0
29038	3064	359	394	0
29039	3097	359	394	0
29040	3141	359	394	0
29041	3176	359	394	0
29042	3212	359	394	0
29043	3246	359	394	0
29044	3278	359	394	0
29045	3313	359	394	0
29046	3348	359	394	0
29047	3383	359	394	0
29048	3417	359	394	0
29049	3450	359	394	0
29050	3496	359	394	0
29051	3531	359	394	0
29052	3567	359	394	0
29053	3603	359	394	0
29054	3639	359	394	0
29055	3716	359	394	0
29056	3785	359	394	0
29057	3833	359	394	0
29058	3880	359	394	0
29059	3913	359	394	0
29060	3950	359	394	0
29061	3983	359	394	0
29062	4015	359	394	0
29063	4048	359	394	0
29064	4083	359	394	0
29065	4118	359	394	0
29066	4153	359	394	0
29067	4190	359	394	0
29068	4226	359	394	0
29069	4259	359	394	0
29070	4293	359	394	0
29071	4325	359	394	0
29072	4358	359	394	0
29073	4393	359	394	0
29074	4429	359	393	0
29075	4468	359	393	0
29076	4504	359	393	0
29077	4538	358	394	0
29078	4572	358	394	0
29079	4604	358	394	0
29080	4637	357	395	0
29081	4680	357	395	0
29082	4713	356	396	0
29083	4746	356	396	0
29084	4781	356	397	0
29085	4816	356	397	0
29086	4851	356	397	0
29087	4885	356	398	0
29088	4917	356	398	0
29089	4950	356	397	0
29090	4999	355	398	0
29091	5034	355	397	0
29092	5081	355	397	0
29093	5113	355	397	0
29094	5150	354	397	0
29095	5185	354	397	0
29096	5220	354	397	0
29097	5254	353	397	0
29098	5287	352	398	0
29099	5319	352	398	0
29100	5359	352	397	0
29101	5398	351	397	0
29102	5433	350	397	0
29103	5480	349	397	0
29104	5516	348	397	0
29105	5549	348	397	0
29106	5582	348	397	0
29107	5615	348	397	0
29108	5650	347	397	0
29109	5687	347	397	0
29110	5721	347	397	0
29111	5754	347	397	0
29112	5788	345	398	0
29113	5821	345	398	0
29114	5867	345	397	0
29115	5901	345	397	0
29116	5940	345	397	0
29117	6004	345	397	0
29118	6039	345	397	0
29119	6073	345	397	0
29120	6108	345	397	0
29121	6141	345	397	0
29122	6177	345	397	0
29123	6211	345	397	0
29124	6245	345	397	0
29125	6283	345	397	0
29126	6315	345	397	0
29127	6348	345	397	0
29128	6382	345	397	0
29129	6414	345	397	0
29130	6447	345	397	0
29131	6482	345	397	0
29132	6517	345	397	0
29133	6560	345	397	0
29134	6593	345	397	0
29135	6629	345	397	0
29136	6664	345	397	0
29137	6700	345	397	0
29138	6734	345	397	0
29139	6772	345	397	0
29140	6807	345	397	0
29141	6841	345	397	0
29142	6874	345	397	0
29143	6907	345	397	0
29144	6940	345	397	0
29145	6974	345	397	0
29146	7007	345	397	0
29147	7039	345	397	0
29148	7079	345	397	0
29149	7113	345	397	0
29150	7147	345	397	0
29151	7183	345	397	0
29152	7217	345	397	0
29153	7255	345	397	0
29154	7292	345	397	0
29155	7331	345	397	0
29156	7411	345	397	0
29157	7482	345	397	0
29158	7548	345	397	0
29159	7598	345	397	0
29160	7631	345	397	0
29161	7664	345	397	0
29162	7700	345	397	0
29163	7735	345	397	0
29164	7769	345	397	0
29165	7802	345	397	0
29166	7835	345	397	0
29167	7879	345	397	0
29168	7915	345	397	0
29169	7948	345	397	0
29170	7982	345	397	0
29171	8016	345	397	0
29172	8049	345	397	0
29173	8086	345	397	0
29174	8119	345	397	0
29175	8152	345	397	0
29176	8189	345	397	0
29177	8222	345	397	0
29178	8255	345	397	0
29179	8289	345	397	0
29180	8321	345	397	0
29181	8354	345	397	0
29182	8387	345	397	0
29183	8422	345	397	0
29184	8456	345	397	0
29185	8492	345	397	0
29186	8524	345	397	0
29187	8558	345	397	0
29188	8593	345	397	0
29189	8630	345	397	0
29190	8679	345	397	0
29191	8712	345	397	0
29192	8744	345	397	0
29193	8777	345	397	0
29194	8811	345	397	0
29195	8844	345	397	0
29196	8878	345	397	0
29197	8911	345	397	0
