frame	time	x	y	burst
221127	34	509	285	0
221128	67	509	286	0
221129	103	506	289	0
221130	136	504	292	0
221131	175	502	296	0
221132	212	502	297	0
221133	247	499	301	0
221134	293	499	302	0
221135	329	494	309	0
221136	362	492	312	0
221137	401	490	315	0
221138	436	489	317	0
221139	470	488	321	0
221140	505	486	324	0
221141	539	485	327	0
221142	572	483	330	0
221143	605	483	332	0
221144	642	481	336	0
221145	678	480	339	0
221146	714	479	342	0
221147	752	478	345	0
221148	790	477	348	0
221149	834	477	352	0
221150	867	475	358	0
221151	901	475	361	0
221152	937	473	365	0
221153	971	473	368	0
221154	1009	472	370	0
221155	1049	470	374	0
221156	1085	469	377	0
221157	1121	468	380	0
221158	1154	469	382	0
221159	1202	467	387	0
221160	1235	467	388	0
221161	1271	465	389	0
221162	1307	465	389	0
221163	1340	463	392	0
221164	1374	461	392	0
221165	1409	459	393	0
221166	1443	458	393	0
221167	1477	459	393	0
221168	1522	459	393	0
221169	1558	459	394	0
221170	1601	460	394	0
221171	1635	460	396	0
221172	1670	460	396	0
221173	1706	461	396	0
221174	1741	461	395	0
221175	1775	461	395	0
221176	1817	461	396	0
221177	1857	460	395	0
221178	1893	460	395	0
221179	1928	459	393	0
221180	1961	459	392	0
221181	2002	458	391	0
221182	2044	457	391	0
221183	2078	456	391	0
221184	2113	455	391	0
221185	2149	452	392	0
221186	2191	451	392	0
221187	2226	449	392	0
221188	2262	445	394	0
221189	2298	441	395	0
221190	2333	440	395	0
221191	2368	438	397	0
221192	2401	436	398	0
221193	2437	434	399	0
221194	2470	431	401	0
221195	2506	428	403	0
221196	2541	426	405	0
221197	2577	425	408	0
221198	2610	424	410	0
221199	2645	421	414	0
221200	2685	419	417	0
221201	2720	420	418	0
221202	2757	418	422	0
221203	2802	416	423	0
221204	2835	416	422	0
221205	2869	414	422	0
221206	2905	414	422	0
221207	2940	413	421	0
221208	2976	412	421	0
221209	3010	411	421	0
221210	3049	409	421	0
221211	3086	407	421	0
221212	3122	404	421	0
221213	3156	402	420	0
221214	3201	398	419	0
221215	3236	395	419	0
221216	3270	394	418	0
221217	3303	391	417	0
221218	3336	389	417	0
221219	3372	385	417	0
221220	3408	382	416	0
221221	3452	378	415	0
221222	3491	375	414	0
221223	3524	371	412	0
221224	3557	369	411	0
221225	3601	365	411	0
221226	3634	362	411	0
221227	3668	359	410	0
221228	3704	357	409	0
221229	3740	353	408	0
221230	3775	351	408	0
221231	3811	350	407	0
221232	3845	346	407	0
221233	3879	343	407	0
221234	3914	338	407	0
221235	3951	335	406	0
221236	3985	333	405	0
