frame	time	x	y	burst
8275	32	334	249	0
8276	67	334	249	0
8277	106	334	249	0
8278	144	334	249	0
8279	193	334	249	0
8280	229	334	249	0
8281	264	334	249	0
8282	301	334	249	0
8283	343	334	249	0
8284	380	334	249	0
8285	421	334	249	0
8286	458	334	249	0
8287	497	334	249	0
8288	534	334	249	0
8289	568	334	249	0
8290	606	334	249	0
8291	644	334	249	0
8292	689	334	249	0
8293	724	335	249	0
8294	758	335	249	0
8295	800	335	249	0
8296	835	335	249	0
8297	869	335	249	0
8298	906	335	249	0
8299	944	335	249	0
8300	981	335	249	0
8301	1024	335	249	0
8302	1059	335	249	0
8303	1094	335	249	0
8304	1130	335	249	0
8305	1167	335	248	0
8306	1203	335	248	0
8307	1237	335	248	0
8308	1276	335	248	0
8309	1308	335	248	0
8310	1350	335	248	0
8311	1388	335	248	0
8312	1423	335	248	0
8313	1457	335	248	0
8314	1492	335	248	0
8315	1531	335	248	0
8316	1574	335	248	0
8317	1607	336	247	0
8318	1643	336	247	0
8319	1687	336	247	0
8320	1733	336	247	0
8321	1766	336	247	0
8322	1803	336	247	0
8323	1841	336	247	0
8324	1885	336	247	0
8325	1920	336	247	0
8326	1957	336	247	0
8327	2000	336	247	0
8328	2035	336	247	0
8329	2070	336	247	0
8330	2107	336	247	0
8331	2150	336	247	0
8332	2187	336	247	0
8333	2224	336	247	0
8334	2261	336	247	0
8335	2299	336	247	0
8336	2333	336	247	0
8337	2379	336	247	0
8338	2412	336	247	0
8339	2456	336	247	0
8340	2492	336	247	0
8341	2528	336	247	0
8342	2563	336	247	0
8343	2597	336	247	0
8344	2633	337	247	0
8345	2670	337	247	0
8346	2708	338	247	0
8347	2750	338	247	0
8348	2799	338	247	0
8349	2836	338	247	0
8350	2870	338	247	0
8351	2906	338	247	0
8352	2939	338	247	0
8353	2981	339	247	0
8354	3017	338	248	0
8355	3055	338	248	0
8356	3089	338	248	0
8357	3124	338	248	0
8358	3158	338	248	0
8359	3201	338	248	0
8360	3235	337	249	0
8361	3269	337	249	0
8362	3308	337	249	0
8363	3349	337	249	0
8364	3391	337	248	0
8365	3424	337	248	0
8366	3459	337	248	0
8367	3493	337	248	0
8368	3530	337	248	0
8369	3573	337	248	0
8370	3606	338	248	0
8371	3644	338	248	0
8372	3688	338	248	0
8373	3731	338	248	0
8374	3765	337	249	0
8375	3802	337	249	0
8376	3839	337	249	0
8377	3882	337	249	0
8378	3919	337	249	0
8379	3955	337	249	0
8380	4001	337	249	0
8381	4037	337	249	0
8382	4070	337	249	0
8383	4107	337	249	0
8384	4149	337	249	0
8385	4187	337	249	0
8386	4224	337	249	0
8387	4259	336	249	0
8388	4297	336	249	0
8389	4336	336	249	0
8390	4380	336	249	0
8391	4415	336	249	0
8392	4449	336	249	0
8393	4495	336	249	0
8394	4529	336	249	0
8395	4565	336	249	0
8396	4598	336	249	0
8397	4633	336	249	0
8398	4670	336	249	0
8399	4708	336	249	0
8400	4752	336	249	0
8401	4799	336	249	0
8402	4832	336	249	0
8403	4867	336	249	0
8404	4901	336	249	0
8405	4938	336	249	0
8406	4982	336	249	0
8407	5022	336	249	0
8408	5056	336	249	0
8409	5092	336	249	0
8410	5125	336	249	0
8411	5158	336	249	0
8412	5200	336	249	0
8413	5235	336	249	0
8414	5269	336	249	0
8415	5303	336	249	0
8416	5340	336	249	0
8417	5387	336	249	0
8418	5424	336	249	0
8419	5459	336	249	0
8420	5493	336	249	0
8421	5530	336	249	0
8422	5567	336	249	0
8423	5603	336	249	0
8424	5637	336	249	0
