frame	time	x	y	burst
30612	33	126	221	0
30613	67	128	219	0
30614	103	130	216	0
30615	138	132	213	0
30616	175	133	210	0
30617	222	136	207	0
30618	263	138	203	0
30619	299	140	201	0
30620	336	142	198	0
30621	371	146	192	0
30622	405	148	189	0
30623	442	149	188	0
30624	479	152	185	0
30625	515	154	182	0
30626	558	156	180	0
30627	592	160	174	0
30628	640	162	172	0
30629	675	164	169	0
30630	709	166	166	0
30631	746	168	162	0
30632	789	170	160	0
30633	827	172	157	0
30634	863	174	154	0
30635	897	177	148	0
30636	933	179	145	0
30637	967	181	143	0
30638	1004	182	140	0
30639	1040	185	137	0
30640	1075	187	134	0
30641	1110	189	131	0
30642	1143	190	129	0
30643	1177	192	125	0
30644	1211	195	121	0
30645	1256	196	119	0
30646	1296	198	115	0
30647	1331	199	112	0
30648	1365	201	106	0
30649	1398	203	102	0
30650	1440	204	100	0
30651	1473	205	97	0
30652	1514	206	93	0
30653	1551	208	90	0
30654	1594	209	87	0
30655	1630	210	83	0
30656	1667	211	81	0
30657	1702	215	74	0
30658	1739	216	71	0
30659	1784	219	67	0
30660	1820	220	65	0
30661	1861	221	61	0
30662	1900	222	59	0
30663	1936	223	57	0
30664	1971	227	52	0
30665	2006	229	48	0
30666	2039	230	46	0
30667	2072	231	44	0
30668	2109	233	41	0
30669	2156	235	38	0
30670	2197	236	35	0
30671	2240	240	30	0
30672	2273	241	27	0
30673	2308	242	27	0
30674	2343	244	27	0
30675	2380	245	27	0
30676	2421	245	28	0
30677	2463	245	30	0
30678	2497	246	30	0
30679	2533	246	30	0
30680	2569	246	30	0
30681	2605	246	30	0
30682	2640	247	30	0
30683	2675	247	31	0
30684	2709	247	33	0
30685	2744	247	33	0
30686	2777	247	34	0
30687	2814	248	35	0
30688	2848	250	37	0
30689	2884	250	38	0
30690	2925	253	41	0
30691	2960	254	41	0
30692	2995	259	46	0
30693	3039	262	48	0
30694	3072	264	51	0
30695	3107	265	52	0
30696	3142	267	54	0
30697	3178	270	57	0
30698	3222	273	59	0
30699	3261	275	62	0
30700	3299	277	64	0
30701	3333	280	67	0
30702	3370	282	70	0
30703	3408	284	72	0
30704	3443	286	74	0
30705	3478	287	75	0
30706	3515	289	77	0
30707	3559	291	80	0
30708	3595	293	82	0
30709	3632	295	84	0
30710	3667	297	86	0
30711	3701	300	90	0
30712	3738	302	92	0
30713	3775	305	94	0
30714	3811	306	96	0
30715	3846	307	97	0
30716	3882	309	98	0
30717	3920	311	100	0
30718	3956	314	102	0
30719	3999	315	103	0
30720	4033	318	107	0
30721	4068	321	110	0
30722	4102	322	113	0
30723	4140	324	115	0
30724	4175	326	117	0
30725	4218	327	118	0
30726	4255	330	120	0
30727	4300	332	122	0
30728	4336	334	124	0
30729	4371	338	128	0
30730	4405	340	130	0
30731	4441	342	132	0
30732	4479	343	135	0
30733	4522	345	136	0
30734	4559	346	138	0
30735	4592	349	142	0
30736	4638	352	146	0
30737	4672	354	147	0
30738	4707	356	150	0
30739	4741	357	151	0
30740	4778	360	153	0
30741	4822	362	156	0
30742	4860	364	158	0
30743	4896	366	161	0
30744	4931	371	166	0
