frame	time	x	y	burst
65349	30	363	72	0
65350	66	363	72	0
65351	100	364	72	0
65352	137	365	72	0
65353	180	365	72	0
65354	223	365	72	0
65355	258	365	72	0
65356	293	367	72	0
65357	334	368	73	0
65358	368	369	73	0
65359	404	369	74	0
65360	440	370	74	0
65361	478	370	74	0
65362	521	370	75	0
65363	564	370	75	0
65364	602	370	75	0
65365	645	370	75	0
65366	683	370	75	0
65367	719	371	75	0
65368	766	372	75	0
65369	800	374	75	0
65370	836	375	76	0
65371	873	375	76	0
65372	916	375	76	0
65373	953	375	77	0
65374	992	375	77	0
65375	1035	375	78	0
65376	1077	375	78	0
65377	1113	375	79	0
65378	1151	375	79	0
65379	1188	375	79	0
65380	1226	376	79	0
65381	1263	376	79	0
65382	1298	377	80	0
65383	1332	378	80	0
65384	1369	378	80	0
65385	1407	379	81	0
65386	1453	379	81	0
65387	1488	380	82	0
65388	1538	380	82	0
65389	1577	380	82	0
65390	1621	380	82	0
65391	1662	381	83	0
65392	1700	382	84	0
65393	1737	384	85	0
65394	1775	384	86	0
65395	1822	384	86	0
65396	1856	386	87	0
65397	1892	386	87	0
65398	1935	386	88	0
65399	1968	387	88	0
65400	2004	387	89	0
65401	2045	387	89	0
65402	2087	388	90	0
65403	2123	388	90	0
65404	2160	389	91	0
65405	2196	391	92	0
65406	2232	391	92	0
65407	2269	392	93	0
65408	2311	393	94	0
65409	2349	394	95	0
65410	2387	394	95	0
65411	2432	395	96	0
65412	2466	395	98	0
65413	2506	396	98	0
65414	2544	397	99	0
65415	2592	398	100	0
65416	2628	400	103	0
65417	2665	401	104	0
65418	2703	402	106	0
65419	2740	403	107	0
65420	2777	404	109	0
65421	2816	405	110	0
65422	2861	407	112	0
65423	2896	409	115	0
65424	2931	411	117	0
65425	2965	412	118	0
65426	3002	414	120	0
65427	3044	416	122	0
65428	3086	417	124	0
65429	3124	416	124	0
65430	3167	417	125	0
65431	3203	417	126	0
65432	3237	417	126	0
65433	3275	417	126	0
65434	3317	417	126	0
65435	3354	419	128	0
65436	3391	420	129	0
65437	3425	423	133	0
65438	3461	424	135	0
65439	3497	425	137	0
65440	3535	426	139	0
65441	3572	426	141	0
65442	3612	427	142	0
65443	3656	428	145	0
65444	3694	428	146	0
65445	3729	429	148	0
65446	3765	431	152	0
65447	3802	432	154	0
65448	3845	433	155	0
65449	3886	435	157	0
65450	3935	436	160	0
65451	3969	436	162	0
65452	4005	437	164	0
65453	4047	437	166	0
65454	4093	437	168	0
65455	4128	437	169	0
65456	4163	437	172	0
65457	4197	438	174	0
65458	4235	438	176	0
65459	4273	438	178	0
65460	4316	439	181	0
65461	4358	440	183	0
65462	4399	440	185	0
65463	4434	441	190	0
65464	4467	441	192	0
65465	4506	441	195	0
65466	4545	442	197	0
65467	4590	442	199	0
65468	4629	443	202	0
65469	4666	444	208	0
65470	4712	445	210	0
65471	4751	445	212	0
65472	4794	445	214	0
65473	4832	445	216	0
65474	4867	446	219	0
65475	4901	446	221	0
