frame	time	x	y	burst
103834	52	200	66	0
103835	115	200	65	0
103836	158	200	65	0
103837	216	200	65	0
103838	280	200	66	0
103839	343	200	66	0
103840	404	200	66	0
103841	458	200	66	0
103842	512	200	65	0
103843	579	200	66	0
103844	644	200	66	0
103845	710	200	66	0
103846	774	200	66	0
103847	836	200	66	0
103848	881	200	65	0
103849	939	200	65	0
103850	1006	200	65	0
103851	1047	200	65	0
103852	1136	200	65	0
103853	1176	200	65	0
103854	1238	200	65	0
103855	1289	200	65	0
103856	1360	200	65	0
103857	1407	200	65	0
103858	1450	200	65	0
103859	1535	200	65	0
103860	1608	200	65	0
103861	1672	200	65	0
103862	1718	200	65	0
103863	1797	200	65	0
103864	1839	200	65	0
103865	1890	200	65	0
103866	1975	200	65	0
103867	2041	200	65	0
103868	2115	200	65	0
103869	2172	200	65	0
103870	2216	200	65	0
103871	2305	200	65	0
103872	2381	200	65	0
103873	2447	200	65	0
103874	2516	200	65	0
103875	2576	200	65	0
103876	2645	200	65	0
103877	2710	200	65	0
103878	2783	200	64	0
103879	2874	200	64	0
103880	2952	200	65	0
103881	3010	200	65	0
103882	3079	200	65	0
103883	3146	200	65	0
103884	3213	200	65	0
103885	3274	200	65	0
103886	3350	200	66	0
103887	3441	200	66	0
103888	3507	200	66	0
103889	3573	200	66	0
103890	3640	200	66	0
103891	3705	200	66	0
103892	3807	200	66	0
103893	3871	200	66	0
103894	3928	200	66	0
103895	4008	200	66	0
103896	4104	200	66	0
103897	4178	200	66	0
103898	4241	200	66	0
103899	4310	200	66	0
103900	4381	200	66	0
103901	4446	200	66	0
103902	4503	200	66	0
103903	4572	200	66	0
103904	4643	200	66	0
103905	4704	200	66	0
103906	4774	200	66	0
103907	4838	200	66	0
103908	4906	200	66	0
103909	4986	200	66	0
103910	5053	200	66	0
103911	5117	200	66	0
103912	5209	200	66	0
103913	5302	200	66	0
103914	5370	200	66	0
103915	5427	200	66	0
103916	5498	200	66	0
103917	5564	200	66	0
103918	5624	200	66	0
103919	5690	200	66	0
103920	5785	200	66	0
103921	5843	200	66	0
103922	5888	200	66	0
103923	5931	200	66	0
103924	6006	200	66	0
103925	6073	200	66	0
103926	6137	199	66	0
103927	6204	199	66	0
103928	6275	199	66	0
103929	6343	199	66	0
103930	6406	200	66	0
103931	6469	200	66	0
103932	6529	200	66	0
103933	6591	200	66	0
103934	6651	200	66	0
103935	6714	200	66	0
103936	6776	200	66	0
103937	6840	200	66	0
103938	6905	200	66	0
103939	6997	200	66	0
103940	7043	200	66	0
103941	7109	200	66	0
103942	7208	200	66	0
103943	7299	200	66	0
103944	7367	200	66	0
103945	7432	200	66	0
103946	7473	200	66	0
103947	7567	200	66	0
103948	7605	200	66	0
103949	7692	200	65	0
103950	7755	200	65	0
103951	7825	200	65	0
103952	7902	200	65	0
103953	7967	200	65	0
103954	8032	200	65	0
103955	8104	200	65	0
103956	8195	200	65	0
103957	8265	200	65	0
103958	8320	200	64	0
103959	8402	200	65	0
103960	8470	200	65	0
103961	8537	200	65	0
103962	8628	200	65	0
103963	8693	200	65	0
103964	8776	200	65	0
103965	8824	200	66	0
103966	8900	200	66	0
103967	8965	200	66	0
103968	9031	200	67	0
103969	9104	199	70	0
103970	9190	199	71	0
103971	9262	199	71	0
103972	9328	199	71	0
103973	9400	199	71	0
103974	9491	199	71	0
103975	9541	199	72	0
103976	9610	199	71	0
103977	9696	199	71	0
103978	9768	199	72	0
103979	9843	199	72	0
103980	9897	199	72	0
103981	9972	199	72	0
103982	10028	199	73	0
103983	10079	199	74	0
103984	10133	200	75	0
103985	10199	199	78	0
103986	10285	199	83	0
103987	10345	199	90	0
103988	10407	199	92	0
103989	10471	200	94	0
103990	10541	200	102	0
103991	10601	200	106	0
103992	10664	201	112	0
103993	10746	202	117	0
103994	10800	204	122	0
103995	10864	204	125	0
103996	10934	203	131	0
103997	10998	204	135	0
103998	11063	205	142	0
103999	11132	205	145	0
104000	11201	206	149	0
104001	11264	207	154	0
104002	11311	208	157	0
104003	11369	209	159	0
104004	11463	210	161	0
104005	11528	214	167	0
104006	11572	216	171	0
104007	11635	217	172	0
104008	11734	218	174	0
104009	11793	220	178	0
104010	11860	221	180	0
104011	11926	222	182	0
104012	11999	222	183	0
104013	12067	223	184	0
104014	12134	223	185	0
104015	12219	223	187	0
104016	12278	223	188	0
104017	12364	223	189	0
104018	12445	224	189	0
104019	12499	224	190	0
104020	12569	223	190	0
104021	12639	224	190	0
104022	12720	224	190	0
104023	12780	224	190	0
104024	12840	224	190	0
104025	12905	224	190	0
104026	12964	224	190	0
104027	13030	223	191	0
104028	13089	223	191	0
104029	13155	223	191	0
104030	13211	223	191	0
104031	13273	223	191	0
104032	13364	223	191	0
104033	13429	223	191	0
104034	13498	223	191	0
104035	13561	223	191	0
104036	13630	223	191	0
104037	13697	223	191	0
104038	13775	223	191	0
104039	13850	223	191	0
104040	13930	223	191	0
104041	14020	223	191	0
104042	14067	223	191	0
104043	14133	223	191	0
104044	14197	223	191	0
104045	14268	223	191	0
104046	14332	223	191	0
104047	14418	223	191	0
104048	14484	223	191	0
104049	14556	223	191	0
104050	14622	223	191	0
104051	14692	223	191	0
104052	14766	223	190	0
104053	14841	223	190	0
104054	14893	223	190	0
104055	14958	223	191	0
104056	14998	223	191	0
104057	15068	223	190	0
104058	15132	223	191	0
104059	15211	223	191	0
104060	15270	223	191	0
104061	15332	223	191	0
104062	15395	223	191	0
104063	15447	223	191	0
104064	15509	223	191	0
104065	15567	223	191	0
104066	15652	223	191	0
104067	15724	223	191	0
104068	15797	223	191	0
104069	15856	223	191	0
104070	15918	223	191	0
104071	15991	223	191	0
104072	16056	223	191	0
104073	16127	224	191	0
104074	16192	224	192	0
104075	16262	224	192	0
104076	16326	224	192	0
104077	16388	224	192	0
104078	16459	224	193	0
104079	16525	224	193	0
104080	16589	224	193	0
104081	16636	225	193	0
104082	16714	225	193	0
104083	16774	225	193	0
104084	16830	224	194	0
104085	16906	224	194	0
104086	16988	224	194	0
104087	17050	224	194	0
104088	17121	224	194	0
104089	17191	224	194	0
104090	17266	224	195	0
104091	17335	223	195	0
104092	17400	223	195	0
104093	17484	223	194	0
104094	17543	223	194	0
104095	17593	223	194	0
104096	17663	223	194	0
104097	17760	223	194	0
104098	17826	223	194	0
104099	17903	223	194	0
104100	17992	223	194	0
104101	18080	223	194	0
104102	18138	223	194	0
104103	18224	223	194	0
104104	18298	223	194	0
104105	18389	223	194	0
104106	18463	223	194	0
104107	18550	223	194	0
104108	18597	223	194	0
104109	18665	223	194	0
104110	18746	223	194	0
104111	18824	224	194	0
104112	18889	223	195	0
104113	18956	223	195	0
104114	19024	223	199	0
104115	19088	223	201	0
104116	19163	223	203	0
104117	19251	223	206	0
104118	19310	223	211	0
104119	19380	223	213	0
104120	19452	223	215	0
104121	19515	225	219	0
104122	19576	225	224	0
104123	19661	226	227	0
104124	19727	227	232	0
104125	19793	229	239	0
104126	19861	231	245	0
104127	19961	231	247	0
104128	20024	233	255	0
104129	20116	233	257	0
104130	20187	235	263	0
104131	20248	236	267	0
104132	20328	236	269	0
104133	20392	238	273	0
104134	20455	238	274	0
104135	20520	238	274	0
104136	20606	238	274	0
104137	20664	238	274	0
104138	20729	238	274	0
104139	20782	238	274	0
104140	20839	238	274	0
104141	20893	238	274	0
104142	20983	238	274	0
104143	21044	238	274	0
104144	21111	239	274	0
104145	21181	239	275	0
104146	21240	240	275	0
104147	21293	241	276	0
104148	21383	242	276	0
104149	21435	243	277	0
104150	21528	243	277	0
104151	21594	243	277	0
104152	21650	243	277	0
104153	21715	243	277	0
104154	21782	243	277	0
104155	21846	243	277	0
104156	21913	243	277	0
104157	21984	243	277	0
104158	22032	243	277	0
104159	22093	243	277	0
104160	22152	243	277	0
104161	22217	243	277	0
104162	22288	243	277	0
104163	22355	243	277	0
104164	22420	243	277	0
104165	22480	243	277	0
104166	22538	243	277	0
104167	22585	243	277	0
104168	22667	243	277	0
104169	22733	243	277	0
104170	22812	243	277	0
104171	22866	243	277	0
104172	22924	243	277	0
104173	23012	243	277	0
104174	23079	243	277	0
104175	23123	243	277	0
104176	23188	243	277	0
104177	23256	243	277	0
104178	23313	243	277	0
104179	23374	243	277	0
104180	23424	243	277	0
104181	23496	243	277	0
104182	23560	243	277	0
104183	23611	243	277	0
104184	23654	243	277	0
104185	23738	243	277	0
104186	23815	243	277	0
104187	23879	243	277	0
104188	23953	243	277	0
104189	24028	243	277	0
104190	24081	243	277	0
104191	24161	243	277	0
104192	24244	243	277	0
104193	24309	243	277	0
104194	24357	242	279	0
104195	24420	242	280	0
104196	24478	242	281	0
104197	24521	239	287	0
104198	24589	239	288	0
104199	24655	239	290	0
104200	24721	239	290	0
104201	24788	239	291	0
104202	24862	239	292	0
104203	24940	240	294	0
104204	24991	240	296	0
104205	25086	240	296	0
104206	25152	240	296	0
104207	25216	240	296	0
104208	25287	240	296	0
104209	25348	240	296	0
104210	25424	240	296	0
104211	25481	240	296	0
104212	25541	240	296	0
104213	25591	240	296	0
104214	25657	240	296	0
104215	25719	240	296	0
104216	25779	240	296	0
104217	25846	240	296	0
104218	25909	240	296	0
104219	25975	240	296	0
104220	26054	240	296	0
104221	26110	240	296	0
104222	26177	240	296	0
104223	26245	240	296	0
104224	26310	240	296	0
104225	26375	240	296	0
104226	26443	240	296	0
104227	26505	241	296	0
104228	26550	241	296	0
104229	26614	241	296	0
104230	26677	241	296	0
104231	26723	241	296	0
104232	26762	241	296	0
104233	26845	241	296	0
104234	26914	241	296	0
104235	26998	241	296	0
104236	27076	241	296	0
104237	27164	241	296	0
104238	27221	241	296	0
104239	27287	241	296	0
104240	27345	241	296	0
104241	27411	240	297	0
104242	27480	240	298	0
104243	27574	241	302	0
104244	27634	239	310	0
104245	27706	239	313	0
104246	27776	239	318	0
104247	27839	239	326	0
104248	27906	238	330	0
104249	27975	238	335	0
104250	28045	237	340	0
104251	28115	237	344	0
104252	28172	236	347	0
104253	28248	236	349	0
104254	28332	236	350	0
104255	28407	236	351	0
104256	28455	236	352	0
104257	28521	236	352	0
104258	28583	235	353	0
104259	28647	235	354	0
104260	28744	234	355	0
104261	28834	235	356	0
104262	28901	233	359	0
104263	28977	231	361	0
104264	29037	231	363	0
104265	29112	229	365	0
104266	29181	230	365	0
104267	29247	231	366	0
104268	29348	230	368	0
104269	29447	231	371	0
104270	29542	233	373	0
104271	29614	233	376	0
104272	29684	233	376	0
104273	29750	233	376	0
104274	29825	233	376	0
104275	29905	233	376	0
104276	29968	233	376	0
104277	30041	233	376	0
104278	30111	233	376	0
104279	30179	233	376	0
104280	30250	233	376	0
104281	30343	233	376	0
104282	30439	232	377	0
104283	30513	230	380	0
104284	30587	229	381	0
104285	30679	227	383	0
104286	30745	227	383	0
104287	30840	228	383	0
104288	30902	227	383	0
104289	30978	228	383	0
104290	31046	228	383	0
104291	31111	227	383	0
104292	31206	228	383	0
104293	31270	227	383	0
104294	31347	228	382	0
104295	31447	228	382	0
104296	31507	229	380	0
104297	31578	231	380	0
104298	31656	233	379	0
104299	31741	233	377	0
104300	31814	233	376	0
104301	31877	233	373	0
104302	31937	234	373	0
104303	32012	234	372	0
104304	32074	235	369	0
104305	32150	237	367	0
104306	32240	237	365	0
104307	32303	238	362	0
104308	32369	237	361	0
104309	32440	237	359	0
104310	32519	237	359	0
104311	32579	238	358	0
104312	32669	238	358	0
104313	32749	238	358	0
104314	32804	238	358	0
104315	32873	238	358	0
104316	32937	238	358	0
104317	33009	238	358	0
104318	33073	238	358	0
104319	33145	238	357	0
104320	33226	238	354	0
104321	33300	239	350	0
104322	33373	239	345	0
104323	33436	239	340	0
104324	33497	239	338	0
104325	33569	239	333	0
104326	33638	238	326	0
104327	33706	238	322	0
104328	33778	237	318	0
104329	33880	236	314	0
104330	34043	235	308	0
104331	34172	235	305	0
104332	34243	235	305	0
104333	34334	235	305	0
104334	34407	235	305	0
104335	34502	235	305	0
104336	34598	235	305	0
104337	34683	235	305	0
104338	34749	235	305	0
104339	34845	235	305	0
104340	34966	235	305	0
104341	35076	235	305	0
104342	35208	235	305	0
104343	35296	235	305	0
104344	35375	235	305	0
104345	35446	235	305	0
104346	35608	235	305	0
104347	35701	235	305	0
104348	35831	235	305	0
104349	35912	235	305	0
104350	35968	235	305	0
104351	36021	235	305	0
104352	36133	235	305	0
104353	36200	235	305	0
104354	36303	235	305	0
104355	36360	235	305	0
104356	36438	235	305	0
104357	36544	235	305	0
104358	36663	235	305	0
104359	36707	235	305	0
104360	36800	235	305	0
104361	36868	235	305	0
104362	36933	235	305	0
104363	36999	235	305	0
104364	37062	235	305	0
104365	37110	235	305	0
104366	37205	235	305	0
104367	37280	235	305	0
104368	37398	235	305	0
104369	37479	235	305	0
104370	37546	235	305	0
104371	37638	235	305	0
104372	37710	235	305	0
104373	37799	235	305	0
104374	37898	235	305	0
104375	37970	235	305	0
104376	38037	235	305	0
104377	38133	235	305	0
104378	38201	235	305	0
104379	38285	235	304	0
104380	38372	235	301	0
104381	38469	235	300	0
104382	38535	236	297	0
104383	38598	237	295	0
104384	38682	237	294	0
104385	38773	238	292	0
104386	38840	240	288	0
104387	38936	241	285	0
104388	39033	243	280	0
104389	39099	245	277	0
104390	39180	245	274	0
104391	39262	246	273	0
104392	39345	248	268	0
104393	39424	248	267	0
104394	39570	248	266	0
104395	39674	248	264	0
104396	39737	248	264	0
104397	39834	248	264	0
104398	39918	248	264	0
104399	39959	248	264	0
104400	40037	248	264	0
104401	40134	248	264	0
104402	40230	248	264	0
104403	40293	248	264	0
104404	40509	248	264	0
104405	40575	248	268	0
104406	40663	249	270	0
104407	40772	250	272	0
104408	40828	253	276	0
104409	40897	254	279	0
104410	40996	254	279	0
104411	41072	255	280	0
104412	41158	255	281	0
104413	41237	256	283	0
104414	41336	257	284	0
104415	41409	258	285	0
104416	41498	259	286	0
104417	41578	260	287	0
104418	41639	260	287	0
104419	41748	260	287	0
104420	41870	260	287	0
104421	41983	260	287	0
104422	42031	260	287	0
104423	42106	260	287	0
104424	42221	260	287	0
104425	42286	260	287	0
104426	42333	260	287	0
104427	42400	260	287	0
104428	42493	260	287	0
104429	42570	260	287	0
104430	42664	260	287	0
104431	42768	260	287	0
