frame	time	x	y	burst
93571	44	216	89	0
93572	113	216	89	0
93573	177	216	90	0
93574	215	216	90	0
93575	270	215	91	0
93576	336	214	91	0
93577	400	213	91	0
93578	477	213	90	0
93579	528	213	90	0
93580	593	213	90	0
93581	674	213	90	0
93582	714	213	88	0
93583	769	214	88	0
93584	832	214	88	0
93585	895	215	88	0
93586	950	215	89	0
93587	1014	216	90	0
93588	1073	217	89	0
93589	1119	217	89	0
93590	1168	218	88	0
93591	1244	218	88	0
93592	1298	220	88	0
93593	1346	221	88	0
93594	1386	222	88	0
93595	1445	222	88	0
93596	1521	223	88	0
93597	1602	223	88	0
93598	1664	225	87	0
93599	1724	227	87	0
93600	1791	228	87	0
93601	1897	228	86	0
93602	1969	230	84	0
93603	2043	230	84	0
93604	2108	232	80	0
93605	2177	232	80	0
93606	2219	232	80	0
93607	2277	233	80	0
93608	2319	233	82	0
93609	2411	233	83	0
93610	2467	233	86	0
93611	2508	232	86	0
93612	2587	230	87	0
93613	2657	228	88	0
93614	2721	228	90	0
93615	2850	228	92	0
93616	2927	228	96	0
93617	2982	228	101	0
93618	3052	228	104	0
93619	3143	229	108	0
93620	3214	229	113	0
93621	3276	230	116	0
93622	3371	230	119	0
93623	3443	230	123	0
93624	3488	231	128	0
93625	3544	231	130	0
93626	3606	231	132	0
93627	3665	231	135	0
93628	3716	231	136	0
93629	3773	231	139	0
93630	3814	232	140	0
93631	3877	232	143	0
93632	3942	232	145	0
93633	4007	232	146	0
93634	4058	233	149	0
93635	4129	233	150	0
93636	4193	233	151	0
93637	4299	234	153	0
93638	4346	235	156	0
93639	4447	236	157	0
93640	4538	237	158	0
93641	4595	237	158	0
93642	4677	238	159	0
93643	4775	239	161	0
93644	4849	240	162	0
93645	4927	240	162	0
93646	5004	240	162	0
93647	5044	240	162	0
93648	5088	240	162	0
93649	5122	240	162	0
93650	5205	240	162	0
93651	5267	240	162	0
93652	5314	240	162	0
93653	5377	240	162	0
93654	5435	240	162	0
93655	5477	240	162	0
93656	5538	241	163	0
93657	5580	241	165	0
93658	5639	241	165	0
93659	5708	241	167	0
93660	5763	241	168	0
93661	5859	242	169	0
93662	5912	243	173	0
93663	5975	243	174	0
93664	6051	245	181	0
93665	6114	247	184	0
93666	6176	247	187	0
93667	6224	248	189	0
93668	6320	249	193	0
93669	6409	250	196	0
93670	6474	251	199	0
93671	6530	252	201	0
93672	6592	253	202	0
93673	6663	254	204	0
93674	6744	254	204	0
93675	6807	254	204	0
93676	6878	255	205	0
93677	6940	255	205	0
93678	6997	256	207	0
93679	7084	256	207	0
93680	7169	256	208	0
93681	7212	256	209	0
93682	7304	256	210	0
93683	7371	257	212	0
93684	7456	258	214	0
93685	7505	261	220	0
93686	7547	262	224	0
93687	7608	262	226	0
93688	7666	263	228	0
93689	7706	265	234	0
93690	7761	265	236	0
93691	7841	266	238	0
93692	7917	267	245	0
93693	8002	268	247	0
93694	8101	271	256	0
93695	8159	273	264	0
93696	8242	273	266	0
93697	8337	274	273	0
93698	8380	275	280	0
93699	8442	276	283	0
93700	8499	276	289	0
93701	8536	277	294	0
93702	8587	277	296	0
93703	8656	277	298	0
93704	8711	278	302	0
93705	8784	279	308	0
93706	8871	279	312	0
93707	8959	280	320	0
93708	9036	280	323	0
93709	9090	281	327	0
93710	9176	281	331	0
93711	9234	282	338	0
93712	9275	283	341	0
93713	9364	284	343	0
93714	9426	285	349	0
93715	9500	285	354	0
93716	9570	286	358	0
93717	9616	287	364	0
93718	9668	287	365	0
93719	9704	288	366	0
93720	9765	288	369	0
93721	9824	289	373	0
93722	9871	291	378	0
93723	9941	291	384	0
93724	10012	291	387	0
93725	10098	292	391	0
93726	10139	295	402	0
93727	10194	295	404	0
93728	10274	296	406	0
93729	10331	297	413	0
93730	10386	298	416	0
93731	10442	300	422	0
93732	10501	301	424	0
93733	10602	302	427	0
93734	10668	303	428	0
93735	10753	303	430	0
93736	10802	304	433	0
93737	10914	305	436	0
93738	11016	305	438	0
93739	11102	305	438	0
93740	11164	306	436	0
93741	11217	306	435	0
93742	11290	306	434	0
93743	11398	307	433	0
93744	11502	307	431	0
93745	11554	306	430	0
93746	11632	306	429	0
93747	11676	302	429	0
93748	11770	302	429	0
93749	11889	299	429	0
93750	11984	299	426	0
93751	12039	296	423	0
93752	12098	295	422	0
93753	12152	293	417	0
93754	12256	292	415	0
93755	12331	289	409	0
93756	12384	288	407	0
93757	12438	288	406	0
93758	12507	285	402	0
93759	12563	284	400	0
93760	12602	283	396	0
93761	12688	283	394	0
93762	12763	281	390	0
93763	12816	280	385	0
93764	12893	278	381	0
93765	12944	277	375	0
93766	13026	277	373	0
93767	13066	276	366	0
93768	13135	275	365	0
93769	13216	275	362	0
93770	13335	274	359	0
93771	13396	272	351	0
93772	13470	272	349	0
93773	13563	270	342	0
93774	13628	269	338	0
93775	13671	269	334	0
93776	13745	268	331	0
93777	13801	267	328	0
93778	13864	266	326	0
93779	13921	264	325	0
93780	13985	261	322	0
93781	14060	258	318	0
93782	14129	255	314	0
93783	14171	251	307	0
93784	14225	250	305	0
93785	14273	249	303	0
93786	14368	247	299	0
93787	14481	246	294	0
93788	14537	244	284	0
93789	14593	244	281	0
93790	14751	242	272	0
93791	14811	242	260	0
93792	14879	242	254	0
93793	14929	241	249	0
93794	14972	242	241	0
93795	15033	242	239	0
93796	15101	242	236	0
93797	15154	243	227	0
93798	15218	244	224	0
93799	15304	244	219	0
93800	15388	244	212	0
93801	15486	244	205	0
93802	15565	242	197	0
93803	15636	242	194	0
93804	15702	242	185	0
93805	15742	241	180	0
93806	15841	240	177	0
93807	15985	238	171	0
93808	16047	235	162	0
93809	16123	234	159	0
93810	16161	233	154	0
93811	16232	233	151	0
93812	16294	232	147	0
93813	16358	231	139	0
93814	16415	230	134	0
93815	16480	230	130	0
93816	16544	229	124	0
93817	16598	228	118	0
93818	16673	228	115	0
93819	16753	227	106	0
93820	16854	227	96	0
93821	16929	227	90	0
93822	17002	227	86	0
93823	17062	226	81	0
93824	17121	226	82	0
93825	17164	225	83	0
93826	17249	225	83	0
93827	17344	227	83	0
93828	17397	229	84	0
93829	17458	230	84	0
93830	17501	232	82	0
93831	17591	232	82	0
93832	17649	236	82	0
93833	17711	237	81	0
93834	17776	239	80	0
93835	17863	240	79	0
93836	17927	240	79	0
93837	17990	240	80	0
93838	18031	239	82	0
93839	18088	239	84	0
93840	18147	238	85	0
93841	18188	238	86	0
93842	18238	237	87	0
93843	18289	236	90	0
93844	18388	236	90	0
93845	18465	232	89	0
93846	18524	232	91	0
93847	18576	232	92	0
93848	18630	232	93	0
93849	18705	233	94	0
93850	18790	233	95	0
93851	18879	233	98	0
93852	18924	234	103	0
93853	18985	234	105	0
93854	19094	236	109	0
93855	19155	238	118	0
93856	19226	239	122	0
93857	19280	240	123	0
93858	19355	241	127	0
93859	19409	243	131	0
93860	19506	244	134	0
93861	19562	245	139	0
93862	19643	245	143	0
93863	19693	246	147	0
93864	19729	247	149	0
93865	19788	247	151	0
93866	19843	248	153	0
93867	19935	249	155	0
93868	19992	250	158	0
93869	20059	251	159	0
93870	20116	253	162	0
93871	20154	254	164	0
93872	20208	255	167	0
93873	20296	256	170	0
93874	20360	257	174	0
93875	20431	259	178	0
93876	20512	261	184	0
93877	20589	262	187	0
93878	20672	263	191	0
93879	20729	265	194	0
93880	20802	265	195	0
93881	20873	267	197	0
93882	20963	268	199	0
93883	21034	269	202	0
93884	21093	270	205	0
93885	21159	272	210	0
93886	21220	273	214	0
93887	21282	274	218	0
93888	21323	275	223	0
93889	21387	276	226	0
93890	21450	277	229	0
93891	21505	277	231	0
93892	21613	280	239	0
93893	21683	282	246	0
93894	21788	284	254	0
93895	21841	286	260	0
93896	21928	287	266	0
93897	21992	288	275	0
93898	22084	288	278	0
93899	22156	289	285	0
93900	22210	290	293	0
93901	22283	290	299	0
93902	22323	291	305	0
93903	22366	292	309	0
93904	22425	292	313	0
93905	22485	292	316	0
93906	22546	292	320	0
93907	22655	292	324	0
93908	22710	293	329	0
93909	22788	294	331	0
93910	22889	295	338	0
93911	22948	295	342	0
93912	23007	296	347	0
93913	23104	298	351	0
93914	23155	300	357	0
93915	23252	301	358	0
93916	23348	303	360	0
93917	23410	307	364	0
93918	23473	308	366	0
93919	23536	309	371	0
93920	23592	311	377	0
93921	23661	311	382	0
93922	23765	312	388	0
93923	23852	312	395	0
93924	23918	312	401	0
93925	23984	312	405	0
93926	24086	312	409	0
93927	24189	313	416	0
93928	24239	314	421	0
93929	24316	314	423	0
93930	24390	315	424	0
93931	24453	316	429	0
93932	24520	317	433	0
93933	24582	317	435	0
