frame	time	x	y	burst
22359	42	501	294	0
22360	93	500	291	0
22361	161	499	289	0
22362	211	498	284	0
22363	263	496	278	0
22364	323	494	272	0
22365	389	494	268	0
22366	446	493	262	0
22367	508	493	259	0
22368	570	493	255	0
22369	622	492	249	0
22370	676	492	247	0
22371	735	491	242	0
22372	794	491	237	0
22373	844	490	233	0
22374	909	490	230	0
22375	966	490	225	0
22376	1026	490	221	0
22377	1088	490	218	0
22378	1157	490	213	0
22379	1217	490	206	0
22380	1274	490	203	0
22381	1339	489	198	0
22382	1393	489	193	0
22383	1443	488	188	0
22384	1517	488	185	0
22385	1582	487	181	0
22386	1648	487	175	0
22387	1710	486	171	0
22388	1771	485	165	0
22389	1830	484	160	0
22390	1891	484	157	0
22391	1956	482	149	0
22392	2019	482	148	0
22393	2098	481	144	0
22394	2187	480	140	0
22395	2225	478	136	0
22396	2298	478	134	0
22397	2365	478	129	0
22398	2424	478	125	0
22399	2508	477	123	0
22400	2581	477	117	0
22401	2657	476	113	0
22402	2730	474	106	0
22403	2819	474	104	0
22404	2878	473	100	0
22405	2940	472	96	0
22406	3024	471	92	0
22407	3060	470	84	0
22408	3119	470	83	0
22409	3213	470	81	0
22410	3276	469	75	0
22411	3346	469	72	0
22412	3411	469	71	0
22413	3457	468	71	0
22414	3495	467	72	0
22415	3579	466	72	0
22416	3618	464	70	0
22417	3704	462	68	0
22418	3741	460	65	0
22419	3806	459	63	0
22420	3863	456	60	0
22421	3923	453	58	0
22422	3987	452	58	0
22423	4049	450	56	0
22424	4112	449	55	0
22425	4168	448	56	0
22426	4225	447	54	0
22427	4288	443	51	0
22428	4353	441	49	0
22429	4416	440	48	0
22430	4454	437	46	0
22431	4512	437	45	0
22432	4569	433	44	0
22433	4626	431	42	0
22434	4689	428	41	0
22435	4727	427	39	0
22436	4816	424	38	0
22437	4866	422	37	0
22438	4944	420	36	0
22439	5012	417	34	0
22440	5085	415	33	0
22441	5134	413	33	0
22442	5194	411	32	0
22443	5251	410	31	0
22444	5323	406	30	0
22445	5397	406	30	0
22446	5469	405	29	0
22447	5520	405	29	0
22448	5582	405	29	0
22449	5654	405	29	0
22450	5746	404	28	0
22451	5803	402	26	0
22452	5838	400	25	0
22453	5904	399	25	0
22454	5985	398	25	0
22455	6046	398	25	0
22456	6109	398	25	0
22457	6168	397	25	0
22458	6227	397	26	0
22459	6293	395	25	0
22460	6383	394	25	0
22461	6431	393	24	0
22462	6500	393	24	0
22463	6573	390	22	0
22464	6608	388	22	0
22465	6672	387	21	0
22466	6756	385	21	0
22467	6820	384	20	0
22468	6884	382	20	0
22469	6945	383	21	0
22470	7025	383	23	0
22471	7083	384	24	0
22472	7133	385	25	0
22473	7186	387	25	0
22474	7245	387	29	0
