frame	time	x	y	burst
116031	57	250	89	0
116032	134	250	89	0
116033	195	250	89	0
116034	243	250	88	0
116035	319	250	88	0
116036	395	250	89	0
116037	459	250	89	0
116038	535	250	88	0
116039	606	250	88	0
116040	668	250	89	0
116041	741	250	89	0
116042	828	250	88	0
116043	891	250	88	0
116044	938	250	89	0
116045	1009	250	89	0
116046	1100	250	89	0
116047	1163	250	89	0
116048	1227	250	88	0
116049	1283	250	89	0
116050	1339	250	89	0
116051	1395	250	89	0
116052	1468	250	88	0
116053	1529	250	88	0
116054	1589	250	89	0
116055	1627	250	89	0
116056	1667	250	88	0
116057	1767	250	88	0
116058	1839	250	88	0
116059	1909	250	88	0
116060	1989	250	89	0
116061	2052	250	89	0
116062	2123	250	88	0
116063	2169	250	89	0
116064	2229	250	88	0
116065	2289	250	88	0
116066	2335	250	88	0
116067	2395	250	88	0
116068	2464	250	89	0
116069	2525	250	89	0
116070	2598	250	89	0
116071	2672	250	88	0
116072	2732	250	88	0
116073	2796	250	88	0
116074	2884	250	89	0
116075	2942	250	89	0
116076	3001	250	89	0
116077	3064	250	89	0
116078	3131	250	89	0
116079	3197	250	88	0
116080	3279	250	88	0
116081	3344	250	89	0
116082	3396	250	89	0
116083	3455	250	88	0
116084	3498	250	89	0
116085	3565	250	89	0
116086	3628	250	88	0
116087	3697	250	89	0
116088	3758	250	89	0
116089	3830	250	89	0
116090	3897	250	89	0
116091	3963	250	89	0
116092	4028	250	89	0
116093	4080	250	89	0
116094	4119	250	89	0
116095	4173	250	89	0
116096	4237	250	89	0
116097	4295	250	89	0
116098	4353	250	89	0
116099	4427	250	88	0
116100	4494	250	89	0
116101	4548	250	89	0
116102	4591	250	88	0
116103	4662	250	89	0
116104	4737	250	89	0
116105	4795	250	89	0
116106	4860	250	88	0
116107	4916	250	89	0
116108	4987	250	88	0
116109	5065	250	89	0
116110	5129	250	89	0
116111	5197	250	89	0
116112	5266	250	89	0
116113	5322	250	89	0
116114	5385	250	89	0
116115	5444	250	88	0
116116	5496	250	88	0
116117	5558	250	89	0
116118	5595	250	89	0
116119	5660	250	89	0
116120	5724	250	89	0
116121	5792	250	89	0
116122	5864	250	89	0
116123	5936	250	88	0
116124	5995	250	88	0
116125	6061	250	89	0
116126	6124	250	89	0
116127	6188	250	89	0
116128	6253	250	89	0
116129	6297	250	89	0
116130	6354	250	89	0
116131	6397	250	89	0
116132	6459	250	89	0
116133	6512	250	89	0
116134	6557	250	89	0
116135	6636	250	89	0
116136	6697	250	89	0
116137	6756	250	89	0
116138	6796	250	89	0
116139	6850	250	89	0
116140	6913	250	89	0
116141	6978	250	89	0
116142	7027	250	89	0
116143	7098	250	89	0
116144	7152	250	89	0
116145	7192	250	89	0
116146	7261	250	89	0
116147	7323	250	89	0
116148	7412	250	89	0
116149	7486	250	89	0
116150	7530	250	89	0
116151	7637	250	89	0
116152	7703	250	89	0
116153	7790	250	89	0
116154	7929	250	89	0
116155	8024	250	89	0
116156	8095	250	89	0
116157	8191	250	89	0
116158	8287	250	89	0
116159	8394	250	89	0
116160	8470	250	89	0
116161	8598	250	89	0
116162	8663	250	89	0
116163	8802	250	89	0
116164	8893	250	89	0
116165	8979	250	89	0
116166	9054	250	89	0
116167	9126	250	89	0
116168	9221	250	89	0
116169	9295	250	89	0
116170	9364	250	89	0
116171	9444	250	89	0
116172	9517	250	89	0
116173	9626	250	89	0
116174	9726	250	89	0
116175	9820	250	89	0
116176	9891	250	89	0
116177	9989	250	89	0
116178	10066	250	89	0
116179	10133	250	89	0
116180	10253	250	89	0
116181	10316	250	89	0
116182	10397	250	89	0
116183	10503	250	89	0
116184	10622	250	89	0
116185	10726	250	89	0
116186	10829	250	89	0
116187	10927	250	89	0
116188	11022	250	89	0
116189	11117	250	89	0
116190	11201	250	89	0
116191	11284	250	89	0
116192	11356	250	89	0
116193	11453	250	89	0
116194	11580	250	89	0
116195	11661	250	89	0
116196	11757	250	89	0
116197	11854	250	89	0
116198	11916	250	89	0
116199	11989	250	89	0
116200	12089	250	89	0
116201	12158	250	88	0
116202	12227	250	88	0
116203	12319	250	88	0
116204	12413	250	88	0
116205	12466	250	88	0
116206	12548	250	88	0
116207	12654	250	88	0
116208	12748	250	88	0
116209	12812	250	88	0
116210	12879	250	89	0
116211	12945	250	89	0
116212	13022	250	89	0
116213	13116	250	89	0
116214	13182	250	89	0
116215	13246	250	88	0
116216	13322	250	88	0
116217	13395	250	89	0
116218	13476	250	89	0
116219	13579	250	89	0
116220	13637	250	89	0
116221	13752	250	89	0
116222	13823	250	89	0
116223	13980	250	89	0
116224	14085	250	90	0
116225	14190	250	90	0
116226	14283	250	90	0
116227	14382	250	90	0
116228	14491	250	90	0
116229	14550	250	90	0
116230	14618	250	90	0
116231	14686	250	89	0
116232	14782	250	90	0
116233	14846	250	90	0
116234	14919	250	90	0
116235	15018	250	90	0
116236	15116	250	90	0
116237	15190	250	90	0
116238	15313	250	90	0
116239	15387	250	90	0
116240	15516	250	90	0
116241	15654	250	90	0
116242	15749	250	90	0
116243	15824	250	90	0
116244	15887	250	90	0
116245	15983	250	90	0
116246	16081	250	90	0
116247	16156	250	90	0
116248	16252	250	90	0
116249	16382	250	90	0
116250	16513	250	90	0
116251	16615	250	90	0
116252	16670	250	90	0
116253	16748	250	90	0
116254	16820	250	89	0
116255	16909	250	90	0
116256	16981	250	90	0
116257	17035	250	90	0
116258	17082	250	90	0
116259	17155	250	90	0
116260	17213	250	90	0
116261	17340	250	90	0
116262	17415	250	89	0
116263	17492	250	90	0
116264	17550	250	90	0
116265	17646	250	90	0
116266	17750	250	90	0
116267	17807	250	90	0
116268	17853	250	90	0
116269	17988	250	90	0
116270	18110	250	90	0
116271	18206	250	90	0
116272	18279	250	90	0
116273	18349	250	90	0
116274	18448	250	90	0
116275	18529	250	90	0
116276	18593	250	90	0
116277	18721	250	90	0
116278	18813	250	90	0
116279	18879	250	90	0
116280	18940	250	90	0
116281	18990	250	90	0
116282	19038	250	90	0
116283	19119	250	90	0
116284	19247	250	90	0
116285	19309	250	90	0
116286	19382	250	90	0
116287	19444	250	90	0
116288	19508	250	90	0
116289	19612	250	90	0
116290	19740	250	90	0
116291	19806	250	90	0
116292	19884	250	90	0
116293	19944	250	90	0
116294	20018	250	90	0
116295	20099	250	89	0
116296	20173	250	90	0
116297	20241	250	90	0
116298	20287	250	90	0
116299	20433	250	90	0
116300	20573	250	90	0
116301	20680	250	90	0
116302	20770	250	90	0
116303	20823	250	90	0
116304	20907	250	90	0
116305	20966	250	90	0
116306	21031	250	90	0
116307	21152	250	90	0
116308	21250	250	90	0
116309	21338	250	90	0
116310	21406	250	90	0
116311	21469	250	90	0
116312	21546	250	90	0
116313	21622	250	90	0
116314	21709	250	90	0
116315	21772	250	90	0
116316	21868	250	90	0
116317	21945	250	90	0
116318	22034	250	90	0
116319	22097	250	90	0
116320	22179	250	90	0
116321	22241	250	90	0
116322	22345	250	90	0
116323	22438	250	90	0
116324	22510	250	90	0
116325	22647	250	90	0
116326	22724	250	90	0
116327	22809	250	90	0
116328	22910	250	90	0
116329	23013	250	90	0
116330	23103	250	90	0
116331	23185	250	90	0
116332	23282	250	90	0
116333	23376	250	90	0
116334	23455	250	90	0
116335	23554	250	90	0
116336	23643	250	90	0
116337	23732	250	90	0
116338	23816	250	90	0
116339	23907	250	90	0
116340	24011	250	90	0
116341	24113	250	90	0
116342	24242	250	90	0
116343	24311	250	90	0
116344	24441	250	90	0
116345	24513	250	90	0
116346	24583	250	90	0
116347	24648	250	90	0
116348	24712	250	90	0
116349	24778	250	90	0
116350	24874	250	90	0
116351	24944	250	90	0
116352	25067	250	90	0
116353	25150	250	90	0
116354	25246	250	90	0
116355	25306	250	90	0
116356	25438	250	90	0
116357	25504	250	90	0
116358	25597	250	90	0
116359	25673	250	90	0
116360	25773	250	90	0
116361	25893	250	90	0
116362	26006	250	90	0
116363	26071	250	90	0
116364	26128	250	90	0
116365	26223	250	90	0
116366	26338	250	90	0
116367	26427	250	90	0
