frame	time	x	y	burst
144397	37	284	76	0
144398	75	284	76	0
144399	112	283	73	0
144400	156	283	72	0
144401	207	282	69	0
144402	253	282	67	0
144403	291	281	64	0
144404	329	280	62	0
144405	371	280	61	0
144406	405	280	59	0
144407	441	279	57	0
144408	479	279	56	0
144409	514	278	54	0
144410	553	278	53	0
144411	606	278	50	0
144412	647	278	50	0
144413	684	278	49	0
144414	732	278	49	0
144415	771	278	49	0
144416	807	279	47	0
144417	867	280	45	0
144418	916	280	44	0
144419	953	281	44	0
144420	1011	281	43	0
144421	1046	281	43	0
144422	1099	282	42	0
144423	1148	282	42	0
144424	1183	282	42	0
144425	1256	282	42	0
144426	1297	282	42	0
144427	1346	282	42	0
144428	1396	282	42	0
144429	1464	282	41	0
144430	1539	281	41	0
144431	1589	281	41	0
144432	1627	281	41	0
144433	1669	281	41	0
144434	1711	281	41	0
144435	1756	281	41	0
144436	1810	281	41	0
144437	1851	281	41	0
144438	1899	281	39	0
144439	1951	281	39	0
144440	1987	282	39	0
144441	2025	282	39	0
144442	2063	282	40	0
144443	2100	282	40	0
144444	2151	282	40	0
144445	2214	282	40	0
144446	2249	282	41	0
144447	2310	283	41	0
144448	2347	282	43	0
144449	2401	282	43	0
144450	2436	282	43	0
144451	2507	282	43	0
144452	2576	282	44	0
144453	2633	281	45	0
144454	2677	282	46	0
144455	2729	283	47	0
144456	2775	283	48	0
144457	2819	284	50	0
144458	2869	285	52	0
144459	2909	285	53	0
144460	2982	286	55	0
144461	3075	287	59	0
144462	3132	287	61	0
144463	3189	287	64	0
144464	3226	288	67	0
144465	3274	288	68	0
144466	3345	288	69	0
144467	3381	289	74	0
144468	3446	289	76	0
144469	3484	289	77	0
144470	3535	289	79	0
144471	3588	289	80	0
144472	3635	289	84	0
144473	3698	289	85	0
144474	3760	290	88	0
144475	3793	289	92	0
144476	3846	289	94	0
144477	3906	289	95	0
144478	3961	289	99	0
144479	4013	289	102	0
144480	4050	289	104	0
144481	4099	290	106	0
144482	4179	290	108	0
144483	4225	290	110	0
144484	4267	290	114	0
144485	4313	290	115	0
144486	4353	290	119	0
144487	4408	290	121	0
144488	4486	290	122	0
144489	4533	289	128	0
144490	4571	289	130	0
144491	4632	289	133	0
144492	4679	289	135	0
144493	4733	289	137	0
144494	4780	289	141	0
144495	4822	289	145	0
