frame	time	x	y	burst
171777	38	161	74	0
171778	96	162	74	0
171779	144	165	72	0
171780	202	167	71	0
171781	242	171	68	0
171782	281	172	67	0
171783	336	173	66	0
171784	407	176	63	0
171785	459	179	60	0
171786	523	183	57	0
171787	592	184	57	0
171788	639	186	56	0
171789	675	186	56	0
171790	713	186	57	0
171791	789	187	57	0
171792	826	186	58	0
171793	886	186	59	0
171794	922	186	59	0
171795	965	186	60	0
171796	1023	186	61	0
171797	1071	188	62	0
171798	1131	188	62	0
171799	1172	190	63	0
171800	1208	191	63	0
171801	1269	192	64	0
171802	1323	194	66	0
171803	1369	195	68	0
171804	1436	195	69	0
171805	1477	197	72	0
171806	1545	198	73	0
171807	1623	200	76	0
171808	1675	202	80	0
171809	1747	203	84	0
171810	1816	203	87	0
171811	1860	204	92	0
171812	1903	206	96	0
171813	1938	206	98	0
171814	2029	207	101	0
171815	2102	209	105	0
171816	2165	211	112	0
171817	2218	214	118	0
171818	2298	215	123	0
171819	2360	216	129	0
171820	2433	216	132	0
171821	2471	218	141	0
171822	2555	219	143	0
171823	2629	219	149	0
171824	2698	221	158	0
171825	2761	221	160	0
171826	2830	222	164	0
171827	2891	225	173	0
171828	2968	226	177	0
171829	3028	227	180	0
171830	3088	228	184	0
171831	3136	230	189	0
171832	3224	231	191	0
171833	3297	233	196	0
171834	3361	237	204	0
171835	3412	240	210	0
171836	3486	241	213	0
171837	3537	243	219	0
171838	3603	243	221	0
171839	3653	246	228	0
171840	3723	246	229	0
171841	3830	247	235	0
171842	3893	248	247	0
171843	3968	248	252	0
171844	4009	248	256	0
171845	4065	248	262	0
171846	4142	249	268	0
171847	4197	250	273	0
171848	4234	251	278	0
171849	4315	253	283	0
171850	4365	255	291	0
171851	4427	255	294	0
171852	4496	256	301	0
171853	4561	257	307	0
171854	4618	258	312	0
171855	4676	258	315	0
171856	4728	260	322	0
171857	4770	262	328	0
171858	4893	263	331	0
171859	4943	267	342	0
171860	4985	268	345	0
171861	5050	269	348	0
171862	5114	273	357	0
171863	5160	274	362	0
171864	5204	275	365	0
171865	5286	275	367	0
171866	5349	276	373	0
171867	5385	278	378	0
171868	5439	278	380	0
171869	5514	280	385	0
171870	5569	284	392	0
171871	5624	285	395	0
171872	5689	286	397	0
171873	5739	289	404	0
171874	5798	289	406	0
171875	5860	290	408	0
171876	5922	295	417	0
171877	5969	297	423	0
171878	6011	298	425	0
171879	6069	299	428	0
171880	6160	301	432	0
171881	6194	305	437	0
171882	6275	306	439	0
171883	6344	307	440	0
171884	6409	309	447	0
171885	6496	309	449	0
171886	6584	308	449	0
171887	6649	307	449	0
171888	6724	307	449	0
171889	6797	306	447	0
171890	6835	305	446	0
171891	6902	305	446	0
171892	6967	305	445	0
171893	7028	303	445	0
171894	7081	303	444	0
171895	7146	300	445	0
171896	7189	299	446	0
171897	7226	296	447	0
171898	7266	295	448	0
171899	7336	294	449	0
171900	7424	293	449	0
171901	7513	293	447	0
171902	7588	292	446	0
171903	7650	292	445	0
171904	7705	292	444	0
171905	7786	290	442	0
171906	7844	290	441	0
171907	7912	290	438	0
171908	7964	290	437	0
171909	8008	290	433	0
171910	8057	291	432	0
171911	8094	292	427	0
171912	8160	292	425	0
171913	8227	291	419	0
171914	8281	290	414	0
171915	8357	289	411	0
171916	8428	287	403	0
171917	8495	286	398	0
171918	8554	285	394	0
171919	8590	284	391	0
171920	8649	283	389	0
171921	8722	282	387	0
171922	8757	281	384	0
171923	8841	280	382	0
171924	8890	279	377	0
171925	8935	279	375	0
171926	8999	278	370	0
171927	9053	276	365	0
171928	9113	274	359	0
171929	9158	274	357	0
171930	9216	273	350	0
171931	9253	272	345	0
171932	9293	272	342	0
171933	9327	271	339	0
171934	9394	271	336	0
171935	9466	271	330	0
171936	9543	271	325	0
171937	9625	269	315	0
171938	9690	269	310	0
171939	9737	268	303	0
171940	9824	268	300	0
171941	9899	268	291	0
171942	9977	267	284	0
171943	10021	267	278	0
171944	10093	266	271	0
171945	10159	266	265	0
171946	10224	266	258	0
171947	10296	267	251	0
171948	10344	269	246	0
171949	10398	270	243	0
171950	10471	271	237	0
171951	10529	273	227	0
171952	10596	273	223	0
171953	10662	273	217	0
