frame	time	x	y	burst
66350	47	156	274	0
66351	93	156	274	0
66352	162	150	276	0
66353	202	144	277	0
66354	262	141	278	0
66355	320	137	280	0
66356	392	133	281	0
66357	451	127	284	0
66358	513	126	287	0
66359	566	123	291	0
66360	649	121	293	0
66361	698	114	299	0
66362	763	113	300	0
66363	827	112	301	0
66364	867	112	301	0
66365	906	112	302	0
66366	966	111	303	0
66367	1024	110	307	0
66368	1066	110	309	0
66369	1131	111	309	0
66370	1189	111	309	0
66371	1251	111	309	0
66372	1300	111	309	0
66373	1361	111	309	0
66374	1432	112	308	0
66375	1495	112	308	0
66376	1563	113	308	0
66377	1672	113	308	0
66378	1738	115	306	0
66379	1799	116	306	0
66380	1861	117	306	0
66381	1927	118	305	0
66382	1985	118	305	0
66383	2062	118	305	0
66384	2109	118	305	0
66385	2166	118	304	0
66386	2231	118	303	0
66387	2301	120	300	0
66388	2362	121	298	0
66389	2430	122	296	0
66390	2499	124	291	0
66391	2566	125	286	0
66392	2672	127	280	0
66393	2731	128	274	0
66394	2795	130	270	0
66395	2865	130	269	0
66396	2928	131	262	0
66397	2968	131	257	0
66398	3024	132	254	0
66399	3065	132	250	0
66400	3154	132	250	0
66401	3225	132	250	0
66402	3304	132	250	0
66403	3368	132	250	0
66404	3434	132	250	0
66405	3489	132	250	0
66406	3528	132	250	0
66407	3585	131	250	0
66408	3660	131	250	0
66409	3724	131	250	0
66410	3760	131	250	0
66411	3862	131	251	0
66412	3922	131	253	0
66413	3962	131	253	0
66414	4017	131	253	0
66415	4080	132	254	0
66416	4126	133	255	0
66417	4166	133	255	0
66418	4232	133	256	0
66419	4291	133	256	0
66420	4414	133	256	0
66421	4490	133	256	0
66422	4554	134	256	0
66423	4593	134	256	0
66424	4695	134	256	0
66425	4785	136	257	0
66426	4846	136	258	0
66427	4904	136	259	0
66428	4994	136	260	0
66429	5073	137	261	0
66430	5136	137	262	0
66431	5250	136	264	0
66432	5344	136	269	0
66433	5403	137	275	0
66434	5460	138	279	0
66435	5523	138	285	0
66436	5584	139	289	0
66437	5621	139	294	0
66438	5666	140	297	0
66439	5755	141	300	0
66440	5832	142	306	0
66441	5929	143	309	0
66442	6017	146	318	0
66443	6097	150	325	0
66444	6197	150	327	0
66445	6272	155	338	0
66446	6325	157	343	0
66447	6429	158	346	0
66448	6522	163	352	0
66449	6609	166	354	0
66450	6702	171	357	0
66451	6811	173	362	0
66452	6880	173	363	0
66453	6940	173	363	0
66454	7024	173	364	0
66455	7122	171	367	0
66456	7186	169	375	0
66457	7251	167	381	0
66458	7308	166	386	0
66459	7408	165	388	0
66460	7512	165	392	0
66461	7609	166	391	0
66462	7684	167	391	0
66463	7773	167	391	0
66464	7859	167	391	0
66465	7904	168	391	0
66466	7994	168	392	0
66467	8053	169	392	0
66468	8119	173	394	0
66469	8189	175	394	0
66470	8254	181	397	0
66471	8292	182	397	0
66472	8382	186	398	0
66473	8478	191	398	0
66474	8570	197	397	0
66475	8620	200	397	0
66476	8693	205	396	0
66477	8753	209	397	0
66478	8853	211	396	0
66479	8918	213	396	0
66480	8970	213	396	0
66481	9038	213	396	0
66482	9117	214	394	0
66483	9180	215	394	0
66484	9284	216	393	0
66485	9343	216	393	0
66486	9421	216	393	0
66487	9492	217	392	0
66488	9556	221	390	0
66489	9618	222	389	0
66490	9701	223	389	0
66491	9821	224	388	0
66492	9905	223	389	0
66493	9990	221	390	0
66494	10047	221	390	0
66495	10117	220	390	0
66496	10172	218	391	0
66497	10237	217	391	0
66498	10326	216	391	0
66499	10392	215	389	0
66500	10455	214	388	0
66501	10528	214	387	0
66502	10629	212	381	0
66503	10700	209	376	0
66504	10761	207	375	0
66505	10859	207	375	0
66506	10955	207	375	0
66507	11017	207	375	0
66508	11071	207	376	0
66509	11152	208	377	0
66510	11198	208	378	0
66511	11271	208	379	0
66512	11346	208	380	0
66513	11419	208	381	0
66514	11495	207	382	0
66515	11568	206	384	0
66516	11622	207	386	0
66517	11676	207	389	0
66518	11750	207	394	0
66519	11840	208	399	0
66520	11930	209	404	0
66521	11982	210	409	0
66522	12049	211	412	0
66523	12114	211	418	0
66524	12189	211	422	0
66525	12251	212	422	0
66526	12313	212	421	0
66527	12380	212	421	0
66528	12451	212	421	0
66529	12513	213	421	0
66530	12581	213	420	0
66531	12718	213	420	0
66532	12800	214	422	0
66533	12883	217	422	0
66534	12943	219	422	0
66535	13010	220	422	0
66536	13066	226	424	0
66537	13133	228	424	0
66538	13207	234	426	0
66539	13273	240	426	0
66540	13339	246	428	0
66541	13393	248	428	0
66542	13482	253	428	0
66543	13534	260	428	0
66544	13579	265	428	0
66545	13642	267	429	0
66546	13697	272	430	0
66547	13779	274	432	0
66548	13844	278	433	0
66549	13902	278	433	0
66550	13968	278	433	0
66551	14010	279	434	0
66552	14048	282	436	0
66553	14096	284	437	0
66554	14176	285	437	0
66555	14221	285	435	0
66556	14280	285	435	0
66557	14319	285	435	0
66558	14381	285	434	0
66559	14444	285	433	0
66560	14521	286	431	0
66561	14586	289	428	0
66562	14650	289	426	0
66563	14722	291	421	0
66564	14797	291	416	0
66565	14875	292	412	0
66566	14952	294	406	0
66567	15018	296	402	0
66568	15085	297	399	0
66569	15148	298	398	0
66570	15212	298	398	0
66571	15276	298	398	0
66572	15344	298	398	0
66573	15382	299	397	0
66574	15452	300	396	0
66575	15514	301	392	0
66576	15577	301	390	0
66577	15645	302	385	0
66578	15682	303	381	0
66579	15749	303	380	0
66580	15817	303	376	0
66581	15884	303	375	0
66582	15957	304	370	0
66583	16026	304	366	0
66584	16095	304	363	0
66585	16171	304	361	0
66586	16244	304	361	0
66587	16309	304	360	0
66588	16366	303	357	0
66589	16441	302	356	0
66590	16508	299	351	0
66591	16576	298	349	0
66592	16634	298	349	0
66593	16707	298	349	0
66594	16777	298	349	0
66595	16847	298	349	0
66596	16912	298	349	0
66597	16951	298	349	0
66598	17027	298	349	0
66599	17085	300	349	0
66600	17168	301	347	0
66601	17230	302	346	0
66602	17306	303	343	0
66603	17344	304	340	0
66604	17405	304	339	0
66605	17472	306	335	0
66606	17536	306	335	0
66607	17584	306	335	0
66608	17661	306	335	0
66609	17727	306	335	0
66610	17787	306	335	0
66611	17846	307	336	0
66612	17912	308	336	0
66613	17990	309	336	0
66614	18059	310	338	0
66615	18125	313	341	0
66616	18178	316	344	0
66617	18219	319	347	0
66618	18277	321	348	0
66619	18319	324	350	0
66620	18369	326	351	0
66621	18424	328	352	0
66622	18492	328	353	0
66623	18550	328	353	0
66624	18586	328	353	0
66625	18652	328	353	0
