frame	time	x	y	burst
65715	43	182	204	0
65716	83	182	206	0
65717	123	182	207	0
65718	180	181	208	0
65719	218	180	211	0
65720	278	180	212	0
65721	336	180	213	0
65722	372	180	216	0
65723	410	180	216	0
65724	464	179	217	0
65725	515	179	218	0
65726	576	178	219	0
65727	640	178	219	0
65728	700	177	220	0
65729	767	177	220	0
65730	805	177	220	0
65731	859	177	221	0
65732	917	177	221	0
65733	976	176	221	0
65734	1043	176	221	0
65735	1107	176	221	0
65736	1149	175	222	0
65737	1199	175	222	0
65738	1261	174	223	0
65739	1310	174	223	0
65740	1380	174	223	0
65741	1424	174	223	0
65742	1542	173	224	0
65743	1594	174	225	0
65744	1664	173	227	0
65745	1717	173	229	0
65746	1774	173	230	0
65747	1815	172	232	0
65748	1879	173	232	0
65749	1935	172	235	0
65750	1976	172	236	0
65751	2061	172	238	0
65752	2125	172	240	0
65753	2178	171	242	0
65754	2243	171	243	0
65755	2277	171	246	0
65756	2374	172	247	0
65757	2425	172	251	0
65758	2496	172	252	0
65759	2547	172	255	0
65760	2583	172	256	0
65761	2675	172	259	0
65762	2745	173	263	0
65763	2836	172	267	0
65764	2907	172	270	0
65765	2970	172	273	0
65766	3041	172	274	0
65767	3149	173	275	0
65768	3209	173	280	0
65769	3272	172	282	0
65770	3306	173	285	0
65771	3376	173	286	0
65772	3444	172	289	0
65773	3542	172	291	0
65774	3606	173	295	0
65775	3658	172	298	0
65776	3728	172	299	0
65777	3782	172	302	0
65778	3879	172	303	0
65779	3985	172	306	0
65780	4037	172	309	0
65781	4076	171	311	0
65782	4138	171	312	0
65783	4203	171	314	0
65784	4243	171	314	0
65785	4305	171	316	0
65786	4368	171	316	0
65787	4416	171	316	0
65788	4471	170	316	0
65789	4539	170	316	0
65790	4608	170	316	0
65791	4646	170	316	0
65792	4704	170	316	0
65793	4751	170	317	0
65794	4809	170	317	0
65795	4875	170	318	0
65796	4930	170	320	0
65797	4991	169	322	0
65798	5075	169	324	0
65799	5141	168	328	0
65800	5179	168	330	0
65801	5241	168	332	0
65802	5305	167	333	0
65803	5391	165	338	0
65804	5447	165	340	0
65805	5537	164	341	0
65806	5604	161	348	0
65807	5667	160	350	0
65808	5752	160	351	0
65809	5811	158	355	0
65810	5867	157	358	0
65811	5938	157	359	0
65812	5999	155	363	0
65813	6069	154	365	0
65814	6104	153	368	0
65815	6163	153	369	0
65816	6222	152	372	0
65817	6278	151	375	0
65818	6330	149	378	0
65819	6405	149	379	0
65820	6470	148	381	0
65821	6537	146	385	0
65822	6590	146	389	0
65823	6647	146	390	0
65824	6680	145	393	0
65825	6762	145	394	0
65826	6834	143	396	0
65827	6868	143	397	0
65828	6940	143	397	0
65829	7000	142	398	0
65830	7036	142	398	0
65831	7078	141	399	0
65832	7136	141	399	0
65833	7205	141	399	0
65834	7266	141	399	0
65835	7329	141	399	0
65836	7390	141	399	0
65837	7458	141	399	0
65838	7515	142	398	0
65839	7579	142	398	0
65840	7636	142	398	0
65841	7698	143	398	0
65842	7757	142	400	0
65843	7825	141	403	0
