frame	time	x	y	burst
196102	53	326	422	0
196103	91	326	422	0
196104	131	326	422	0
196105	168	326	422	0
196106	221	326	422	0
196107	255	326	422	0
196108	292	326	421	0
196109	336	325	420	0
196110	377	325	420	0
196111	426	325	420	0
196112	466	325	420	0
196113	516	325	420	0
196114	553	325	420	0
196115	591	326	420	0
196116	648	326	420	0
196117	690	326	420	0
196118	738	326	420	0
196119	774	326	420	0
196120	823	326	420	0
196121	861	325	420	0
196122	908	325	420	0
196123	952	325	420	0
196124	1001	325	420	0
196125	1050	325	420	0
196126	1101	325	420	0
196127	1140	325	419	0
196128	1177	325	419	0
196129	1213	324	419	0
196130	1268	324	419	0
196131	1302	324	419	0
196132	1367	325	419	0
196133	1412	325	419	0
196134	1452	325	419	0
196135	1491	325	419	0
196136	1531	325	419	0
196137	1564	325	419	0
196138	1606	325	419	0
196139	1643	325	419	0
196140	1681	325	419	0
196141	1723	325	419	0
196142	1760	325	419	0
196143	1805	325	419	0
196144	1855	325	419	0
196145	1901	324	419	0
196146	1944	324	419	0
196147	1981	324	419	0
196148	2021	324	419	0
196149	2065	324	419	0
196150	2102	324	419	0
196151	2159	324	419	0
196152	2220	324	419	0
196153	2257	324	419	0
196154	2300	324	419	0
196155	2335	324	419	0
196156	2378	324	419	0
196157	2425	324	419	0
196158	2467	324	419	0
196159	2505	324	419	0
196160	2539	324	419	0
196161	2576	324	419	0
196162	2613	324	419	0
196163	2651	324	419	0
196164	2692	324	419	0
196165	2738	324	419	0
196166	2777	324	419	0
196167	2814	324	419	0
196168	2863	324	419	0
196169	2901	324	419	0
196170	2947	324	419	0
196171	2984	324	419	0
196172	3020	324	419	0
196173	3060	324	419	0
196174	3095	324	419	0
196175	3147	324	419	0
196176	3183	324	419	0
196177	3230	324	419	0
196178	3278	324	419	0
196179	3323	324	419	0
196180	3362	324	419	0
196181	3413	324	419	0
196182	3450	324	419	0
196183	3491	324	419	0
196184	3527	324	419	0
196185	3564	324	419	0
196186	3599	324	419	0
196187	3660	324	419	0
196188	3704	324	419	0
196189	3752	324	419	0
196190	3789	324	419	0
196191	3828	324	419	0
196192	3865	324	419	0
196193	3904	324	419	0
196194	3940	324	419	0
196195	3975	324	419	0
196196	4014	324	419	0
196197	4049	324	419	0
196198	4084	324	419	0
196199	4120	324	419	0
196200	4159	324	419	0
196201	4194	324	418	0
196202	4241	324	418	0
196203	4278	324	418	0
196204	4314	323	418	0
196205	4355	324	419	0
196206	4406	324	419	0
196207	4446	323	418	0
196208	4486	323	418	0
196209	4533	322	418	0
196210	4578	322	418	0
196211	4617	323	419	0
196212	4653	323	419	0
196213	4690	323	419	0
196214	4731	323	419	0
196215	4776	323	419	0
196216	4815	324	419	0
196217	4866	324	419	0
196218	4904	323	419	0
196219	4960	323	419	0
196220	5033	323	419	0
196221	5088	323	419	0
196222	5128	323	419	0
196223	5177	324	420	0
196224	5214	324	420	0
196225	5259	324	420	0
196226	5308	324	420	0
196227	5347	324	420	0
196228	5389	324	420	0
196229	5427	324	420	0
196230	5465	324	420	0
196231	5500	324	420	0
196232	5541	324	420	0
196233	5586	324	420	0
196234	5627	324	420	0
196235	5665	324	420	0
196236	5705	324	420	0
196237	5739	324	420	0
196238	5777	324	420	0
196239	5820	324	420	0
196240	5862	324	420	0
196241	5911	324	420	0
196242	5951	324	420	0
196243	5994	324	420	0
196244	6040	324	420	0
196245	6084	324	420	0
196246	6128	323	419	0
196247	6166	323	419	0
196248	6216	323	419	0
196249	6254	323	419	0
196250	6289	323	419	0
196251	6329	323	419	0
196252	6369	323	419	0
196253	6410	323	419	0
196254	6450	323	419	0
196255	6486	323	419	0
196256	6519	323	419	0
196257	6558	323	419	0
196258	6627	323	419	0
196259	6686	324	420	0
196260	6721	324	420	0
196261	6759	324	420	0
196262	6818	324	420	0
196263	6854	324	420	0
196264	6895	324	420	0
196265	6932	324	419	0
196266	6976	324	419	0
196267	7024	322	418	0
196268	7062	322	418	0
