frame	time	x	y	burst
176408	41	152	370	0
176409	76	152	370	0
176410	148	152	370	0
176411	193	152	370	0
176412	236	152	370	0
176413	272	152	370	0
176414	307	152	370	0
176415	364	152	370	0
176416	400	152	370	0
176417	435	152	370	0
176418	481	152	370	0
176419	523	152	370	0
176420	560	152	370	0
176421	607	152	370	0
176422	643	152	370	0
176423	721	152	370	0
176424	760	152	370	0
176425	796	152	370	0
176426	866	152	370	0
176427	915	152	370	0
176428	967	152	370	0
176429	1018	152	370	0
176430	1064	152	370	0
176431	1102	152	370	0
176432	1169	152	370	0
176433	1204	152	370	0
176434	1242	152	370	0
176435	1277	152	370	0
176436	1312	152	370	0
176437	1368	152	370	0
176438	1405	152	370	0
176439	1441	152	370	0
176440	1476	152	370	0
176441	1530	152	370	0
176442	1565	152	370	0
176443	1647	152	370	0
176444	1688	152	370	0
176445	1736	152	370	0
176446	1776	152	370	0
176447	1814	152	370	0
176448	1869	152	370	0
176449	1904	152	370	0
176450	1944	152	370	0
176451	1994	152	370	0
176452	2062	152	370	0
176453	2109	152	370	0
176454	2165	152	370	0
176455	2206	152	370	0
176456	2257	152	370	0
176457	2300	152	370	0
176458	2337	152	370	0
176459	2392	152	370	0
176460	2431	152	370	0
176461	2466	152	370	0
176462	2528	152	370	0
176463	2565	152	370	0
176464	2603	152	370	0
176465	2656	152	370	0
176466	2695	152	370	0
176467	2752	152	370	0
176468	2799	152	370	0
176469	2846	152	370	0
176470	2883	152	370	0
176471	2921	152	370	0
176472	2973	152	370	0
176473	3009	152	370	0
176474	3046	152	370	0
176475	3092	152	370	0
176476	3128	152	370	0
176477	3162	152	370	0
176478	3200	152	370	0
176479	3236	152	370	0
176480	3276	152	370	0
176481	3323	152	370	0
176482	3361	152	370	0
176483	3403	152	370	0
176484	3487	152	370	0
176485	3522	152	370	0
176486	3567	152	370	0
176487	3606	152	370	0
176488	3673	152	370	0
176489	3711	152	370	0
176490	3749	152	370	0
176491	3791	152	370	0
176492	3831	152	370	0
176493	3868	152	370	0
176494	3911	152	370	0
176495	3967	152	370	0
176496	4020	152	370	0
176497	4060	152	370	0
176498	4096	152	370	0
176499	4137	152	370	0
176500	4175	152	370	0
176501	4227	152	370	0
176502	4263	152	370	0
176503	4299	152	370	0
176504	4339	152	370	0
176505	4376	152	370	0
176506	4424	152	370	0
176507	4473	152	370	0
176508	4518	152	370	0
176509	4554	152	370	0
176510	4597	152	370	0
176511	4635	152	370	0
176512	4679	152	370	0
176513	4715	152	370	0
176514	4759	152	370	0
176515	4797	152	370	0
176516	4844	152	370	0
176517	4880	152	370	0
176518	4922	152	370	0
176519	4963	152	370	0
176520	5001	152	370	0
176521	5038	152	370	0
176522	5098	152	370	0
176523	5135	152	370	0
176524	5187	152	370	0
176525	5222	152	370	0
176526	5259	152	370	0
176527	5314	152	370	0
176528	5351	152	370	0
176529	5392	152	370	0
176530	5435	152	370	0
176531	5479	152	370	0
176532	5516	152	370	0
176533	5594	152	370	0
176534	5653	152	370	0
176535	5711	152	370	0
176536	5749	152	370	0
176537	5795	152	370	0
176538	5833	152	370	0
176539	5880	152	370	0
176540	5931	152	370	0
176541	5971	152	370	0
176542	6018	152	370	0
176543	6056	152	370	0
176544	6095	152	370	0
176545	6129	152	370	0
176546	6200	152	370	0
176547	6247	152	370	0
176548	6290	152	370	0
176549	6327	152	370	0
176550	6362	152	370	0
176551	6401	152	370	0
176552	6444	152	370	0
176553	6487	152	370	0
176554	6524	152	370	0
176555	6567	152	370	0
176556	6611	152	370	0
176557	6657	152	370	0
176558	6709	152	370	0
176559	6748	152	370	0
176560	6786	152	370	0
176561	6828	152	370	0
176562	6864	152	370	0
176563	6921	152	370	0
176564	6957	152	370	0
176565	6993	152	370	0
176566	7082	152	370	0
176567	7155	152	370	0
176568	7235	152	370	0
176569	7286	152	370	0
176570	7322	152	370	0
176571	7389	152	370	0
176572	7458	152	370	0
176573	7503	152	370	0
176574	7559	152	370	0
176575	7610	152	370	0
176576	7650	152	370	0
176577	7689	152	370	0
176578	7725	152	370	0
176579	7759	152	370	0
176580	7800	152	370	0
176581	7852	152	370	0
176582	7911	152	370	0
176583	7948	152	370	0
176584	7989	152	370	0
176585	8047	152	370	0
176586	8085	152	370	0
176587	8121	152	370	0
176588	8171	152	370	0
176589	8218	152	370	0
176590	8278	152	370	0
176591	8317	152	370	0
176592	8352	152	370	0
176593	8392	152	370	0
176594	8429	152	370	0
176595	8464	152	370	0
176596	8499	152	370	0
176597	8538	152	370	0
176598	8594	152	370	0
176599	8635	152	370	0
176600	8679	152	370	0
176601	8736	152	370	0
176602	8794	152	370	0
176603	8830	152	370	0
176604	8879	152	370	0
176605	8918	152	370	0
176606	8953	152	370	0
176607	8989	152	370	0
176608	9035	152	370	0
176609	9083	152	370	0
176610	9121	152	370	0
176611	9173	152	370	0
176612	9213	152	370	0
176613	9254	152	370	0
176614	9298	152	370	0
176615	9335	152	370	0
176616	9372	152	370	0
176617	9419	152	370	0
176618	9463	152	370	0
176619	9507	152	370	0
176620	9543	152	370	0
176621	9581	152	370	0
176622	9616	152	370	0
176623	9677	152	370	0
176624	9716	152	370	0
176625	9770	152	370	0
176626	9835	152	370	0
176627	9872	152	370	0
176628	9912	152	370	0
176629	9965	152	370	0
176630	10012	152	370	0
176631	10053	152	370	0
176632	10090	152	370	0
176633	10126	152	370	0
176634	10162	152	370	0
176635	10216	152	370	0
176636	10255	152	370	0
176637	10295	152	370	0
176638	10334	152	370	0
176639	10370	152	370	0
176640	10431	152	370	0
176641	10471	152	370	0
176642	10522	152	370	0
176643	10555	152	370	0
176644	10591	152	370	0
176645	10627	152	370	0
176646	10666	152	370	0
176647	10704	152	370	0
176648	10747	152	370	0
176649	10790	152	370	0
176650	10824	152	370	0
176651	10863	152	370	0
176652	10916	152	370	0
176653	10951	152	370	0
