frame	time	x	y	burst
54238	38	265	214	0
54239	72	265	214	0
54240	129	265	214	0
54241	185	265	214	0
54242	239	265	214	0
54243	303	265	214	0
54244	366	265	214	0
54245	405	265	214	0
54246	463	265	214	0
54247	501	266	216	0
54248	556	266	216	0
54249	612	267	218	0
54250	671	267	219	0
54251	732	267	219	0
54252	812	267	220	0
54253	890	267	219	0
54254	952	268	220	0
54255	1014	268	220	0
54256	1068	268	220	0
54257	1131	268	220	0
54258	1172	268	220	0
54259	1228	268	220	0
54260	1286	268	220	0
54261	1365	268	220	0
54262	1399	268	221	0
54263	1463	267	222	0
54264	1530	267	223	0
54265	1592	267	223	0
54266	1672	267	223	0
54267	1729	266	223	0
54268	1788	267	223	0
54269	1860	267	223	0
54270	1900	267	223	0
54271	1958	267	223	0
54272	2000	267	223	0
54273	2055	267	223	0
54274	2095	267	223	0
54275	2153	267	223	0
54276	2218	267	223	0
54277	2265	267	223	0
54278	2307	267	223	0
54279	2369	266	224	0
54280	2430	266	224	0
54281	2491	266	224	0
54282	2559	266	224	0
54283	2594	266	224	0
54284	2630	266	224	0
54285	2694	266	224	0
54286	2734	266	224	0
54287	2814	266	224	0
54288	2870	266	224	0
54289	2929	266	224	0
54290	2984	266	224	0
54291	3045	266	224	0
54292	3095	266	224	0
54293	3135	266	224	0
54294	3194	266	224	0
54295	3252	266	224	0
54296	3322	266	224	0
54297	3359	266	224	0
54298	3418	266	224	0
54299	3465	266	224	0
54300	3504	266	224	0
54301	3566	266	224	0
54302	3604	266	224	0
54303	3659	266	224	0
54304	3701	266	224	0
54305	3759	266	224	0
54306	3795	266	224	0
54307	3854	266	224	0
54308	3935	266	224	0
54309	3970	266	224	0
54310	4028	266	224	0
54311	4068	266	224	0
54312	4122	266	224	0
54313	4164	266	224	0
54314	4222	266	224	0
54315	4266	266	224	0
54316	4346	266	224	0
54317	4400	266	224	0
54318	4464	266	224	0
54319	4529	266	224	0
54320	4587	266	224	0
54321	4628	266	224	0
54322	4680	266	224	0
54323	4727	266	224	0
54324	4768	266	224	0
54325	4831	266	224	0
54326	4894	266	224	0
54327	4932	266	224	0
54328	4985	266	224	0
54329	5045	266	224	0
54330	5089	266	224	0
54331	5145	266	224	0
54332	5197	266	224	0
54333	5261	266	224	0
54334	5300	266	224	0
54335	5357	266	224	0
54336	5420	266	224	0
54337	5493	266	224	0
54338	5547	266	224	0
54339	5600	266	224	0
54340	5662	266	224	0
54341	5699	266	224	0
54342	5756	266	224	0
54343	5796	266	224	0
54344	5856	266	224	0
54345	5893	266	224	0
54346	5956	266	224	0
54347	6028	266	224	0
54348	6069	266	224	0
54349	6128	266	224	0
54350	6164	266	224	0
54351	6218	266	224	0
54352	6258	266	224	0
54353	6308	266	224	0
54354	6356	266	224	0
54355	6412	266	224	0
54356	6490	266	224	0
54357	6554	266	224	0
54358	6619	266	224	0
54359	6657	266	224	0
54360	6714	266	224	0
54361	6776	266	224	0
54362	6833	266	224	0
54363	6889	266	224	0
54364	6928	266	224	0
54365	6982	266	224	0
54366	7055	266	224	0
54367	7114	266	224	0
54368	7177	266	224	0
54369	7222	266	224	0
54370	7264	266	224	0
54371	7319	266	224	0
54372	7386	266	224	0
54373	7430	266	224	0
54374	7488	266	224	0
54375	7533	266	224	0
54376	7590	266	224	0
54377	7642	266	224	0
54378	7696	266	224	0
54379	7755	266	224	0
54380	7822	266	224	0
54381	7862	266	224	0
54382	7929	266	224	0
54383	7988	266	224	0
54384	8055	266	224	0
54385	8123	266	224	0
54386	8191	266	224	0
54387	8282	266	224	0
54388	8319	266	224	0
54389	8377	266	224	0
54390	8441	266	224	0
54391	8497	266	224	0
54392	8548	266	224	0
54393	8590	266	224	0
54394	8682	266	224	0
54395	8721	266	224	0
54396	8777	266	224	0
54397	8849	266	224	0
54398	8902	266	224	0
54399	8957	266	224	0
54400	8996	266	224	0
54401	9055	266	224	0
54402	9114	266	224	0
54403	9156	266	224	0
54404	9205	266	224	0
54405	9244	266	224	0
54406	9292	266	224	0
54407	9331	266	224	0
54408	9384	266	224	0
54409	9431	266	224	0
54410	9494	266	224	0
54411	9553	266	224	0
54412	9610	266	224	0
54413	9674	266	224	0
54414	9729	266	224	0
54415	9783	266	224	0
54416	9831	266	224	0
54417	9891	266	224	0
54418	9950	266	224	0
54419	9988	266	224	0
54420	10045	266	224	0
54421	10102	266	224	0
54422	10155	266	224	0
54423	10194	266	224	0
54424	10249	266	224	0
54425	10288	266	224	0
54426	10341	266	224	0
54427	10409	266	224	0
54428	10454	266	224	0
54429	10507	266	224	0
54430	10601	266	224	0
54431	10656	266	224	0
54432	10716	266	224	0
54433	10784	266	224	0
54434	10818	266	224	0
54435	10875	266	224	0
54436	10937	266	224	0
54437	10990	266	224	0
54438	11058	266	224	0
54439	11118	266	224	0
54440	11153	266	224	0
54441	11211	266	224	0
54442	11248	266	224	0
54443	11307	266	224	0
54444	11353	266	224	0
54445	11396	266	224	0
54446	11450	266	224	0
54447	11515	266	224	0
54448	11582	266	224	0
54449	11619	266	224	0
54450	11704	266	224	0
54451	11762	267	224	0
54452	11822	267	224	0
54453	11884	268	226	0
54454	11945	269	227	0
54455	12005	269	228	0
54456	12054	270	229	0
54457	12119	271	232	0
54458	12182	273	235	0
54459	12227	274	236	0
54460	12284	276	239	0
54461	12322	277	241	0
54462	12386	278	244	0
54463	12451	281	249	0
54464	12501	283	253	0
54465	12550	285	256	0
54466	12594	287	260	0
54467	12648	288	263	0
54468	12687	289	265	0
54469	12748	291	268	0
54470	12786	293	275	0
54471	12870	294	277	0
54472	12934	297	282	0
54473	12990	298	285	0
54474	13028	298	289	0
54475	13089	299	291	0
54476	13148	300	294	0
54477	13211	302	299	0
54478	13276	304	307	0
54479	13320	305	313	0
54480	13381	305	315	0
54481	13419	306	320	0
54482	13460	306	322	0
54483	13516	307	326	0
54484	13586	307	329	0
54485	13641	308	336	0
54486	13707	309	339	0
54487	13769	309	344	0
54488	13820	310	349	0
54489	13887	311	352	0
54490	13957	311	357	0
54491	14016	313	366	0
54492	14076	315	372	0
54493	14128	315	375	0
54494	14188	316	381	0
54495	14252	316	389	0
