frame	time	x	y	burst
128801	35	121	235	0
128802	96	121	232	0
128803	156	121	230	0
128804	215	121	226	0
128805	278	120	222	0
128806	335	120	215	0
128807	396	120	212	0
128808	456	120	204	0
128809	517	121	199	0
128810	570	123	195	0
128811	632	123	194	0
128812	692	124	191	0
128813	746	126	186	0
128814	836	127	184	0
128815	913	130	176	0
128816	984	132	168	0
128817	1048	133	165	0
128818	1111	134	162	0
128819	1163	136	155	0
128820	1224	137	150	0
128821	1292	139	146	0
128822	1363	139	144	0
128823	1423	143	141	0
128824	1480	145	140	0
128825	1543	146	138	0
128826	1588	148	137	0
128827	1629	151	133	0
128828	1697	153	130	0
128829	1767	157	126	0
128830	1830	159	124	0
128831	1880	163	121	0
128832	1956	164	120	0
128833	1996	168	116	0
128834	2034	171	113	0
128835	2100	172	112	0
128836	2164	175	109	0
128837	2215	177	108	0
128838	2280	179	107	0
128839	2356	180	106	0
128840	2409	180	106	0
128841	2463	180	106	0
128842	2524	180	106	0
128843	2559	182	107	0
128844	2615	183	107	0
128845	2661	184	106	0
128846	2723	186	106	0
128847	2783	188	106	0
128848	2858	193	104	0
128849	2926	200	100	0
128850	2980	205	97	0
128851	3031	208	95	0
128852	3111	209	93	0
128853	3175	211	92	0
128854	3225	212	92	0
128855	3294	213	91	0
128856	3347	215	89	0
128857	3393	217	87	0
128858	3448	218	86	0
128859	3516	220	85	0
128860	3566	221	84	0
128861	3651	222	85	0
128862	3697	222	86	0
128863	3756	222	86	0
128864	3813	222	86	0
128865	3860	222	87	0
128866	3942	222	87	0
128867	4002	222	87	0
128868	4055	222	90	0
128869	4122	221	91	0
128870	4185	221	94	0
128871	4225	220	101	0
128872	4290	220	102	0
128873	4344	219	105	0
128874	4409	218	109	0
128875	4457	217	115	0
128876	4517	217	117	0
128877	4560	217	125	0
128878	4617	217	128	0
128879	4661	217	133	0
128880	4723	217	134	0
128881	4786	218	137	0
128882	4851	218	145	0
128883	4899	218	151	0
128884	4952	218	154	0
128885	4995	220	160	0
128886	5051	220	162	0
128887	5092	220	166	0
128888	5156	221	167	0
128889	5219	221	168	0
128890	5273	221	168	0
128891	5347	221	168	0
128892	5391	221	169	0
128893	5487	222	173	0
128894	5545	224	180	0
128895	5610	226	186	0
128896	5670	227	191	0
128897	5726	229	197	0
128898	5783	230	200	0
128899	5850	231	201	0
128900	5920	231	202	0
128901	5977	231	202	0
128902	6040	231	202	0
128903	6085	231	202	0
128904	6130	231	202	0
128905	6190	231	202	0
128906	6246	231	202	0
128907	6307	231	202	0
128908	6352	231	202	0
128909	6409	231	202	0
128910	6473	231	203	0
128911	6522	231	204	0
128912	6591	231	204	0
128913	6650	231	203	0
128914	6712	231	203	0
128915	6776	231	203	0
128916	6839	231	203	0
128917	6904	231	203	0
128918	6959	231	203	0
128919	7018	231	203	0
128920	7060	231	203	0
128921	7125	231	203	0
128922	7184	231	204	0
128923	7221	231	203	0
128924	7284	231	203	0
128925	7352	231	203	0
128926	7418	231	203	0
128927	7481	231	203	0
128928	7520	231	203	0
128929	7576	231	203	0
128930	7622	231	203	0
128931	7680	231	203	0
128932	7718	231	203	0
128933	7757	231	203	0
128934	7796	231	203	0
128935	7856	231	203	0
128936	7909	231	203	0
128937	7975	231	203	0
128938	8040	231	203	0
128939	8104	231	203	0
128940	8166	231	203	0
128941	8221	231	203	0
128942	8292	231	203	0
128943	8352	231	203	0
128944	8403	231	203	0
128945	8453	231	203	0
128946	8516	231	203	0
128947	8573	231	203	0
128948	8630	231	203	0
128949	8696	231	203	0
128950	8748	231	203	0
128951	8789	231	203	0
128952	8857	231	203	0
128953	8917	231	203	0
128954	8977	231	203	0
128955	9052	231	203	0
