frame	time	x	y	burst
116239	49	368	200	0
116240	87	368	195	0
116241	131	368	193	0
116242	171	369	191	0
116243	216	369	189	0
116244	272	369	187	0
116245	313	370	181	0
116246	373	370	177	0
116247	408	370	173	0
116248	453	371	168	0
116249	510	371	166	0
116250	549	372	163	0
116251	603	372	158	0
116252	644	373	155	0
116253	689	373	152	0
116254	726	374	149	0
116255	777	376	144	0
116256	813	377	138	0
116257	851	378	135	0
116258	900	378	133	0
116259	949	379	131	0
116260	1011	379	130	0
116261	1053	379	130	0
116262	1109	379	130	0
116263	1152	379	130	0
116264	1193	379	130	0
116265	1298	379	130	0
116266	1341	379	130	0
116267	1380	380	129	0
116268	1414	380	128	0
116269	1451	381	127	0
116270	1486	381	127	0
116271	1533	381	126	0
116272	1574	381	126	0
116273	1629	381	126	0
116274	1664	381	126	0
116275	1701	381	126	0
116276	1755	381	126	0
116277	1800	381	126	0
116278	1853	381	126	0
116279	1901	381	126	0
116280	1948	381	126	0
116281	1999	381	126	0
116282	2044	381	126	0
116283	2095	381	126	0
116284	2142	381	126	0
116285	2238	382	126	0
116286	2275	383	126	0
116287	2314	384	126	0
116288	2357	384	126	0
116289	2399	384	126	0
116290	2436	384	126	0
116291	2484	384	126	0
116292	2521	384	126	0
116293	2555	384	126	0
116294	2589	384	126	0
116295	2624	384	126	0
116296	2668	384	126	0
116297	2705	384	126	0
116298	2746	384	126	0
116299	2782	384	126	0
116300	2831	384	126	0
116301	2873	384	126	0
116302	2910	384	126	0
116303	2969	384	126	0
116304	3007	384	126	0
116305	3048	384	126	0
116306	3084	384	126	0
116307	3118	384	126	0
116308	3153	384	127	0
116309	3187	385	127	0
116310	3228	385	127	0
116311	3271	385	127	0
116312	3307	385	127	0
116313	3344	385	127	0
116314	3397	385	127	0
116315	3438	385	127	0
116316	3479	385	127	0
116317	3517	385	127	0
116318	3554	385	127	0
116319	3590	385	127	0
116320	3627	385	127	0
116321	3673	385	126	0
116322	3744	385	125	0
116323	3801	385	124	0
116324	3853	385	123	0
116325	3896	384	123	0
116326	3933	383	123	0
116327	3968	382	124	0
116328	4007	382	123	0
116329	4061	381	123	0
116330	4102	381	123	0
116331	4141	381	122	0
116332	4199	381	122	0
116333	4248	381	122	0
116334	4330	381	122	0
116335	4385	381	122	0
116336	4445	381	122	0
116337	4479	381	122	0
116338	4517	381	122	0
116339	4556	380	122	0
116340	4593	380	121	0
116341	4630	380	121	0
116342	4674	380	122	0
116343	4712	380	121	0
116344	4746	380	121	0
116345	4782	380	121	0
116346	4817	380	122	0
116347	4872	380	122	0
116348	4908	380	121	0
116349	4945	380	121	0
116350	4993	380	121	0
116351	5031	380	121	0
116352	5074	380	121	0
116353	5111	380	121	0
116354	5146	380	122	0
116355	5227	380	121	0
116356	5275	380	122	0
116357	5321	380	122	0
116358	5371	380	121	0
116359	5408	380	121	0
116360	5448	380	121	0
116361	5493	380	121	0
116362	5599	380	121	0
116363	5675	381	122	0
116364	5710	380	122	0
116365	5752	380	122	0
116366	5793	380	122	0
116367	5833	381	121	0
116368	5900	381	121	0
116369	5942	381	121	0
116370	5996	381	121	0
116371	6033	381	121	0
116372	6071	381	121	0
116373	6106	381	121	0
116374	6152	381	121	0
116375	6193	381	121	0
116376	6232	381	121	0
116377	6271	381	121	0
116378	6309	381	121	0
116379	6344	381	121	0
116380	6401	381	121	0
116381	6458	381	121	0
116382	6496	381	121	0
116383	6535	381	121	0
116384	6567	381	121	0
116385	6615	381	121	0
116386	6650	381	121	0
116387	6701	381	121	0
116388	6741	381	121	0
116389	6781	381	121	0
116390	6820	381	121	0
116391	6861	381	121	0
116392	6907	381	121	0
116393	6941	381	121	0
116394	7005	381	121	0
116395	7042	381	121	0
116396	7100	381	121	0
116397	7151	381	121	0
116398	7186	381	121	0
116399	7223	381	121	0
116400	7274	381	121	0
116401	7310	381	121	0
116402	7346	381	121	0
116403	7379	381	121	0
116404	7418	381	121	0
116405	7457	381	121	0
116406	7492	381	121	0
116407	7548	381	121	0
116408	7609	381	121	0
116409	7670	381	121	0
116410	7715	381	121	0
116411	7756	381	121	0
116412	7796	381	121	0
116413	7833	380	123	0
116414	7871	379	123	0
116415	7910	378	123	0
116416	7995	378	123	0
116417	8031	378	123	0
116418	8068	377	123	0
116419	8109	376	123	0
116420	8164	376	123	0
116421	8206	375	123	0
116422	8253	375	123	0
116423	8290	375	123	0
116424	8326	375	123	0
116425	8360	375	123	0
116426	8407	375	123	0
116427	8450	375	123	0
116428	8502	375	123	0
116429	8537	375	123	0
116430	8578	375	123	0
116431	8622	375	122	0
116432	8661	375	122	0
116433	8720	374	121	0
116434	8764	373	119	0
116435	8807	373	118	0
116436	8844	373	118	0
116437	8893	373	117	0
116438	8932	373	116	0
116439	8971	373	115	0
116440	9021	373	114	0
116441	9062	373	113	0
116442	9102	373	112	0
116443	9140	373	111	0
116444	9174	373	111	0
116445	9208	373	111	0
116446	9261	373	111	0
116447	9306	373	111	0
116448	9383	373	110	0
116449	9430	373	110	0
116450	9481	374	109	0
116451	9532	374	109	0
116452	9591	374	109	0
116453	9636	374	109	0
116454	9679	374	109	0
116455	9728	374	109	0
116456	9773	374	109	0
116457	9811	374	109	0
116458	9862	374	109	0
116459	9903	374	109	0
116460	9941	374	109	0
116461	9992	374	109	0
116462	10030	374	109	0
116463	10074	374	109	0
116464	10128	374	109	0
116465	10173	374	109	0
116466	10239	374	109	0
116467	10285	374	109	0
116468	10326	374	109	0
116469	10366	375	109	0
116470	10404	375	109	0
116471	10451	375	109	0
116472	10495	375	109	0
116473	10535	375	109	0
116474	10568	375	109	0
116475	10618	375	109	0
116476	10659	375	109	0
116477	10697	375	108	0
116478	10762	376	108	0
116479	10801	376	108	0
116480	10846	376	108	0
116481	10896	376	108	0
116482	10936	376	108	0
116483	10972	376	108	0
116484	11018	376	108	0
116485	11052	376	108	0
116486	11102	376	108	0
116487	11162	376	108	0
116488	11196	376	108	0
116489	11232	376	108	0
116490	11275	376	108	0
116491	11315	376	108	0
116492	11354	376	108	0
116493	11399	376	108	0
116494	11449	376	108	0
116495	11489	376	108	0
116496	11560	376	108	0
116497	11628	376	108	0
116498	11677	376	108	0
116499	11725	376	108	0
116500	11772	376	108	0
116501	11821	376	108	0
116502	11862	376	108	0
116503	11898	376	108	0
116504	11970	376	108	0
116505	12024	376	109	0
116506	12063	376	109	0
116507	12108	376	109	0
116508	12144	376	109	0
116509	12183	376	109	0
116510	12223	376	109	0
116511	12289	376	109	0
116512	12327	374	110	0
116513	12369	374	111	0
116514	12408	374	111	0
116515	12446	373	111	0
116516	12489	373	111	0
116517	12529	374	112	0
116518	12571	374	112	0
116519	12620	374	112	0
116520	12657	374	112	0
116521	12696	374	112	0
116522	12764	374	112	0
116523	12803	374	112	0
116524	12840	374	112	0
116525	12877	374	112	0
116526	12913	374	112	0
116527	12952	374	112	0
116528	12992	374	112	0
116529	13056	374	112	0
116530	13094	374	112	0
116531	13130	374	112	0
116532	13173	374	112	0
116533	13226	374	112	0
116534	13265	374	112	0
116535	13307	374	112	0
116536	13360	374	112	0
116537	13405	374	112	0
116538	13442	374	112	0
116539	13479	374	112	0
116540	13521	374	112	0
116541	13559	374	112	0
116542	13610	374	112	0
116543	13645	374	112	0
116544	13680	374	112	0
116545	13725	374	112	0
116546	13770	374	112	0
116547	13825	374	112	0
116548	13867	374	112	0
116549	13915	374	112	0
116550	13952	374	112	0
116551	13991	374	112	0
116552	14039	374	112	0
116553	14095	374	112	0
116554	14139	374	112	0
116555	14175	374	112	0
116556	14239	374	112	0
116557	14286	374	112	0
116558	14336	374	112	0
116559	14370	374	112	0
116560	14408	374	112	0
116561	14448	374	112	0
116562	14489	374	112	0
116563	14546	374	112	0
116564	14582	374	112	0
116565	14625	374	112	0
116566	14661	374	112	0
116567	14703	374	112	0
116568	14752	374	112	0
116569	14796	374	112	0
116570	14832	374	112	0
116571	14868	374	112	0
116572	14903	374	112	0
116573	14953	374	112	0
116574	15003	374	112	0
116575	15069	374	112	0
116576	15120	374	112	0
116577	15170	374	112	0
116578	15204	374	112	0
116579	15261	374	112	0
116580	15296	374	112	0
116581	15366	374	112	0
116582	15412	374	112	0
116583	15454	374	112	0
116584	15491	374	112	0
116585	15530	374	112	0
116586	15584	374	112	0
116587	15622	374	112	0
116588	15665	374	112	0
116589	15701	374	112	0
116590	15757	374	112	0
116591	15795	374	112	0
116592	15833	374	112	0
116593	15885	374	112	0
116594	15925	374	112	0
116595	15965	374	112	0
116596	16004	374	112	0
116597	16042	374	112	0
116598	16079	374	112	0
116599	16113	374	112	0
116600	16154	374	112	0
116601	16206	374	112	0
116602	16240	374	112	0
116603	16278	374	112	0
116604	16314	374	112	0
116605	16349	374	112	0
116606	16432	374	112	0
116607	16484	374	112	0
116608	16528	374	112	0
116609	16563	374	112	0
116610	16598	374	112	0
116611	16635	374	112	0
116612	16669	374	112	0
116613	16705	374	112	0
116614	16755	374	112	0
116615	16795	374	112	0
116616	16838	374	112	0
116617	16876	374	112	0
116618	16920	374	112	0
116619	16990	374	112	0
116620	17066	374	112	0
116621	17122	374	112	0
116622	17160	374	112	0
116623	17210	374	112	0
116624	17256	374	112	0
116625	17309	374	112	0
116626	17347	374	112	0
116627	17394	374	112	0
116628	17456	374	112	0
116629	17504	374	112	0
116630	17541	374	112	0
116631	17585	374	112	0
116632	17641	374	112	0
116633	17698	374	112	0
116634	17736	374	112	0
116635	17813	374	112	0
