frame	time	x	y	burst
130239	33	421	352	0
130240	71	420	354	0
130241	123	419	356	0
130242	158	418	359	0
130243	225	416	363	0
130244	277	413	367	0
130245	325	410	370	0
130246	362	407	375	0
130247	398	405	377	0
130248	455	403	380	0
130249	497	402	383	0
130250	540	398	387	0
130251	591	396	390	0
130252	630	394	393	0
130253	674	394	395	0
130254	711	390	398	0
130255	748	388	400	0
130256	803	387	402	0
130257	840	384	406	0
130258	874	383	406	0
130259	911	383	406	0
130260	969	382	407	0
130261	1018	381	406	0
130262	1078	381	405	0
130263	1117	379	406	0
130264	1151	378	407	0
130265	1208	377	407	0
130266	1253	376	408	0
130267	1288	376	408	0
130268	1349	374	409	0
130269	1396	374	409	0
130270	1443	371	410	0
130271	1487	369	411	0
130272	1527	366	413	0
130273	1580	364	415	0
130274	1621	362	416	0
130275	1661	361	416	0
130276	1704	361	416	0
130277	1767	361	416	0
130278	1812	361	416	0
130279	1857	360	416	0
130280	1907	355	419	0
130281	1951	355	419	0
130282	1989	354	419	0
130283	2037	353	419	0
130284	2083	352	419	0
130285	2119	352	419	0
130286	2152	352	419	0
130287	2198	352	419	0
130288	2232	352	419	0
130289	2275	352	419	0
130290	2315	352	419	0
130291	2351	350	419	0
130292	2382	348	420	0
130293	2433	346	422	0
130294	2469	344	423	0
130295	2515	344	424	0
130296	2550	341	426	0
130297	2585	341	425	0
130298	2630	339	426	0
130299	2668	339	425	0
130300	2707	339	424	0
130301	2743	339	424	0
130302	2794	337	424	0
130303	2829	336	424	0
130304	2864	336	424	0
130305	2897	336	424	0
130306	2932	333	423	0
130307	2970	334	423	0
130308	3015	333	422	0
130309	3055	332	421	0
130310	3094	330	418	0
130311	3140	330	417	0
130312	3181	329	416	0
130313	3214	327	411	0
130314	3250	327	410	0
130315	3291	326	407	0
130316	3333	326	405	0
130317	3371	325	401	0
130318	3404	325	399	0
130319	3457	325	397	0
130320	3504	325	394	0
130321	3548	325	389	0
130322	3580	325	384	0
130323	3615	325	381	0
130324	3660	325	380	0
130325	3705	325	376	0
130326	3750	325	374	0
130327	3791	325	372	0
130328	3843	325	367	0
130329	3886	324	364	0
130330	3926	324	362	0
130331	3976	324	357	0
130332	4018	324	356	0
130333	4053	323	355	0
130334	4093	323	353	0
130335	4147	322	352	0
130336	4190	322	349	0
130337	4249	322	348	0
130338	4285	321	345	0
130339	4330	321	345	0
130340	4380	321	345	0
130341	4420	320	342	0
130342	4456	319	341	0
130343	4500	319	341	0
130344	4538	319	341	0
130345	4587	319	342	0
130346	4626	319	342	0
130347	4667	318	342	0
130348	4713	318	342	0
130349	4755	319	343	0
130350	4799	318	343	0
130351	4846	317	342	0
130352	4888	315	340	0
130353	4923	314	340	0
130354	4974	314	340	0
130355	5015	313	340	0
130356	5077	313	341	0
130357	5112	313	341	0
130358	5161	312	341	0
130359	5222	312	342	0
130360	5264	312	343	0
130361	5314	312	343	0
130362	5354	313	343	0
130363	5404	314	343	0
130364	5449	313	343	0
130365	5493	314	343	0
130366	5529	313	345	0
130367	5582	313	346	0
130368	5617	314	348	0
130369	5668	314	350	0
130370	5722	316	353	0
130371	5777	317	355	0
130372	5816	317	357	0
130373	5855	319	359	0
130374	5910	320	360	0
130375	5953	320	360	0
130376	5987	321	362	0
130377	6022	322	363	0
130378	6092	322	363	0
130379	6137	322	363	0
130380	6186	322	363	0
130381	6227	322	364	0
130382	6261	323	365	0
130383	6315	324	368	0
130384	6353	325	372	0
130385	6388	327	374	0
130386	6420	327	376	0
130387	6471	327	378	0
130388	6507	328	380	0
130389	6547	329	385	0
130390	6594	330	387	0
130391	6628	330	389	0
130392	6664	330	390	0
130393	6717	330	392	0
130394	6753	331	395	0
130395	6812	332	397	0
130396	6848	331	399	0
130397	6884	332	403	0
130398	6930	332	405	0
130399	6963	332	406	0
130400	7001	332	409	0
130401	7045	333	409	0
130402	7080	332	411	0
130403	7132	332	412	0
130404	7180	333	414	0
130405	7216	333	416	0
130406	7265	334	417	0
130407	7302	333	419	0
130408	7339	333	424	0
130409	7390	334	425	0
130410	7429	333	428	0
130411	7466	333	429	0
130412	7512	333	429	0
130413	7553	332	427	0
130414	7592	332	426	0
130415	7646	332	426	0
130416	7681	332	426	0
130417	7731	332	426	0
130418	7780	330	427	0
130419	7830	330	427	0
130420	7863	329	428	0
130421	7919	329	428	0
130422	7960	329	427	0
130423	7993	328	427	0
130424	8032	327	427	0
130425	8071	327	427	0
130426	8103	325	427	0
130427	8146	325	427	0
130428	8181	325	426	0
130429	8226	325	426	0
