frame	time	x	y	burst
27550	31	290	47	0
27551	76	290	45	0
27552	123	290	42	0
27553	177	290	38	0
27554	235	290	36	0
27555	291	290	35	0
27556	326	290	30	0
27557	380	290	27	0
27558	426	290	23	0
27559	459	290	22	0
27560	507	290	22	0
27561	557	290	22	0
27562	616	290	22	0
27563	663	290	22	0
27564	716	289	22	0
27565	761	288	22	0
27566	793	288	21	0
27567	842	288	20	0
27568	872	287	20	0
27569	906	287	20	0
27570	945	287	20	0
27571	980	287	20	0
27572	1026	287	21	0
27573	1067	289	22	0
27574	1108	289	23	0
27575	1152	290	23	0
27576	1188	290	24	0
27577	1225	290	24	0
27578	1275	290	25	0
27579	1329	291	25	0
27580	1366	290	27	0
27581	1406	290	28	0
27582	1440	289	28	0
27583	1495	289	30	0
27584	1543	288	30	0
27585	1594	287	30	0
27586	1649	287	31	0
27587	1698	286	31	0
27588	1731	286	32	0
27589	1777	285	32	0
27590	1817	286	34	0
27591	1861	286	36	0
27592	1902	286	37	0
27593	1937	285	38	0
27594	1985	285	39	0
27595	2019	285	41	0
27596	2057	285	43	0
27597	2108	285	46	0
27598	2158	285	48	0
27599	2224	284	52	0
27600	2256	284	56	0
27601	2307	284	59	0
27602	2360	284	60	0
27603	2416	283	65	0
27604	2468	283	67	0
27605	2509	283	71	0
27606	2544	283	74	0
27607	2585	283	75	0
27608	2636	283	78	0
27609	2680	283	82	0
27610	2730	282	84	0
27611	2764	283	88	0
27612	2795	283	91	0
27613	2835	284	94	0
27614	2882	284	95	0
27615	2919	284	98	0
27616	2957	284	102	0
27617	2998	284	104	0
27618	3031	284	106	0
27619	3078	284	107	0
27620	3134	284	108	0
27621	3191	284	112	0
27622	3245	284	115	0
27623	3290	285	118	0
27624	3345	284	122	0
27625	3395	285	124	0
27626	3427	285	128	0
27627	3477	285	130	0
27628	3507	285	132	0
27629	3565	285	134	0
27630	3609	285	137	0
27631	3661	285	139	0
27632	3720	285	144	0
27633	3774	285	146	0
27634	3837	285	151	0
27635	3873	285	156	0
27636	3920	286	158	0
27637	3969	287	162	0
27638	4020	287	164	0
27639	4073	287	166	0
27640	4110	287	171	0
27641	4151	287	173	0
27642	4204	287	176	0
27643	4249	288	181	0
27644	4299	288	184	0
27645	4347	288	186	0
27646	4379	288	188	0
27647	4422	289	191	0
27648	4476	289	192	0
27649	4513	289	195	0
27650	4548	289	197	0
27651	4585	290	198	0
27652	4619	290	201	0
27653	4662	290	204	0
27654	4703	290	206	0
27655	4738	291	208	0
27656	4778	292	210	0
27657	4816	292	212	0
27658	4849	292	213	0
27659	4885	292	214	0
27660	4919	293	216	0
