frame	time	x	y	burst
199917	28	289	49	0
199918	70	289	49	0
199919	110	289	49	0
199920	156	289	49	0
199921	191	289	49	0
199922	236	289	49	0
199923	271	289	50	0
199924	323	289	50	0
199925	365	289	51	0
199926	404	290	53	0
199927	442	291	55	0
199928	478	291	55	0
199929	523	292	56	0
199930	561	293	59	0
199931	597	294	62	0
199932	635	294	62	0
199933	672	295	64	0
199934	710	296	66	0
199935	744	297	67	0
199936	793	298	68	0
199937	841	300	72	0
199938	891	301	73	0
199939	943	301	74	0
199940	992	303	76	0
199941	1034	305	80	0
199942	1072	305	80	0
199943	1127	306	81	0
199944	1187	306	81	0
199945	1241	309	84	0
199946	1305	309	85	0
199947	1364	311	87	0
199948	1419	313	89	0
199949	1471	315	92	0
199950	1507	316	93	0
199951	1564	317	95	0
199952	1618	319	98	0
199953	1675	320	100	0
199954	1724	322	103	0
199955	1761	323	106	0
199956	1797	324	108	0
199957	1845	324	109	0
199958	1878	325	109	0
199959	1927	326	111	0
199960	1990	326	112	0
199961	2029	327	115	0
199962	2070	328	117	0
199963	2107	329	119	0
199964	2157	330	121	0
199965	2206	331	123	0
199966	2261	331	124	0
199967	2308	333	128	0
199968	2341	333	129	0
199969	2397	334	131	0
199970	2436	335	134	0
199971	2469	335	136	0
199972	2521	336	138	0
199973	2569	336	140	0
199974	2615	337	143	0
199975	2662	338	145	0
199976	2710	339	148	0
199977	2759	340	149	0
199978	2804	340	151	0
199979	2849	341	154	0
199980	2902	341	156	0
199981	2936	341	159	0
199982	2981	342	161	0
199983	3022	343	162	0
199984	3057	343	164	0
199985	3109	344	166	0
199986	3164	345	170	0
199987	3211	347	173	0
199988	3263	347	174	0
199989	3323	348	177	0
199990	3367	349	179	0
199991	3418	349	181	0
199992	3461	350	183	0
199993	3507	350	184	0
199994	3542	352	186	0
199995	3594	352	187	0
199996	3636	353	190	0
199997	3690	354	191	0
199998	3764	355	193	0
199999	3822	355	196	0
200000	3870	356	197	0
200001	3942	357	203	0
200002	3992	359	206	0
200003	4044	360	208	0
200004	4098	362	212	0
200005	4159	363	216	0
200006	4222	366	221	0
200007	4261	368	225	0
200008	4318	369	226	0
200009	4372	369	229	0
200010	4413	371	234	0
200011	4472	372	235	0
200012	4510	374	239	0
200013	4562	375	243	0
200014	4599	376	246	0
200015	4653	377	248	0
200016	4715	378	251	0
200017	4767	380	254	0
200018	4805	383	259	0
200019	4841	383	260	0
200020	4895	385	263	0
200021	4952	387	267	0
200022	5005	388	269	0
200023	5062	390	273	0
200024	5110	391	277	0
200025	5166	393	279	0
200026	5203	394	283	0
200027	5258	395	285	0
200028	5312	397	289	0
200029	5369	398	291	0
200030	5426	402	295	0
200031	5474	404	299	0
200032	5517	405	300	0
200033	5575	406	303	0
200034	5612	406	305	0
200035	5673	406	307	0
200036	5708	406	310	0
200037	5765	406	312	0
200038	5825	406	316	0
200039	5865	406	320	0
200040	5935	406	323	0
200041	5986	405	327	0
200042	6036	406	328	0
200043	6075	405	331	0
200044	6129	405	334	0
200045	6170	404	337	0
200046	6206	404	339	0
200047	6271	404	340	0
200048	6324	405	343	0
200049	6375	404	347	0
200050	6413	403	349	0
200051	6474	403	351	0
200052	6519	403	355	0
200053	6569	403	356	0
200054	6605	402	360	0
200055	6664	402	362	0
200056	6702	402	365	0
200057	6757	402	367	0
200058	6817	402	369	0
200059	6860	402	371	0
200060	6911	401	374	0
200061	6959	401	376	0
200062	7015	402	377	0
200063	7053	402	380	0
200064	7110	402	381	0
200065	7162	402	385	0
200066	7199	402	388	0
200067	7259	402	390	0
200068	7303	402	394	0
200069	7359	402	396	0
200070	7425	401	396	0
200071	7463	401	395	0
200072	7517	400	394	0
200073	7580	400	394	0
200074	7632	399	394	0
200075	7669	399	394	0
200076	7717	399	394	0
200077	7769	399	393	0
200078	7820	398	392	0
200079	7863	397	392	0
200080	7914	397	391	0
200081	7963	396	391	0
200082	8012	395	390	0
200083	8066	392	389	0
200084	8122	392	388	0
200085	8189	390	387	0
200086	8238	388	384	0
200087	8292	388	384	0
200088	8361	386	382	0
200089	8417	384	380	0
