frame	time	x	y	burst
32422	39	301	240	0
32423	73	301	238	0
32424	126	300	235	0
32425	167	300	232	0
32426	209	300	229	0
32427	253	300	224	0
32428	311	299	219	0
32429	358	299	213	0
32430	403	298	211	0
32431	443	298	209	0
32432	491	298	205	0
32433	528	297	202	0
32434	561	297	200	0
32435	593	296	195	0
32436	635	296	192	0
32437	670	295	189	0
32438	702	295	186	0
32439	739	295	185	0
32440	769	295	182	0
32441	821	294	179	0
32442	866	294	177	0
32443	899	294	172	0
32444	949	293	170	0
32445	1005	293	167	0
32446	1045	292	162	0
32447	1088	292	161	0
32448	1130	291	155	0
32449	1180	290	153	0
32450	1227	290	149	0
32451	1265	290	147	0
32452	1320	289	145	0
32453	1364	289	144	0
32454	1398	289	144	0
32455	1433	289	144	0
32456	1479	289	144	0
32457	1516	289	144	0
32458	1552	289	144	0
32459	1601	289	144	0
32460	1642	289	144	0
32461	1691	289	144	0
32462	1734	289	144	0
32463	1783	289	144	0
32464	1834	289	144	0
32465	1883	289	144	0
32466	1933	289	144	0
32467	1982	289	144	0
32468	2029	289	144	0
32469	2066	289	144	0
32470	2115	289	144	0
32471	2161	289	144	0
32472	2212	289	144	0
32473	2262	289	144	0
32474	2300	289	143	0
32475	2350	289	143	0
32476	2391	288	143	0
32477	2439	288	143	0
32478	2484	288	142	0
32479	2526	288	142	0
32480	2577	288	142	0
32481	2628	287	141	0
32482	2660	287	141	0
32483	2696	287	141	0
32484	2747	287	141	0
32485	2798	287	141	0
32486	2845	288	142	0
32487	2893	288	142	0
32488	2942	288	142	0
32489	2992	288	142	0
32490	3023	288	142	0
32491	3080	288	142	0
32492	3122	288	142	0
32493	3174	288	142	0
32494	3215	287	141	0
32495	3247	287	141	0
32496	3305	287	141	0
32497	3354	287	141	0
32498	3388	288	142	0
32499	3429	287	141	0
32500	3474	287	141	0
32501	3525	287	141	0
32502	3558	287	141	0
32503	3601	287	141	0
32504	3652	287	141	0
32505	3690	287	141	0
32506	3739	287	141	0
32507	3793	287	141	0
32508	3832	287	141	0
32509	3867	287	141	0
32510	3902	287	141	0
32511	3946	287	141	0
32512	3992	287	141	0
32513	4041	287	141	0
32514	4073	287	141	0
32515	4130	287	141	0
32516	4176	287	141	0
32517	4225	287	141	0
32518	4274	287	141	0
32519	4323	287	141	0
32520	4359	287	141	0
32521	4394	287	141	0
32522	4442	287	141	0
32523	4492	287	141	0
32524	4529	287	141	0
32525	4561	287	141	0
32526	4611	287	141	0
32527	4660	287	141	0
32528	4695	287	141	0
32529	4730	287	141	0
32530	4779	287	141	0
32531	4813	287	141	0
32532	4852	287	141	0
32533	4903	287	141	0
32534	4942	287	141	0
32535	4990	287	141	0
32536	5024	287	141	0
32537	5070	287	141	0
32538	5121	287	141	0
32539	5170	287	141	0
32540	5221	287	141	0
32541	5253	287	141	0
32542	5305	287	142	0
32543	5353	287	141	0
32544	5403	287	140	0
32545	5454	287	140	0
32546	5502	287	140	0
32547	5549	287	140	0
32548	5594	287	140	0
32549	5627	287	140	0
32550	5659	287	140	0
32551	5708	287	140	0
32552	5755	287	140	0
32553	5798	287	140	0
32554	5842	287	140	0
32555	5893	287	140	0
32556	5927	287	140	0
32557	5977	287	140	0
32558	6021	287	140	0
32559	6056	287	140	0
32560	6107	287	140	0
32561	6154	287	140	0
32562	6193	287	140	0
32563	6232	287	140	0
32564	6266	287	140	0
