frame	time	x	y	burst
100232	27	223	222	0
100233	64	223	221	0
100234	98	224	218	0
100235	135	225	215	0
100236	169	225	213	0
100237	203	225	210	0
100238	237	225	206	0
100239	273	225	204	0
100240	309	225	201	0
100241	353	225	198	0
100242	402	224	197	0
100243	445	225	193	0
100244	490	225	191	0
100245	526	225	188	0
100246	564	226	185	0
100247	602	227	179	0
100248	641	225	177	0
100249	689	224	174	0
100250	730	223	172	0
100251	762	223	169	0
100252	820	222	169	0
100253	857	222	169	0
100254	896	222	168	0
100255	933	222	168	0
100256	971	222	168	0
100257	1019	222	168	0
100258	1059	222	168	0
100259	1098	222	168	0
100260	1135	222	168	0
100261	1172	222	167	0
100262	1262	222	165	0
100263	1309	220	162	0
100264	1359	218	156	0
100265	1396	215	150	0
100266	1430	215	147	0
100267	1471	213	144	0
100268	1526	212	140	0
100269	1570	210	137	0
100270	1640	208	134	0
100271	1684	203	127	0
100272	1734	202	125	0
100273	1794	200	120	0
100274	1846	200	120	0
100275	1888	200	120	0
100276	1936	200	120	0
100277	1980	200	120	0
100278	2037	200	120	0
100279	2089	200	120	0
100280	2146	200	120	0
100281	2188	200	120	0
100282	2224	199	120	0
100283	2270	196	119	0
100284	2311	190	117	0
100285	2359	190	117	0
100286	2423	189	116	0
100287	2473	184	113	0
100288	2528	178	110	0
100289	2565	174	108	0
100290	2627	172	106	0
100291	2679	166	102	0
100292	2729	162	99	0
100293	2779	159	97	0
100294	2833	159	96	0
100295	2903	157	96	0
100296	2947	157	95	0
100297	3015	157	95	0
100298	3064	155	94	0
100299	3119	155	94	0
100300	3173	155	94	0
100301	3222	154	93	0
100302	3288	153	93	0
100303	3355	148	94	0
100304	3416	145	94	0
100305	3460	143	94	0
100306	3514	137	92	0
100307	3562	137	92	0
100308	3632	137	92	0
100309	3688	137	92	0
100310	3747	137	92	0
100311	3797	137	92	0
100312	3850	137	92	0
100313	3923	137	92	0
100314	3968	133	94	0
100315	4005	132	93	0
100316	4053	130	94	0
100317	4104	126	95	0
100318	4142	125	94	0
100319	4201	123	93	0
100320	4255	120	92	0
100321	4292	120	92	0
100322	4331	120	92	0
100323	4394	120	92	0
100324	4445	120	92	0
100325	4501	120	92	0
100326	4550	120	94	0
100327	4598	120	95	0
100328	4650	119	97	0
100329	4690	119	98	0
100330	4732	119	101	0
100331	4789	118	104	0
100332	4841	119	104	0
100333	4897	119	107	0
100334	4948	118	110	0
100335	4994	118	111	0
100336	5035	119	114	0
100337	5089	118	116	0
100338	5145	116	124	0
100339	5197	116	125	0
100340	5258	112	133	0
100341	5300	111	137	0
100342	5341	109	140	0
100343	5389	108	142	0
100344	5424	107	145	0
100345	5481	105	148	0
100346	5526	100	159	0
100347	5563	99	161	0
100348	5621	97	164	0
100349	5672	95	167	0
100350	5732	93	174	0
100351	5783	90	182	0
100352	5825	88	185	0
100353	5878	87	187	0
100354	5930	84	193	0
100355	5982	82	199	0
100356	6033	80	205	0
100357	6085	79	208	0
100358	6129	78	210	0
100359	6182	78	211	0
100360	6234	75	216	0
100361	6310	73	221	0
100362	6358	73	222	0
100363	6408	71	228	0
100364	6470	70	230	0
100365	6521	70	233	0
100366	6585	70	239	0
100367	6625	71	243	0
100368	6660	72	244	0
100369	6710	72	244	0
100370	6762	73	246	0
100371	6810	74	249	0
100372	6862	75	254	0
100373	6921	75	256	0
100374	6975	75	260	0
100375	7028	75	263	0
100376	7086	77	269	0
100377	7141	77	275	0
100378	7186	78	280	0
100379	7235	79	283	0
100380	7291	79	286	0
100381	7329	80	291	0
100382	7384	81	294	0
100383	7450	81	295	0
100384	7510	87	300	0
100385	7559	90	302	0
100386	7609	96	306	0
100387	7657	101	310	0
100388	7704	104	312	0
100389	7756	106	314	0
100390	7795	112	319	0
100391	7834	114	321	0
100392	7896	118	324	0
100393	7952	122	327	0
100394	7993	129	333	0
100395	8052	131	335	0
100396	8097	134	337	0
100397	8145	137	339	0
100398	8190	141	343	0
100399	8257	146	347	0
100400	8312	150	351	0
100401	8371	156	357	0
100402	8417	158	360	0
100403	8452	164	365	0
100404	8496	167	368	0
100405	8555	168	369	0
100406	8604	170	371	0
100407	8655	175	375	0
100408	8694	178	379	0
100409	8732	180	381	0
100410	8777	183	384	0
100411	8838	184	384	0
100412	8886	188	388	0
100413	8936	192	392	0
100414	8980	195	395	0
100415	9022	196	396	0
100416	9085	200	398	0
100417	9144	208	399	0
100418	9196	210	399	0
100419	9250	214	401	0
100420	9301	218	402	0
100421	9354	222	404	0
100422	9415	224	405	0
100423	9478	227	407	0
100424	9531	229	408	0
100425	9581	229	408	0
100426	9619	230	409	0
100427	9688	235	410	0
100428	9731	243	411	0
100429	9767	245	412	0
100430	9806	248	413	0
100431	9858	251	414	0
100432	9916	257	415	0
100433	9973	263	417	0
100434	10018	266	418	0
100435	10074	269	419	0
100436	10123	277	422	0
100437	10161	277	422	0
100438	10219	282	424	0
100439	10259	285	425	0
100440	10318	287	426	0
100441	10356	293	428	0
100442	10411	296	430	0
100443	10446	297	430	0
100444	10499	297	430	0
100445	10555	297	430	0
100446	10613	297	430	0
100447	10665	297	430	0
100448	10702	300	429	0
100449	10760	301	428	0
100450	10818	302	425	0
100451	10871	303	424	0
100452	10919	305	423	0
100453	10971	309	419	0
100454	11032	310	417	0
100455	11082	313	415	0
100456	11142	314	414	0
100457	11193	316	412	0
100458	11256	321	408	0
100459	11305	323	407	0
100460	11350	327	404	0
100461	11396	330	401	0
100462	11431	332	399	0
100463	11483	334	397	0
100464	11525	337	394	0
100465	11579	338	393	0
100466	11621	344	389	0
100467	11686	348	387	0
100468	11726	355	382	0
100469	11786	356	381	0
100470	11827	358	379	0
100471	11885	361	377	0
100472	11925	364	374	0
100473	11983	365	373	0
100474	12020	365	372	0
100475	12075	365	372	0
100476	12129	365	372	0
100477	12178	365	372	0
100478	12224	365	372	0
100479	12259	365	372	0
100480	12309	365	371	0
100481	12361	365	370	0
100482	12416	364	369	0
100483	12482	365	367	0
100484	12513	365	367	0
100485	12567	365	367	0
100486	12616	365	367	0
100487	12670	365	367	0
100488	12726	365	367	0
100489	12778	365	367	0
100490	12826	366	367	0
100491	12892	366	367	0
100492	12939	366	367	0
100493	12983	367	366	0
100494	13034	367	366	0
100495	13094	367	366	0
100496	13149	367	366	0
100497	13215	368	366	0
100498	13252	368	366	0
100499	13294	368	366	0
100500	13340	368	366	0
100501	13392	368	366	0
100502	13449	368	366	0
100503	13508	368	366	0
100504	13559	368	367	0
100505	13616	368	367	0
100506	13676	368	367	0
100507	13736	368	367	0
100508	13800	368	367	0
100509	13870	368	367	0
100510	13923	368	366	0
100511	13959	368	366	0
100512	14023	368	366	0
100513	14078	368	367	0
100514	14134	368	367	0
100515	14183	368	367	0
100516	14217	368	367	0
100517	14263	368	367	0
100518	14312	368	367	0
100519	14389	368	367	0
100520	14439	368	366	0
100521	14541	368	367	0
100522	14603	368	366	0
100523	14652	368	365	0
