frame	time	x	y	burst
12770	35	403	172	0
12771	82	405	170	0
12772	134	407	167	0
12773	180	411	162	0
12774	222	414	159	0
12775	256	416	157	0
12776	295	418	154	0
12777	353	419	153	0
12778	398	424	147	0
12779	441	429	143	0
12780	480	432	139	0
12781	515	434	135	0
12782	567	435	133	0
12783	620	439	127	0
12784	655	441	124	0
12785	707	443	120	0
12786	743	444	118	0
12787	782	446	112	0
12788	823	447	110	0
12789	872	449	107	0
12790	929	451	104	0
12791	962	451	103	0
12792	998	452	101	0
12793	1043	456	97	0
12794	1080	457	96	0
12795	1114	457	96	0
12796	1149	457	96	0
12797	1197	457	96	0
12798	1234	457	96	0
12799	1280	457	96	0
12800	1315	457	96	0
12801	1351	457	96	0
12802	1384	457	96	0
12803	1432	458	96	0
12804	1479	456	97	0
12805	1515	456	98	0
12806	1550	455	99	0
12807	1588	455	99	0
12808	1642	455	99	0
12809	1698	455	99	0
12810	1735	455	99	0
12811	1770	455	99	0
12812	1821	455	99	0
12813	1869	454	99	0
12814	1920	453	99	0
12815	1970	453	98	0
12816	2013	452	98	0
12817	2067	451	99	0
12818	2119	450	99	0
12819	2167	449	99	0
12820	2220	449	100	0
12821	2262	449	100	0
12822	2314	449	100	0
12823	2347	449	100	0
12824	2385	449	100	0
12825	2421	449	100	0
12826	2466	449	100	0
12827	2501	449	100	0
12828	2548	449	100	0
12829	2598	449	100	0
12830	2656	449	100	0
12831	2709	449	100	0
12832	2755	449	100	0
12833	2792	449	100	0
12834	2832	449	100	0
12835	2873	449	100	0
12836	2920	449	100	0
12837	2966	447	99	0
12838	3024	448	99	0
12839	3070	448	99	0
12840	3117	448	98	0
12841	3155	448	98	0
12842	3233	448	98	0
12843	3284	448	97	0
12844	3338	447	96	0
12845	3412	447	95	0
12846	3461	447	95	0
12847	3503	447	94	0
12848	3552	447	94	0
12849	3605	447	94	0
12850	3638	446	92	0
12851	3693	446	92	0
12852	3732	446	92	0
12853	3801	446	91	0
12854	3859	446	90	0
12855	3907	445	89	0
12856	3946	445	88	0
12857	3987	445	87	0
12858	4041	444	86	0
12859	4092	444	85	0
12860	4137	444	84	0
12861	4190	444	83	0
12862	4247	444	83	0
12863	4307	444	83	0
12864	4350	444	82	0
12865	4387	444	82	0
12866	4449	444	82	0
12867	4495	444	82	0
12868	4534	444	82	0
12869	4588	444	82	0
12870	4626	444	82	0
12871	4686	444	82	0
12872	4723	444	82	0
12873	4778	444	82	0
12874	4838	444	82	0
12875	4894	444	82	0
12876	4938	444	82	0
12877	4991	444	82	0
12878	5031	444	82	0
12879	5069	443	81	0
12880	5123	443	80	0
12881	5166	443	80	0
12882	5217	442	79	0
12883	5262	442	79	0
12884	5299	442	79	0
12885	5344	442	79	0
12886	5386	442	79	0
12887	5443	442	79	0
12888	5493	441	79	0
12889	5550	440	80	0
12890	5606	440	80	0
12891	5663	440	81	0
12892	5717	440	81	0
12893	5768	440	81	0
12894	5806	440	82	0
12895	5874	441	82	0
12896	5920	441	83	0
12897	5960	441	83	0
12898	6002	441	83	0
12899	6049	441	83	0
12900	6098	442	83	0
12901	6134	441	85	0
12902	6173	440	85	0
12903	6223	439	86	0
12904	6278	439	87	0
12905	6340	437	91	0
12906	6383	437	91	0
12907	6423	436	94	0
12908	6481	436	95	0
12909	6519	434	99	0
12910	6569	433	101	0
12911	6626	432	105	0
12912	6660	430	109	0
12913	6720	428	111	0
12914	6769	428	113	0
12915	6822	426	116	0
12916	6878	425	117	0
12917	6934	424	118	0
12918	6981	424	119	0
12919	7025	424	120	0
12920	7063	424	121	0
12921	7118	424	122	0
12922	7156	423	125	0
12923	7203	422	126	0
12924	7251	422	126	0
12925	7309	422	127	0
12926	7342	422	129	0
12927	7397	423	129	0
12928	7453	422	131	0
12929	7498	422	131	0
12930	7544	422	133	0
12931	7608	422	134	0
12932	7673	420	136	0
12933	7713	420	138	0
12934	7746	418	143	0
12935	7789	418	144	0
12936	7833	417	147	0
12937	7889	417	150	0
12938	7937	414	155	0
12939	7994	414	158	0
12940	8034	413	163	0
12941	8072	413	166	0
12942	8113	412	168	0
12943	8146	412	171	0
12944	8193	411	174	0
12945	8241	411	181	0
12946	8294	410	185	0
12947	8344	410	191	0
12948	8407	409	194	0
12949	8461	409	200	0
12950	8509	408	202	0
12951	8548	406	208	0
12952	8602	405	211	0
12953	8651	404	218	0
12954	8702	404	220	0
12955	8753	403	226	0
12956	8789	402	233	0
12957	8845	402	236	0
12958	8893	402	239	0
12959	8947	400	246	0
12960	8996	400	249	0
12961	9034	398	255	0
12962	9086	398	258	0
12963	9141	398	263	0
12964	9193	397	266	0
12965	9246	396	272	0
12966	9280	395	275	0
12967	9321	395	278	0
12968	9373	394	282	0
12969	9414	392	288	0
12970	9457	392	291	0
12971	9507	392	293	0
12972	9565	390	299	0
12973	9623	388	305	0
12974	9658	386	311	0
12975	9704	385	315	0
12976	9746	385	318	0
12977	9792	385	321	0
12978	9834	384	327	0
12979	9879	383	330	0
12980	9933	382	333	0
12981	9967	381	340	0
12982	10013	380	343	0
12983	10072	379	347	0
12984	10110	378	354	0
12985	10149	378	355	0
12986	10189	377	357	0
12987	10240	376	360	0
12988	10284	375	366	0
12989	10322	374	370	0
12990	10360	373	374	0
12991	10417	372	379	0
12992	10458	372	382	0
12993	10495	371	383	0
12994	10537	371	384	0
12995	10592	371	384	0
12996	10636	371	384	0
12997	10675	371	384	0
12998	10734	371	384	0
12999	10792	371	384	0
13000	10850	369	387	0
13001	10881	365	392	0
13002	10926	363	395	0
13003	10974	362	397	0
13004	11011	361	399	0
13005	11055	358	404	0
13006	11096	357	406	0
13007	11149	354	413	0
13008	11197	353	415	0
13009	11246	351	421	0
13010	11290	350	422	0
13011	11341	349	424	0
13012	11392	349	424	0
13013	11440	349	424	0
13014	11486	349	424	0
13015	11540	349	424	0
13016	11601	349	424	0
13017	11656	349	424	0
13018	11714	349	423	0
13019	11768	349	423	0
13020	11824	349	423	0
13021	11876	349	423	0
13022	11920	349	422	0
13023	11983	349	421	0
13024	12026	349	420	0
13025	12080	349	419	0
13026	12129	348	418	0
13027	12192	348	416	0
13028	12240	348	416	0
13029	12275	349	415	0
13030	12321	349	414	0
13031	12376	350	413	0
13032	12423	349	412	0
13033	12459	349	410	0
13034	12505	349	409	0
13035	12552	348	407	0
13036	12600	348	405	0
13037	12658	347	400	0
13038	12707	346	397	0
13039	12753	345	392	0
13040	12810	345	387	0
13041	12873	344	382	0
13042	12932	344	377	0
13043	12977	344	372	0
13044	13013	343	369	0
13045	13061	343	366	0
13046	13117	342	362	0
13047	13168	342	355	0
13048	13224	342	353	0
13049	13274	341	348	0
13050	13325	339	342	0
13051	13377	338	335	0
13052	13437	337	328	0
13053	13477	337	326	0
13054	13519	337	323	0
13055	13555	336	320	0
13056	13603	336	317	0
13057	13658	335	311	0
13058	13726	333	304	0
13059	13781	332	298	0
13060	13838	332	295	0
13061	13917	330	289	0
13062	13959	328	282	0
13063	13995	327	279	0
13064	14034	325	271	0
13065	14079	325	268	0
13066	14149	324	265	0
13067	14182	321	256	0
13068	14228	321	253	0
13069	14266	320	249	0
13070	14305	320	246	0
13071	14350	319	244	0
13072	14393	319	241	0
13073	14436	317	238	0
13074	14486	317	238	0
13075	14520	316	236	0
13076	14566	315	235	0
13077	14612	315	234	0
13078	14655	315	231	0
13079	14699	316	226	0
13080	14752	317	223	0
13081	14791	318	218	0
13082	14849	318	214	0
13083	14888	319	211	0
13084	14949	320	207	0
13085	14998	320	203	0
13086	15056	320	199	0
13087	15103	319	194	0
13088	15165	319	191	0
13089	15214	318	185	0
13090	15263	318	182	0
13091	15302	317	175	0
13092	15352	317	172	0
13093	15406	316	165	0
13094	15447	315	163	0
13095	15499	314	160	0
13096	15546	312	153	0
13097	15600	312	151	0
13098	15655	311	146	0
13099	15704	309	142	0
13100	15760	308	139	0
13101	15805	308	138	0
13102	15863	308	137	0
13103	15900	308	137	0
13104	15956	308	137	0
13105	15997	310	137	0
13106	16048	311	136	0
13107	16101	312	135	0
13108	16153	316	131	0
13109	16207	321	127	0
13110	16247	322	126	0
13111	16289	325	122	0
13112	16342	327	119	0
13113	16389	328	118	0
13114	16447	330	114	0
13115	16504	331	111	0
13116	16562	331	110	0
13117	16602	331	109	0
13118	16651	332	108	0
13119	16697	332	108	0
13120	16736	332	108	0
13121	16772	332	107	0
13122	16829	331	108	0
13123	16868	329	106	0
13124	16912	328	103	0
13125	16954	326	97	0
13126	16992	325	95	0
13127	17050	324	92	0
13128	17102	322	87	0
13129	17137	321	84	0
13130	17178	320	81	0
13131	17236	320	78	0
13132	17285	318	72	0
13133	17332	316	67	0
13134	17387	315	65	0
13135	17461	315	64	0
13136	17522	314	62	0
13137	17578	314	62	0
13138	17615	314	61	0
13139	17653	314	62	0
13140	17701	314	62	0
13141	17757	314	64	0
13142	17811	313	65	0
13143	17850	311	66	0
13144	17902	311	66	0
13145	17955	311	66	0
13146	18001	311	67	0
13147	18053	311	68	0
13148	18110	311	69	0
13149	18150	311	69	0
13150	18215	309	73	0
13151	18270	307	78	0
13152	18322	307	83	0
13153	18366	308	84	0
13154	18408	306	88	0
13155	18461	306	91	0
13156	18518	306	96	0
13157	18575	306	100	0
13158	18619	305	104	0
13159	18669	303	109	0
13160	18739	302	112	0
13161	18789	301	116	0
13162	18851	301	118	0
13163	18890	299	126	0
13164	18954	299	128	0
13165	19010	298	133	0
13166	19067	297	137	0
13167	19124	295	140	0
13168	19181	294	146	0
13169	19235	294	153	0
13170	19309	294	156	0
13171	19358	295	162	0
13172	19410	294	170	0
13173	19451	293	176	0
13174	19504	293	178	0
13175	19557	292	184	0
13176	19601	292	187	0
13177	19649	292	191	0
13178	19702	292	194	0
13179	19754	292	200	0
13180	19805	292	207	0
