frame	time	x	y	burst
155080	34	279	268	0
155081	89	279	268	0
155082	130	278	268	0
155083	165	279	269	0
155084	204	279	268	0
155085	251	279	268	0
155086	285	279	268	0
155087	324	279	268	0
155088	358	279	267	0
155089	393	279	267	0
155090	434	279	267	0
155091	470	279	267	0
155092	508	279	267	0
155093	542	279	267	0
155094	602	279	267	0
155095	644	279	267	0
155096	696	279	267	0
155097	733	279	267	0
155098	789	279	267	0
155099	839	279	267	0
155100	889	279	267	0
155101	930	279	267	0
155102	967	279	267	0
155103	1006	279	267	0
155104	1046	279	267	0
155105	1100	279	267	0
155106	1137	279	267	0
155107	1183	279	267	0
155108	1217	279	267	0
155109	1270	279	267	0
155110	1318	279	267	0
155111	1372	279	267	0
155112	1409	279	267	0
155113	1461	279	266	0
155114	1510	278	265	0
155115	1570	278	263	0
155116	1615	279	261	0
155117	1665	279	258	0
155118	1723	278	256	0
155119	1784	277	254	0
155120	1834	277	251	0
155121	1871	276	246	0
155122	1924	275	244	0
155123	1960	275	241	0
155124	2001	275	238	0
155125	2037	274	236	0
155126	2093	274	234	0
155127	2143	274	233	0
155128	2210	273	230	0
155129	2250	272	226	0
155130	2301	272	226	0
155131	2358	272	225	0
155132	2395	272	225	0
155133	2430	272	224	0
155134	2469	272	224	0
155135	2505	272	224	0
155136	2543	271	223	0
155137	2608	271	223	0
155138	2660	272	223	0
155139	2717	271	223	0
155140	2767	271	223	0
155141	2817	271	223	0
155142	2850	271	223	0
155143	2902	271	223	0
155144	2962	271	223	0
155145	3029	271	223	0
155146	3090	271	223	0
155147	3135	271	223	0
155148	3196	271	223	0
155149	3261	271	223	0
155150	3302	271	223	0
155151	3341	271	223	0
155152	3393	271	223	0
155153	3437	271	223	0
155154	3496	271	223	0
155155	3557	271	223	0
155156	3625	271	223	0
155157	3663	271	223	0
155158	3721	271	223	0
155159	3778	271	223	0
155160	3832	271	223	0
155161	3888	271	223	0
155162	3940	271	223	0
155163	3990	271	223	0
155164	4026	271	223	0
155165	4064	271	223	0
155166	4126	271	222	0
155167	4165	271	221	0
155168	4223	272	221	0
155169	4273	271	219	0
155170	4314	271	216	0
155171	4364	271	214	0
155172	4399	270	210	0
155173	4453	270	209	0
155174	4489	270	209	0
155175	4532	270	209	0
155176	4580	270	209	0
155177	4642	270	209	0
155178	4695	269	207	0
155179	4744	269	204	0
155180	4798	269	202	0
155181	4846	268	198	0
155182	4904	268	196	0
155183	4948	266	191	0
155184	5005	266	189	0
155185	5062	265	185	0
155186	5099	264	182	0
155187	5158	263	178	0
155188	5199	263	174	0
155189	5267	263	173	0
155190	5323	263	170	0
155191	5367	263	169	0
155192	5426	263	168	0
155193	5467	263	165	0
155194	5525	263	165	0
155195	5581	263	165	0
155196	5634	263	165	0
155197	5685	262	165	0
155198	5726	261	164	0
155199	5775	261	164	0
155200	5822	261	163	0
155201	5884	261	163	0
155202	5935	261	162	0
155203	5991	260	161	0
155204	6032	260	161	0
155205	6092	260	162	0
155206	6158	260	162	0
155207	6201	259	162	0
155208	6255	259	162	0
155209	6305	259	162	0
155210	6360	259	162	0
155211	6417	259	162	0
155212	6456	259	161	0
155213	6490	259	161	0
155214	6543	259	161	0
155215	6594	259	162	0
155216	6653	259	162	0
155217	6703	259	161	0
155218	6770	259	161	0
155219	6818	259	161	0
155220	6875	259	161	0
155221	6933	259	161	0
155222	6973	259	161	0
155223	7010	259	161	0
155224	7071	259	161	0
155225	7121	259	161	0
155226	7170	259	161	0
155227	7230	259	161	0
155228	7278	259	161	0
155229	7343	259	161	0
155230	7384	259	161	0
155231	7434	259	161	0
155232	7492	259	161	0
155233	7549	259	161	0
155234	7599	259	161	0
155235	7665	259	161	0
155236	7715	259	161	0
155237	7752	259	161	0
155238	7791	259	161	0
155239	7833	259	161	0
155240	7866	259	161	0
155241	7936	259	161	0
155242	8015	259	161	0
155243	8077	259	161	0
155244	8143	259	161	0
155245	8188	259	161	0
155246	8238	259	161	0
155247	8284	259	161	0
155248	8334	259	161	0
155249	8392	259	161	0
155250	8427	259	161	0
155251	8486	259	161	0
155252	8544	259	161	0
155253	8594	258	161	0
155254	8636	258	161	0
155255	8688	258	161	0
155256	8751	259	162	0
155257	8810	259	162	0
155258	8863	259	162	0
155259	8914	259	162	0
155260	8963	259	162	0
155261	9022	259	162	0
155262	9058	259	162	0
155263	9119	259	162	0
155264	9171	259	162	0
155265	9228	259	162	0
155266	9281	259	162	0
155267	9334	258	161	0
155268	9397	258	161	0
155269	9449	258	161	0
155270	9494	258	161	0
155271	9551	259	162	0
155272	9589	259	162	0
155273	9645	259	162	0
155274	9698	259	162	0
155275	9751	259	162	0
155276	9788	258	161	0
155277	9838	258	161	0
155278	9892	258	161	0
155279	9930	258	162	0
155280	9990	258	161	0
155281	10037	258	162	0
155282	10088	258	162	0
155283	10142	258	162	0
155284	10192	258	162	0
155285	10256	258	162	0
155286	10317	258	161	0
155287	10367	258	162	0
155288	10433	258	162	0
155289	10492	258	162	0
155290	10540	258	162	0
155291	10591	258	162	0
155292	10660	257	161	0
155293	10716	256	161	0
155294	10751	256	161	0
155295	10793	256	161	0
155296	10847	256	161	0
155297	10888	256	161	0
155298	10936	256	161	0
155299	10986	256	161	0
