frame	time	x	y	burst
107402	26	363	277	0
107403	84	363	278	0
107404	127	363	278	0
107405	186	363	278	0
107406	232	363	278	0
107407	276	363	278	0
107408	310	363	278	0
107409	359	363	278	0
107410	390	364	278	0
107411	422	364	278	0
107412	464	364	278	0
107413	505	364	278	0
107414	538	364	278	0
107415	586	364	278	0
107416	630	364	278	0
107417	664	364	278	0
107418	711	364	278	0
107419	750	364	278	0
107420	783	364	278	0
107421	828	364	278	0
107422	861	364	278	0
107423	895	364	278	0
107424	931	364	278	0
107425	975	363	278	0
107426	1023	363	278	0
107427	1055	363	279	0
107428	1094	363	278	0
107429	1136	363	277	0
107430	1169	363	278	0
107431	1224	363	278	0
107432	1262	363	278	0
107433	1307	363	277	0
107434	1361	363	276	0
107435	1415	363	276	0
107436	1461	363	277	0
107437	1495	363	277	0
107438	1533	363	277	0
107439	1578	363	277	0
107440	1623	363	277	0
107441	1658	363	278	0
107442	1703	363	278	0
107443	1736	363	278	0
107444	1774	363	278	0
107445	1812	363	278	0
107446	1858	363	278	0
107447	1902	363	278	0
107448	1937	363	278	0
107449	1981	363	278	0
107450	2016	363	278	0
107451	2049	363	278	0
107452	2089	363	278	0
107453	2125	363	278	0
107454	2156	363	278	0
107455	2189	363	278	0
107456	2230	363	278	0
107457	2269	363	278	0
107458	2301	363	278	0
107459	2361	363	279	0
107460	2401	363	278	0
107461	2452	363	278	0
107462	2496	363	278	0
107463	2538	363	278	0
107464	2577	363	278	0
107465	2622	363	278	0
107466	2663	363	278	0
107467	2695	363	278	0
107468	2736	363	278	0
107469	2773	363	278	0
107470	2820	363	278	0
107471	2866	363	279	0
107472	2902	363	279	0
107473	2952	363	278	0
107474	2992	363	278	0
107475	3046	363	279	0
107476	3086	363	279	0
107477	3128	363	279	0
107478	3165	363	279	0
107479	3196	363	279	0
107480	3232	363	279	0
107481	3265	363	279	0
107482	3299	363	279	0
107483	3335	363	279	0
107484	3367	363	279	0
107485	3404	363	279	0
107486	3439	363	279	0
107487	3474	364	279	0
107488	3506	364	279	0
107489	3539	364	279	0
107490	3572	364	279	0
107491	3621	364	279	0
107492	3654	364	279	0
107493	3690	364	279	0
107494	3723	364	279	0
107495	3769	364	279	0
107496	3804	364	278	0
107497	3850	364	278	0
107498	3883	363	278	0
107499	3927	364	278	0
107500	3968	364	278	0
107501	4016	364	278	0
107502	4050	364	278	0
107503	4087	364	278	0
107504	4120	364	278	0
107505	4155	364	278	0
107506	4194	364	278	0
107507	4235	364	278	0
107508	4277	364	278	0
107509	4324	364	278	0
107510	4356	364	278	0
107511	4397	364	278	0
107512	4433	364	278	0
107513	4465	364	278	0
107514	4501	364	278	0
107515	4548	364	278	0
107516	4592	364	278	0
107517	4631	364	278	0
107518	4684	364	278	0
107519	4736	364	278	0
107520	4769	364	278	0
107521	4801	364	278	0
107522	4836	364	278	0
107523	4880	364	278	0
107524	4922	364	278	0
107525	4962	364	278	0
107526	5011	364	278	0
107527	5054	364	278	0
107528	5090	364	278	0
107529	5123	364	278	0
107530	5157	364	278	0
107531	5197	364	278	0
107532	5233	364	278	0
107533	5268	364	278	0
107534	5301	364	278	0
107535	5341	364	278	0
107536	5374	364	278	0
107537	5408	364	278	0
107538	5441	364	278	0
107539	5473	364	278	0
107540	5505	364	278	0
107541	5549	364	278	0
107542	5583	364	278	0
107543	5616	364	278	0
107544	5652	364	278	0
107545	5688	364	278	0
107546	5729	364	278	0
107547	5761	364	278	0
107548	5805	364	278	0
107549	5840	364	278	0
107550	5873	364	278	0
107551	5908	364	278	0
107552	5944	364	278	0
107553	5980	364	278	0
107554	6012	364	278	0
107555	6046	364	278	0
107556	6081	364	278	0
107557	6115	364	278	0
107558	6152	364	278	0
107559	6193	364	278	0
107560	6226	364	278	0
107561	6264	364	278	0
107562	6306	364	278	0
107563	6351	364	278	0
107564	6385	364	278	0
107565	6427	364	278	0
107566	6467	364	278	0
107567	6512	364	278	0
107568	6548	364	278	0
107569	6593	364	278	0
107570	6629	364	278	0
107571	6682	364	278	0
107572	6724	364	278	0
107573	6772	364	278	0
107574	6819	364	278	0
107575	6858	364	278	0
107576	6892	364	278	0
107577	6938	364	278	0
107578	6980	364	278	0
107579	7023	364	278	0
107580	7061	364	278	0
107581	7102	364	278	0
107582	7147	364	278	0
107583	7182	364	278	0
107584	7217	364	278	0
107585	7270	364	278	0
107586	7310	364	278	0
