frame	time	x	y	burst
3748	32	230	338	0
3749	145	230	338	0
3750	180	230	337	0
3751	211	229	336	0
3752	241	229	335	0
3753	272	229	334	0
3754	304	229	332	0
3755	336	228	329	0
3756	368	228	326	0
3757	401	228	324	0
3758	432	228	322	0
3759	465	228	320	0
3760	497	228	317	0
3761	528	227	316	0
3762	560	227	313	0
3763	592	227	312	0
3764	624	227	310	0
3765	657	227	309	0
3766	688	227	308	0
3767	720	227	308	0
3768	768	227	308	0
3769	801	227	308	0
3770	833	227	308	0
3771	865	227	308	0
3772	897	227	308	0
3773	929	227	308	0
3774	961	227	308	0
3775	992	227	308	0
3776	1024	227	308	0
3777	1056	227	308	0
3778	1088	227	308	0
3779	1120	227	308	0
3780	1169	227	308	0
3781	1201	227	307	0
3782	1232	227	306	0
3783	1265	227	306	0
3784	1297	227	305	0
3785	1329	227	305	0
3786	1360	227	305	0
3787	1392	227	305	0
3788	1425	227	305	0
3789	1456	227	305	0
3790	1488	227	305	0
3791	1520	227	305	0
3792	1553	227	305	0
3793	1600	227	305	0
3794	1633	227	305	0
3795	1669	227	305	0
3796	1700	227	305	0
3797	1730	227	304	0
3798	1762	227	305	0
3799	1792	227	305	0
3800	1825	227	304	0
3801	1856	227	305	0
3802	1912	227	305	0
3803	1944	227	305	0
3804	1984	227	304	0
3805	2016	227	303	0
3806	2049	227	303	0
3807	2080	227	303	0
3808	2114	227	302	0
3809	2146	227	301	0
3810	2181	227	301	0
3811	2213	227	301	0
3812	2245	227	301	0
3813	2279	227	301	0
3814	2312	227	301	0
3815	2344	227	301	0
3816	2376	227	301	0
3817	2411	227	301	0
3818	2441	227	301	0
3819	2475	227	301	0
3820	2509	227	301	0
3821	2540	227	301	0
3822	2571	227	301	0
3823	2601	227	301	0
3824	2633	227	301	0
3825	2664	227	301	0
3826	2695	227	300	0
3827	2726	225	299	0
3828	2759	224	297	0
3829	2790	223	295	0
3830	2833	221	294	0
3831	2865	220	292	0
3832	2896	220	290	0
3833	2930	219	288	0
3834	2961	218	286	0
3835	2992	217	286	0
3836	3024	217	285	0
3837	3056	216	284	0
3838	3089	216	284	0
3839	3122	216	284	0
3840	3153	216	284	0
3841	3184	216	284	0
3842	3232	216	284	0
3843	3264	216	284	0
3844	3296	216	284	0
3845	3328	216	284	0
3846	3360	216	284	0
3847	3392	216	284	0
3848	3425	216	284	0
3849	3458	216	284	0
3850	3489	216	284	0
3851	3520	216	284	0
3852	3553	216	284	0
3853	3585	216	284	0
3854	3633	216	284	0
3855	3664	216	284	0
3856	3696	216	284	0
3857	3729	216	284	0
3858	3761	216	284	0
3859	3793	216	284	0
3860	3825	216	284	0
3861	3857	216	284	0
3862	3889	216	284	0
3863	3921	216	283	0
3864	3953	216	283	0
3865	3985	215	282	0
3866	4016	215	282	0
3867	4064	215	282	0
3868	4097	215	282	0
3869	4128	215	282	0
3870	4160	215	281	0
3871	4192	215	282	0
3872	4224	215	282	0
3873	4257	215	282	0
3874	4289	215	282	0
3875	4320	215	282	0
