frame	time	x	y	burst
14465	36	385	161	0
14466	72	388	160	0
14467	130	391	159	0
14468	165	397	157	0
14469	209	399	156	0
14470	263	405	154	0
14471	302	406	154	0
14472	357	406	154	0
14473	410	406	154	0
14474	461	406	154	0
14475	511	406	154	0
14476	556	407	151	0
14477	609	408	146	0
14478	642	408	140	0
14479	682	408	137	0
14480	738	408	133	0
14481	790	408	125	0
14482	832	408	118	0
14483	883	409	115	0
14484	930	409	111	0
14485	979	410	104	0
14486	1026	409	100	0
14487	1064	408	99	0
14488	1099	408	93	0
14489	1136	408	91	0
14490	1190	408	90	0
14491	1239	407	88	0
14492	1290	407	88	0
14493	1332	407	87	0
14494	1399	407	87	0
14495	1457	407	87	0
14496	1506	407	87	0
14497	1566	408	87	0
14498	1608	410	88	0
14499	1665	412	88	0
14500	1729	417	88	0
14501	1780	421	89	0
14502	1818	421	90	0
14503	1852	422	92	0
14504	1902	423	95	0
14505	1944	424	98	0
14506	1988	424	99	0
14507	2030	425	104	0
14508	2071	426	107	0
14509	2125	426	110	0
14510	2167	426	112	0
14511	2230	426	116	0
14512	2265	426	120	0
14513	2306	426	124	0
14514	2338	426	127	0
14515	2370	426	131	0
14516	2405	426	134	0
14517	2440	426	137	0
14518	2474	426	140	0
14519	2507	426	144	0
14520	2558	426	147	0
14521	2595	425	151	0
14522	2630	424	155	0
14523	2671	423	161	0
14524	2708	423	165	0
14525	2757	423	168	0
14526	2791	422	173	0
14527	2826	421	180	0
14528	2861	421	184	0
14529	2898	420	187	0
14530	2935	420	190	0
14531	2979	419	193	0
14532	3021	418	198	0
14533	3059	418	201	0
14534	3093	417	208	0
14535	3142	416	212	0
14536	3193	416	216	0
14537	3232	415	219	0
14538	3269	414	226	0
14539	3305	413	230	0
14540	3345	411	234	0
14541	3378	411	238	0
14542	3414	410	242	0
14543	3465	411	244	0
14544	3521	410	247	0
14545	3557	409	255	0
14546	3609	409	258	0
14547	3648	408	265	0
14548	3697	408	272	0
14549	3749	408	275	0
14550	3797	408	279	0
14551	3844	408	283	0
14552	3878	408	287	0
14553	3939	408	290	0
14554	3974	408	297	0
14555	4028	408	300	0
14556	4061	409	307	0
14557	4094	408	310	0
14558	4132	408	313	0
14559	4167	408	316	0
14560	4212	408	320	0
14561	4250	407	324	0
14562	4301	407	327	0
14563	4355	407	333	0
14564	4403	407	336	0
14565	4445	406	343	0
14566	4485	406	346	0
14567	4530	405	352	0
14568	4566	406	354	0
14569	4614	406	356	0
14570	4656	406	359	0
14571	4696	407	362	0
14572	4728	407	368	0
14573	4774	406	372	0
14574	4812	407	375	0
14575	4860	407	378	0
14576	4912	406	384	0
14577	4958	406	387	0
14578	4997	406	390	0
14579	5034	406	395	0
14580	5083	406	398	0
14581	5123	406	401	0
14582	5174	406	403	0
14583	5208	405	410	0
14584	5265	405	411	0
14585	5309	405	416	0
14586	5365	405	418	0
14587	5422	405	418	0
14588	5456	405	420	0
14589	5493	405	420	0
14590	5542	405	420	0
14591	5591	406	419	0
14592	5637	408	420	0
14593	5687	410	420	0
14594	5722	411	420	0
14595	5759	415	422	0
14596	5802	416	422	0
14597	5850	416	422	0
14598	5898	416	422	0
14599	5951	414	420	0
14600	5984	414	419	0
14601	6024	414	418	0
14602	6060	414	417	0
14603	6098	414	416	0
14604	6148	414	415	0
14605	6198	414	415	0
14606	6247	413	415	0
14607	6285	413	414	0
14608	6322	412	414	0
14609	6366	410	414	0
14610	6406	410	414	0
14611	6457	409	414	0
14612	6491	408	414	0
14613	6526	407	414	0
14614	6560	406	414	0
14615	6596	405	414	0
14616	6644	405	413	0
14617	6677	405	412	0
14618	6734	406	410	0
14619	6776	407	406	0
14620	6830	408	404	0
14621	6881	408	398	0
14622	6917	410	392	0
14623	6964	410	389	0
14624	7015	411	386	0
14625	7064	412	383	0
14626	7116	413	377	0
14627	7167	413	373	0
14628	7205	413	368	0
14629	7238	413	365	0
14630	7283	413	363	0
14631	7322	414	356	0
14632	7370	414	352	0
14633	7416	414	350	0
14634	7469	415	347	0
14635	7506	415	341	0
14636	7556	415	338	0
14637	7593	416	331	0
14638	7637	417	328	0
14639	7684	417	325	0
14640	7722	418	319	0
14641	7778	418	316	0
14642	7832	418	310	0
14643	7867	419	307	0
14644	7922	419	304	0
14645	7966	420	298	0
14646	8017	420	295	0
14647	8056	421	289	0
14648	8103	422	285	0
14649	8154	423	282	0
14650	8190	423	275	0
14651	8249	424	272	0
14652	8301	425	270	0
14653	8353	426	264	0
14654	8403	427	258	0
14655	8442	427	255	0
14656	8494	427	250	0
14657	8545	428	244	0
14658	8583	429	241	0
14659	8616	430	235	0
14660	8658	430	232	0
14661	8703	431	230	0
14662	8753	431	227	0
14663	8802	431	225	0
14664	8835	432	218	0
14665	8884	433	215	0
14666	8918	433	209	0
14667	8957	434	206	0
14668	9005	434	203	0
14669	9064	434	201	0
14670	9109	434	194	0
14671	9146	433	190	0
14672	9192	433	187	0
14673	9233	432	181	0
14674	9269	432	178	0
14675	9307	431	176	0
14676	9347	431	173	0
14677	9386	429	166	0
14678	9420	429	163	0
14679	9460	428	161	0
14680	9497	428	157	0
14681	9556	427	155	0
14682	9604	426	148	0
14683	9639	426	145	0
14684	9679	425	143	0
14685	9727	424	140	0
14686	9762	422	132	0
14687	9802	421	130	0
14688	9854	421	127	0
14689	9907	418	123	0
14690	9955	418	120	0
14691	9989	415	115	0
14692	10034	413	112	0
14693	10069	413	110	0
14694	10113	411	107	0
14695	10165	408	102	0
14696	10218	408	100	0
14697	10263	405	96	0
14698	10322	405	94	0
14699	10371	402	90	0
14700	10421	400	88	0
14701	10465	397	83	0
14702	10501	396	81	0
14703	10549	394	79	0
14704	10587	391	75	0
14705	10632	390	74	0
14706	10690	389	71	0
14707	10727	387	67	0
14708	10777	385	63	0
14709	10829	385	62	0
14710	10877	382	58	0
14711	10919	381	55	0
14712	10953	381	54	0
14713	10998	379	54	0
14714	11053	379	55	0
14715	11086	379	56	0
14716	11139	380	58	0
14717	11189	380	58	0
14718	11226	380	59	0
14719	11273	381	59	0
14720	11329	381	60	0
14721	11378	381	61	0
14722	11443	382	62	0
14723	11505	383	63	0
14724	11560	384	64	0
14725	11627	385	65	0
14726	11718	385	66	0
14727	11773	388	70	0
14728	11831	387	72	0
14729	11891	388	76	0
14730	11954	389	80	0
14731	12001	390	83	0
14732	12040	390	87	0
14733	12092	390	90	0
14734	12146	389	95	0
14735	12201	388	98	0
14736	12249	388	103	0
14737	12284	387	107	0
14738	12334	387	110	0
14739	12386	386	114	0
14740	12439	385	118	0
14741	12492	385	120	0
14742	12541	384	125	0
14743	12593	384	127	0
14744	12646	383	132	0
14745	12697	382	137	0
14746	12751	382	140	0
14747	12805	381	143	0
14748	12850	381	148	0
14749	12893	380	153	0
14750	12933	380	156	0
14751	12997	381	158	0
14752	13043	380	163	0
14753	13089	379	169	0
14754	13127	378	172	0
14755	13186	378	175	0
14756	13236	377	180	0
14757	13282	376	183	0
14758	13333	376	188	0
14759	13379	376	190	0
14760	13431	376	195	0
14761	13478	376	197	0
14762	13523	377	201	0
14763	13589	377	205	0
14764	13643	377	209	0
14765	13699	377	211	0
14766	13774	376	217	0
14767	13851	376	222	0
14768	13887	376	229	0
14769	13954	377	231	0
14770	14051	377	237	0
14771	14131	377	244	0
14772	14204	378	250	0
14773	14258	379	254	0
14774	14295	381	258	0
14775	14348	380	261	0
14776	14417	380	267	0
14777	14467	381	270	0
14778	14509	381	273	0
14779	14564	381	275	0
14780	14615	380	281	0
14781	14669	380	286	0
14782	14729	380	288	0
14783	14781	379	293	0
14784	14832	377	297	0
14785	14882	377	299	0
14786	14941	375	302	0
14787	14986	373	304	0
14788	15042	373	305	0
14789	15092	368	310	0
14790	15144	366	313	0
14791	15187	363	317	0
14792	15238	361	320	0
14793	15297	360	321	0
14794	15334	357	325	0
14795	15381	356	327	0
14796	15431	352	332	0
14797	15479	352	333	0
14798	15543	349	338	0
14799	15592	348	342	0
14800	15661	347	344	0
14801	15697	345	349	0
14802	15747	344	351	0
14803	15799	342	355	0
14804	15853	341	358	0
14805	15935	339	364	0
14806	15986	340	368	0
14807	16040	339	373	0
14808	16101	339	375	0
14809	16165	339	380	0
14810	16216	339	384	0
14811	16264	339	389	0
14812	16312	337	392	0
14813	16361	337	397	0
14814	16418	337	400	0
14815	16486	336	404	0
14816	16550	336	408	0
14817	16599	335	413	0
14818	16662	334	415	0
14819	16705	334	419	0
14820	16765	333	422	0
14821	16814	333	424	0
14822	16865	331	431	0
14823	16916	330	432	0
14824	16967	328	436	0
14825	17021	328	437	0
14826	17072	325	441	0
14827	17110	324	443	0
14828	17151	323	445	0
14829	17220	324	445	0
14830	17280	324	447	0
14831	17335	323	449	0
14832	17385	324	449	0
14833	17448	324	451	0
14834	17510	325	451	0
14835	17556	327	454	0
14836	17620	327	455	0
14837	17672	328	456	0
14838	17718	328	456	0
14839	17765	328	456	0
14840	17817	328	455	0
14841	17868	329	454	0
14842	17933	329	453	0
14843	17982	329	452	0
14844	18037	329	451	0
14845	18087	329	450	0
14846	18143	329	447	0
14847	18193	329	446	0
14848	18230	329	443	0
14849	18281	329	442	0
14850	18314	328	441	0
14851	18368	327	438	0
14852	18422	326	434	0
14853	18480	326	432	0
14854	18518	324	428	0
14855	18582	324	425	0
14856	18636	324	423	0
14857	18687	324	418	0
14858	18723	323	413	0
14859	18786	323	410	0
14860	18840	321	408	0
14861	18890	320	401	0
14862	18940	320	398	0
14863	18988	320	395	0
14864	19042	319	393	0
14865	19089	319	388	0
14866	19169	320	383	0
14867	19222	321	377	0
14868	19271	321	372	0
14869	19322	321	368	0
14870	19374	322	365	0
14871	19428	322	362	0
14872	19474	323	358	0
14873	19517	325	355	0
14874	19570	326	350	0
14875	19624	328	346	0
14876	19693	328	344	0
14877	19743	330	340	0
14878	19798	331	337	0
14879	19853	333	332	0
14880	19904	334	328	0
14881	19952	335	324	0
14882	20001	336	322	0
14883	20051	336	320	0
14884	20101	338	317	0
14885	20141	339	315	0
14886	20194	340	311	0
14887	20245	340	310	0
14888	20291	341	308	0
14889	20343	341	306	0
14890	20390	341	303	0
14891	20433	341	301	0
14892	20468	340	298	0
14893	20511	339	296	0
14894	20562	339	294	0
14895	20600	337	292	0
14896	20654	337	291	0
14897	20707	336	287	0
14898	20758	335	285	0
14899	20810	334	281	0
14900	20868	333	277	0
14901	20908	331	272	0
14902	20955	331	270	0
14903	21006	331	267	0
14904	21044	331	263	0
14905	21082	331	260	0
14906	21141	331	259	0
14907	21205	331	254	0
14908	21251	331	251	0
14909	21303	331	247	0
14910	21340	331	242	0
14911	21394	331	239	0
14912	21447	331	237	0
14913	21504	331	235	0
14914	21554	331	230	0
14915	21590	331	226	0
14916	21640	331	224	0
14917	21691	331	219	0
14918	21739	331	217	0
14919	21785	330	212	0
14920	21823	330	209	0
14921	21874	329	207	0
14922	21925	329	202	0
14923	21974	329	200	0
14924	22024	329	195	0
14925	22077	330	194	0
14926	22118	331	190	0
14927	22173	332	187	0
14928	22230	333	183	0
14929	22284	334	180	0
14930	22336	334	176	0
14931	22372	335	170	0
14932	22423	335	168	0
14933	22474	336	165	0
14934	22521	336	161	0
14935	22568	337	158	0
14936	22609	338	153	0
14937	22663	338	151	0
14938	22722	339	148	0
14939	22769	339	143	0
14940	22807	340	139	0
14941	22860	341	136	0
14942	22908	341	135	0
14943	22963	343	130	0
14944	22999	344	126	0
14945	23056	345	124	0
14946	23095	346	121	0
14947	23142	346	120	0
14948	23191	347	116	0
14949	23242	347	115	0
14950	23293	346	114	0
14951	23327	344	113	0
14952	23378	344	112	0
14953	23431	341	108	0
14954	23479	339	105	0
14955	23532	338	104	0
14956	23579	337	103	0
14957	23629	335	99	0
14958	23676	334	97	0
14959	23727	331	94	0
14960	23766	330	91	0
14961	23808	329	87	0
14962	23863	327	86	0
14963	23908	326	83	0
14964	23959	325	80	0
14965	24010	324	79	0
14966	24065	322	74	0
14967	24143	321	72	0
14968	24179	319	66	0
14969	24233	318	64	0
14970	24290	318	62	0
14971	24343	318	58	0
14972	24404	316	54	0
14973	24460	316	52	0
14974	24511	315	48	0
14975	24550	315	45	0
14976	24607	314	44	0
14977	24656	313	41	0
14978	24695	312	39	0
14979	24747	312	38	0
14980	24790	310	36	0
14981	24838	310	36	0
14982	24884	310	37	0
14983	24931	309	38	0
14984	24981	308	38	0
14985	25032	307	38	0
14986	25082	306	38	0
