Original_group,genotype,treatment,machine,other
CS_TP,CS_TP,none,old,1stcross
CS_TZ,CS_TZ,none,old,1stcross
CS_HS,CS_HS,none,old,1stcross
CS_bvs,CS_BS,none,old,1stcross
CS_JC,CS_JC,none,old,1stcross
CSTP_A,CS_TP,none,A,2ndcross
CSTZ_A,CS_TZ,none,A,2ndcross
CSHS_A,CS_HS,none,A,2ndcross
CSBvS_A,CS_BS,none,A,2ndcross
CSJC_A,CS_JC,none,A,2ndcross
CSTP_B,CS_TP,none,B,2ndcross
CSTZ_B,CS_TZ,none,B,2ndcross
CSHS_B,CS_HS,none,B,2ndcross
CSBvS_B,CS_BS,none,B,2ndcross
CSJC_B,CS_JC,none,B,2ndcross
CSTP_C,CS_TP,none,C,2ndcross
CSTZ_C,CS_TZ,none,C,2ndcross
CSHS_C,CS_HS,none,C,2ndcross
CSBvS_C,CS_BS,none,C,2ndcross
CSJC_C,CS_JC,none,C,2ndcross
CSTP_D,CS_TP,none,D,2ndcross
CSTZ_D,CS_TZ,none,D,2ndcross
CSHS_D,CS_HS,none,D,2ndcross
CSBvS_D,CS_BS,none,D,2ndcross
CSJC_D,CS_JC,none,D,2ndcross
